103,.079,.08,-3.957
205,143,300,24.87,-1.956,-7.18,88.2,31.3,3.454,-5.354,88.5,18.56,-5.574,-10.03,87.6,98.1,82.6
103,.076,.067,-3.259
103,.106,.089,-.554
103,.377,.334,-.699
205,143,600,29.1,-5.54,-11.16,86.3,31.7,-4.816,-10.34,87.6,24.95,-6.34,-11.7,83.5,103,82.4
103,.591,.513,-2.964
103,.974,.812,-.32
103,1.546,1.246,.901
205,143,900,41.28,-3.627,-10.57,89.5,51.12,-.658,-8.99,92.9,27.58,-7.21,-11.88,83.1,133.4,82.6
103,2.137,1.71,1.678
103,2.935,2.329,1.931
103,4.55,3.62,-16.18
205,143,1200,51.44,1.938,-7.33,92.5,60.2,3.911,-6.057,93.1,44.38,-.346,-8.79,89.7,144.7,82
103,5.6,4.39,-18.97
103,6.095,4.695,-8.97
103,5.801,4.45,3.478
205,143,1500,51.43,6.185,-5.171,86.9,53.89,8.26,-4.017,89.4,48.45,3.841,-6.263,85,195.8,81.3
103,5.473,4.189,5.879
