t0,t1,variable,adjustement_function,adjustement_value,comment
2003-06-03T16:00:00+00:00,,SnowHeight(m),add,-8.0,Not reported. Manual shift suggested by bav.
2006-04-26T00:30:00+00:00,,SnowHeight(m),add,6.27,Not reported. Manual shift suggested by bav.
2009-04-20T16:00:00+00:00,,SnowHeight(m),add,-11.0,Not reported. Manual shift suggested by bav.
2011-06-01T22:00:00+00:00,,SnowHeight(m),add,-1.7,Not reported. Manual shift suggested by bav.
2014-05-31T00:00:00+00:00,,SnowHeight(m),add,-5.0,Not reported. Manual shift suggested by bav.
2003-06-03T16:00:00+00:00,,SurfaceHeight(m),add,-8.0,Not reported. Manual shift suggested by bav.
2009-04-20T16:00:00+00:00,,SurfaceHeight(m),add,-4.7,Not reported. Manual shift suggested by bav.
2011-06-01T22:00:00+00:00,,SurfaceHeight(m),add,-1.58,Not reported. Manual shift suggested by bav.
2015-01-15T00:00:00+00:00,,SurfaceHeight(m),add,-3.5,Not reported. Manual shift suggested by bav.
