t0,t1,variable,adjustement_function,adjustement_value,comment
1999-05-25T15:00:00+00:00,,SnowHeight(m),add,-1.0,Reported visit. SR1 height before/after (m): 0.0/-1.0
2003-04-19T12:00:00+00:00,,SnowHeight(m),add,-4.7,Reported visit. SR1 height before/after (m): 0.0/-4.7
2010-05-11T13:59:00+00:00,,SnowHeight(m),add,1.7,Not reported. Manual shift suggested by bav.
2014-05-02T16:59:00+00:00,,SnowHeight(m),add,-0.2,Not reported. Manual shift suggested by bav.
1999-05-25T15:00:00+00:00,,SnowHeight(m),add,-0.55,Reported visit. SR1 height before/after (m): -1.4/-1.95
2016-05-01T00:00:00+00:00,,SnowHeight(m),add,-14.7,Not reported. Manual shift suggested by bav.
2017-05-25T00:00:00+00:00,,SnowHeight(m),add,-2.5,Not reported. Manual shift suggested by bav.
1999-05-25T15:00:00+00:00,,SurfaceHeight(m),add,-1.1,Reported visit. SR1 height before/after (m): 0.0/-1.1
2003-04-19T12:00:00+00:00,,SurfaceHeight(m),add,-5.1,Reported visit. SR1 height before/after (m): 0.0/-5.1
2005-04-15T13:59:00+00:00,,SurfaceHeight(m),add,0.5,Not reported. Manual shift suggested by bav.
2014-05-02T16:59:00+00:00,,SurfaceHeight(m),add,-10.5,Not reported. Manual shift suggested by bav.
1999-05-25T15:00:00+00:00,,SurfaceHeight(m),add,-1.9,Reported visit. SR1 height before/after (m): 0.3/-1.6
2016-05-01T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,Not reported. Manual shift suggested by bav.
2017-05-25T00:00:00+00:00,,SurfaceHeight(m),add,-2.0,Not reported. Manual shift suggested by bav.
