t0,t1,variable,adjustement_function,adjustement_value,comment
2003-06-02T19:30:00+00:00,,SnowHeight(m),add,0.52,Reported visit. SR1 height before/after (m): 1.53/2.05
2004-10-16T17:00:00+00:00,,SnowHeight(m),add,-3.5,Not reported. Manual shift suggested by bav.
2015-05-29T00:00:00+00:00,,SnowHeight(m),add,-0.5,Not reported. Manual shift suggested by bav.
2004-10-16T17:00:00+00:00,,SurfaceHeight(m),add,-3.0,Not reported. Manual shift suggested by bav.
2015-05-29T00:00:00+00:00,,SurfaceHeight(m),add,-1.0,Not reported. Manual shift suggested by bav.
