ID,Name,Latitude (°N),Longitude (°E),Elevation (wgs84 m),Date of installation,Last valid time,Length of record (years),start CR1000,active,main AWS,minor AWS,Notes,Thermistor,Type
0,Swiss Camp 10m,69.5556,-49.3647,1138,1990-05-09,2020-11-03,30.51,,,1,0,,No,ELA
1,Swiss Camp,69.5556,-49.3647,1138,1995-01-01,2022-08-03,27.61,2009-05-07,1,1,0,,Yes,ELA
2,Crawford Point 1,69.8742,-47.0242,2022,1995-05-23,2020-07-22,25.18,2010-05-09,,1,0,,Yes,accumulation
13,CP2,69.9133,-46.8547,1990,1997-05-12,2001-05-29,4.05,,,0,1,,Yes,accumulation
9,JAR1,69.4933,-49.7142,900,1996-06-19,2019-09-08,23.24,,,1,0,,Yes,ablation
17,JAR2,69.4200,-50.0575,568,1999-05-30,2013-06-16,14.06,,,1,0,,Yes,ablation
19,JAR3,69.3944,-50.3100,323,2000-05-28,2004-05-25,3.99,,,0,1,,No,ablation
3,NASA-U,73.8407,-49.5265,2369,1995-05-31,2023-06-18,28.07,2011-05-31,,1,0,,Yes,accumulation
4,GITS,77.1378,-61.0411,1887,1995-06-07,2021-08-13,26.20,,,1,0,,Yes,accumulation
5,Humboldt,78.5283,-56.8423,1950,1995-06-22,2023-06-30,28.04,,,1,0,,Yes,accumulation
6,Summit,72.5797,-38.5045,3254,1996-05-13,2022-09-20,26.37,2009-05-19,1,1,0,,Yes,accumulation
7,Tunu-N,78.0188,-33.9668,2113,1996-05-16,2023-06-20,27.11,,,1,0,,Yes,accumulation
8,DYE-2,66.4820,-46.2908,2165,1996-05-24,2023-06-14,27.07,2009-05-16,,1,0,,Yes,accumulation
10,Saddle,65.9999,-44.5026,2451,1997-04-20,2021-10-16,24.51,2010-04-30,,1,0,,Yes,accumulation
11,South Dome,63.1489,-44.8175,2878,1997-04-23,2021-06-21,24.18,2009-05-15,,1,0,,Yes,accumulation
12,NASA-E,75.0023,-29.9838,2610,1997-05-03,2022-09-20,25.40,2011-06-02,1,1,0,,Yes,accumulation
15,NASA-SE,66.4779,-42.4951,2360,1998-04-24,2019-09-26,21.44,2009-04-26,,1,0,,Yes,accumulation
14,NGRIP,75.0998,-42.3326,2950,1997-07-09,2010-05-08,12.84,,,1,0,,Yes,accumulation
23,NEEM,77.4413,-51.0999,2460,2006-03-29,2022-09-20,16.49,2009-05-30,1,1,0,,Yes,accumulation
24,EastGRIP,75.6268,-35.9801,2653,2014-05-17,2023-06-22,9.10,2014-05-17,,1,0,,No,accumulation
16,KAR,69.6994,-33.0006,2579,1999-05-19,2001-06-07,2.05,,,0,1,,Yes,accumulation
18,KULU,65.7585,-39.6018,878,1999-06-17,2000-09-14,1.25,,,0,1,,No,ablation
20,Aurora,67.1358,-47.2922,1798,2000-06-24,2001-05-06,0.87,,,0,1,,No,accumulation
21,Petermann Glacier,80.6836,-60.2931,37,2002-06-04,2006-05-01,3.91,,,0,1,,Yes,ablation
22,Petermann ELA,80.0993,-58.1497,907,2003-05-23,2022-09-20,19.34,2011-06-02,1,1,0,,Yes,accumulation
33,SMS-PET,80.6033,-60.0536,54,2002-06-01,2004-05-15,1.96,,,0,1,,No,ablation
25,SMS1,69.4822,-49.8017,822,2001-01-01,2006-05-01,5.33,,,0,1,,No,ablation
26,SMS2,69.4778,-49.8828,727,2001-01-01,2006-05-01,5.33,,,0,1,,No,ablation
27,SMS3,69.4403,-49.9703,605,2001-01-01,2006-05-01,5.33,,,0,1,,No,ablation
28,SMS4,69.4013,-50.2108,387,2001-01-01,2003-05-01,2.33,,,0,1,,No,ablation
29,SMS5,69.5056,-49.9093,,2001-01-01,2003-05-27,2.40,,,0,1,coordinates very unprecise,No,ablation
30,LAR1,-68.1411,-63.9519,,2008-12-23,2012-12-25,4.01,,,0,0,,No,accumulation
31,LAR2,-67.5764,-63.2575,,2008-12-22,2011-11-15,2.90,,,0,0,,No,accumulation
32,LAR3,-67.0317,-62.6503,,2009-08-10,2011-11-08,2.25,,,0,0,,No,accumulation
