"TOA5","CR1000","CR1000","23835","CR1000.Std.16","CPU:GOES Swiss Camp 09.CR1","26033","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","uv_Avg","L_in_Avg","T_surf1_Avg","T_surf2_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Avg","Avg","Avg","Avg","Smp"
"2016-04-12 11:00:00",0,1,2016,103,11,2.701,2.683,0.898,"NAN","NAN","NAN","NAN","NAN",-3.215,"NAN",-1.91,-6.398,-7.458,"NAN","NAN",2.062,3.043,82.8,8.69,0.002,11.67,131.9,135.2,488.5,"NAN",1.037,3.632,0.267,0.142,"NAN",5.172,"NAN",3.899,0.301,13.34,0.026,1.22,4.066,"NAN","NAN","NAN","NAN",13.06
"2016-04-12 12:00:00",1,1,2016,103,12,2.592,2.948,0.757,"NAN","NAN","NAN",2.964,-2.499,-4.36,"NAN",-3.047,-7.294,-8.27,"NAN",3.531,1.974,2.966,82.5,8.81,0.139,12.4,134.6,137.6,496,"NAN",1.086,3.784,0.254,0.237,"NAN",4.189,"NAN",3.122,2.293,14.2,0.343,0.73,3.551,"NAN","NAN","NAN","NAN",13.27
"2016-04-12 13:00:00",2,1,2016,103,13,2.724,3.638,0.638,"NAN","NAN","NAN",1.804,-3.009,-4.68,"NAN",-3.33,-7.487,-8.43,"NAN",3.02,1.728,2.734,84.4,8.81,0.026,11.22,140.3,143.9,496.6,"NAN",1.086,3.618,0.339,0.274,"NAN",3.943,"NAN",2.573,1.437,13.57,0.134,0.885,3.284,"NAN","NAN","NAN","NAN",13.54
"2016-04-12 14:00:00",3,1,2016,103,14,2.823,3.773,0.385,"NAN","NAN","NAN",3.052,-2.384,-4.209,"NAN",-2.706,-7.1,-8.1,"NAN",2.924,1.301,2.311,88.2,8.81,0.004,9.39,150.6,155.9,497.4,"NAN",1.087,3.156,0.115,0.103,"NAN",3.971,"NAN",2.281,0.47,13.6,0.041,1.412,3.596,"NAN","NAN","NAN","NAN",13.75
"2016-04-12 15:00:00",4,1,2016,103,15,2.785,3.796,0.582,"NAN","NAN","NAN",1.591,-3.366,-5.059,"NAN",-3.635,-7.881,-8.84,"NAN",1.841,1.132,2.148,89.5,8.81,0,9.47,153.7,158.3,497.6,0,1.088,4.035,0.342,0.177,"NAN",2.831,"NAN",0.869,0,12.01,0,0.72,2.692,"NAN","NAN","NAN","NAN",13.8
"2016-04-12 16:00:00",5,1,2016,103,16,2.481,3.095,0.369,"NAN","NAN","NAN",0.39,-4.096,-5.644,"NAN",-4.2,-8.4,-9.34,"NAN",0.613,0.495,1.531,94.7,8.81,0,7.143,154.1,160.5,498,"NAN",1.089,2.715,0.097,0.081,"NAN",1,"NAN",-0.07,0,9.56,0,0.724,1.962,"NAN","NAN","NAN","NAN",13.96
"2016-04-12 17:00:00",6,1,2016,103,17,2.312,2.894,0.424,"NAN","NAN","NAN",-0.332,-4.507,-5.966,"NAN",-4.484,-8.67,-9.58,"NAN",0.028,0.22,1.233,95.4,8.87,0,7.579,151.8,158.3,498.2,"NAN",1.09,2.542,0.104,0.059,"NAN",0.158,"NAN",-0.173,0,9.51,0,0.62,1.423,"NAN","NAN","NAN","NAN",13.9
"2016-04-12 18:00:00",7,1,2016,103,18,2.203,2.533,0.342,"NAN","NAN","NAN",-1.927,-5.469,-6.762,"NAN",-5.478,-9.41,-10.24,"NAN",-1.351,-0.355,0.644,100.3,8.88,0,6.963,154,164.6,498.3,0,1.091,2.291,0.037,0.069,3.028,-0.071,2.125,-2.494,0,8.84,0,0.634,0.413,"NAN","NAN","NAN","NAN",13.94
"2016-04-12 19:00:00",8,1,2016,103,19,1.829,1.696,0.396,"NAN","NAN","NAN",-2.525,-5.755,-6.946,"NAN",-5.609,-9.52,-10.32,"NAN",-1.929,-0.874,0.12,104.2,8.88,0,6.375,150.6,160.4,498.6,"NAN",1.092,2.216,0.128,0.07,2.629,-1.553,1.564,-2.761,0,7.938,0,0.576,-0.225,"NAN","NAN","NAN","NAN",13.72
"2016-04-12 20:00:00",9,1,2016,103,20,1.569,1.118,0.093,"NAN","NAN","NAN",-2.874,-5.962,-7.076,"NAN",-5.653,-9.6,-10.41,-0.389,-4.741,-3.44,-2.48,105.8,8.93,0,4.919,244.1,258.4,499,"NAN",1.097,1.67,0.054,0.122,1.755,-2.507,-1.693,-6.177,0,6.298,0,0.624,-1.323,"NAN","NAN","NAN","NAN",13.54
"2016-04-12 21:00:00",10,1,2016,103,21,1.501,1.205,0.117,"NAN","NAN","NAN",-2.572,-5.859,-6.998,"NAN",-5.395,-9.5,-10.33,-1.685,-5.931,-4.878,-3.867,104.2,8.95,0,3.047,243.9,233.8,499.3,0,1.1,1.881,0.163,0.17,-1.432,-5.705,-1.982,-6.2,0,5.462,0,1.008,-3.159,"NAN","NAN","NAN","NAN",13.37
