"TOA5","22","CR1000","31412","CR1000.Std.18","CPU:ARGOS 2011 GITS.CR1","33414","Table048"
"TIMESTAMP","RECORD","tc_air_Avg(1)","tc_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir1_Avg"
"TS","RN","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2011-06-02 00:00:00",0,-3.14,-3.051,-5.631,71.39,3.885,5.437,173.8
"2011-06-02 01:00:00",1,-3.692,-3.589,-15.68,72.39,3.982,5.49,175.4
"2011-06-02 02:00:00",2,-3.95,-3.838,-17.9,72.6,3.871,6.006,177.5
"2011-06-02 03:00:00",3,-4.192,-4.064,-18.27,73.28,3.925,6.444,178.9
"2011-06-02 04:00:00",4,-4.278,-4.139,-18.33,73.45,3.942,6.552,179
"2011-06-02 05:00:00",5,-4.368,-4.216,-18.36,72.02,3.919,6.187,180.3
"2011-06-02 06:00:00",6,-4.182,-4.045,-18.36,70.94,3.923,6.409,182.5
"2011-06-02 07:00:00",7,-3.982,-3.846,-18.39,70.97,3.96,6.184,181.8
"2011-06-02 08:00:00",8,-4.091,-3.954,-18.39,70.83,3.994,6.247,175.9
"2011-06-02 09:00:00",9,-3.699,-3.618,-18.37,71.66,4.076,6.744,181.8
"2011-06-02 10:00:00",10,-2.839,-2.736,-18.43,69.17,4.139,6.796,187.3
"2011-06-02 11:00:00",11,-2.219,-2.16,-18.43,68.33,4.14,6.782,185.8
"2011-06-02 12:00:00",12,-1.737,-1.661,-18.48,68.63,4.397,7.436,192.3
"2011-06-02 13:00:00",13,-1.408,-1.326,-18.5,69.31,4.265,7.008,196.6
"2011-06-02 14:00:00",14,-0.792,-0.728,-18.51,69.52,4.279,6.489,194.9
"2011-06-02 15:00:00",15,-0.197,-0.115,-18.56,69.42,4.312,6.723,199.1
"2011-06-02 16:00:00",16,0.199,0.261,-18.56,69.05,4.347,7.196,194.1
"2011-06-02 17:00:00",17,0.404,0.426,-18.49,69.64,4.592,7.964,185.5
"2011-06-02 18:00:00",18,0.433,0.475,-18.42,69.67,4.269,7.054,184.4
"2011-06-02 19:00:00",19,0.667,0.703,-18.36,70.74,4.269,7.12,200.8
"2011-06-02 20:00:00",20,0.569,0.593,-18.3,71.41,4.284,6.669,208.8
"2011-06-02 21:00:00",21,0.217,0.281,-18.28,71.82,4.323,5.633,199
"2011-06-02 22:00:00",22,-0.406,-0.33,-18.16,72.1,4.136,5.307,185.4
"2011-06-02 23:00:00",23,-1.057,-0.978,-18.04,73.18,4.158,5.441,183.6
"2011-06-03 00:00:00",24,-1.817,-1.714,-18.01,72.83,4.058,4.744,173.5
"2011-06-03 01:00:00",25,-2.166,-2.004,-18.04,72.71,3.951,5.022,183.6
"2011-06-03 02:00:00",26,-1.692,-1.541,-18.08,73.09,4.064,6.814,188.2
"2011-06-03 03:00:00",27,-2.173,-2.023,-18.14,74.11,4.045,6.598,182.6
"2011-06-03 04:00:00",28,-2.143,-1.982,-18.2,73.71,4.339,7.379,186.6
"2011-06-03 05:00:00",29,-2.288,-2.097,-18.27,73.38,4.047,6.102,182.8
"2011-06-03 06:00:00",30,-1.612,-1.369,-18.29,73.02,4.327,7.295,177.8
"2011-06-03 07:00:00",31,-1.268,-1.06,-18.31,73.18,4.244,6.914,183.6
