 ID  jd   hour    s(in)    s(out)   l(in)   net   net_thr all_in l_thr(out) 
106.  139. 1500.  530.5   420.5 *******    54.8   104.8   668.2   137.6
106.  139. 1510.  585.8   465.1   207.8    53.9    98.4   713.5   127.8
106.  139. 1520.  573.8   458.9   201.5    30.9    30.8   705.8   132.0
106.  139. 1530.  566.6   451.5   198.9    28.1    27.5   696.7   130.1
106.  139. 1540.  522.5   416.8   197.7    21.4    19.5   659.6   137.0
106.  139. 1550.  493.6   394.4   200.2    19.9    16.9   611.5   117.9
106.  139. 1600.  483.5   387.6   206.2    21.0    17.5   606.3   122.8
106.  139. 1610.  539.3   429.6   209.6    32.1    29.1   644.5   105.2
106.  139. 1620.  511.7   406.9   206.2    26.0    22.6   622.9   111.1
106.  139. 1630.  464.9   371.4   206.4    18.5    14.3   594.9   130.0
106.  139. 1640.  498.7   394.1   203.5    26.1    23.8   619.6   120.9
106.  139. 1650.  500.6   394.6   200.4    26.1    23.3   619.2   118.6
106.  139. 1700.  505.4   396.7   196.4    25.2    23.2   620.1   114.7
106.  139. 1710.  492.3   386.2   196.3    23.2    20.7   611.8   119.5
106.  139. 1720.  518.1   403.3   196.3    26.9    25.3   628.8   110.6
106.  139. 1730.  499.7   387.9   193.2    22.7    20.4   614.3   114.6
106.  139. 1740.  484.5   375.9   192.1    21.3    17.9   605.7   121.2
106.  139. 1750.  472.1   366.9   192.1    20.2    16.4   599.5   127.4
106.  139. 1800.  461.9   359.9   192.1    19.1    14.7   595.0   133.1
106.  139. 1810.  451.4   352.5   192.0    16.6    12.5   589.1   137.7
106.  139. 1820.  440.1   344.4   191.7    13.7    10.3   581.9   141.8
106.  139. 1830.  429.8   336.8   191.2    12.7     8.2   576.2   146.4
106.  139. 1840.  421.0   330.1   191.1    11.9     7.5   572.0   151.0
106.  139. 1850.  414.1   325.0   191.2    11.0     6.6   569.1   155.0
106.  139. 1900.  409.2   321.8   192.3    10.6     6.1   566.8   157.6
106.  139. 1910.  395.6   311.6   191.6     7.6     1.9   556.3   160.7
106.  139. 1920.  384.2   302.5   191.3     5.7     -.3   532.4   148.2
106.  139. 1930.  376.2   296.3   191.6     4.4    -1.8   528.7   152.5
106.  139. 1940.  362.9   286.2   190.5     1.7    -5.2   520.0   157.1
106.  139. 1950.  342.8   271.1   190.0    -1.9    -9.2   506.0   163.2
106.  139. 2000.  339.7   268.9   190.9    -1.0    -8.6   487.2   147.5
106.  139. 2010.  296.1   235.7   190.7    -9.3   -15.5   441.6   145.5
106.  139. 2020.  321.4   255.2   194.6      .2    -6.3   458.9   137.5
106.  139. 2030.  320.4   255.2   195.3    -1.2    -6.8   457.6   137.2
106.  139. 2040.  300.1   239.8   193.3    -6.6   -11.5   445.6   145.5
106.  139. 2050.  291.5   232.8   192.9    -7.1   -11.7   441.5   150.0
106.  139. 2100.  291.6   232.6   193.9    -5.1    -8.9   442.8   151.1
106.  139. 2110.  270.6   216.1   194.3    -8.0   -11.5   432.0   161.4
106.  139. 2120.  267.2   213.1   196.5    -4.4    -8.9   430.8   163.6
106.  139. 2130.  264.2   210.9   196.9    -3.1    -6.6   431.4   167.2
106.  139. 2140.  244.3   195.3   196.9    -6.1    -9.1   419.6   175.3
106.  139. 2150.  242.5   193.8   196.9    -4.3    -7.6   421.5   179.0
106.  139. 2200.  235.9   189.2   196.4    -5.0    -9.1   419.8   183.9
106.  139. 2210.  226.6   182.0   195.7    -6.6   -12.5   415.3   188.6
106.  139. 2220.  154.5   124.4   188.3   -24.1   -29.4   364.8   210.2
106.  139. 2230.  171.4   136.8   190.3   -15.3   -22.1   377.3   205.9
106.  139. 2240.  150.1   122.2   189.7   -21.2   -28.7   361.9   211.7
106.  139. 2250.  152.4   124.3   190.7   -17.7   -28.0   363.1   210.7
106.  139. 2300.  157.7   129.4   193.1   -15.6   -27.3   363.7   206.0
106.  139. 2310.  172.4   142.2   193.7   -13.9   -27.2   375.4   203.1
106.  139. 2320.  149.1   123.8   191.6   -22.5   -33.0   359.4   210.3
106.  139. 2330.  142.0   115.6   206.9   -11.0   -17.7   354.4   212.5
106.  139. 2340.  163.6   135.1   199.0   -18.2   -26.9   370.4   206.8
106.  139. 2350.  129.0   106.4   201.1   -21.7   -26.9   339.6   210.6
106.  140.    0.   95.9    78.6   203.0   -21.1   -23.5   294.9   199.0
106.  140.   10.   77.7    64.0   198.9   -25.3   -26.6   282.5   204.8
106.  140.   20.   70.9    59.6   195.5   -30.5   -31.6   276.8   205.8
106.  140.   30.   55.8    47.4   193.0   -33.3   -34.4   266.5   210.7
106.  140.   40.   58.4    49.0   194.2   -30.5   -31.6   269.0   210.6
106.  140.   50.   75.2    62.8   194.7   -27.4   -28.4   278.3   203.1
106.  140.  100.  104.5    88.7   191.6   -30.9   -30.9   291.7   187.2
106.  140.  110.  112.7    96.2   193.5   -32.1   -31.8   296.4   183.7
106.  140.  120.   79.6    68.6   192.7   -33.8   -33.8   275.1   195.5
106.  140.  130.   65.4    53.4   219.9    -7.8    -9.2   282.6   217.2
106.  140.  140.   73.5    60.2   258.8    16.8    16.3   320.8   247.3
106.  140.  150.   77.3    63.8   266.4    17.5    17.2   328.8   251.6
106.  140.  200.   62.9    52.4   265.1    13.2    13.2   321.3   258.4
106.  140.  210.   54.4    45.5   260.1     9.3     9.1   316.7   262.3
106.  140.  220.   78.3    64.3   241.9     2.0    -2.7   308.0   229.7
106.  140.  230.   93.4    82.7   203.7   -34.8   -81.2   256.4   162.9
106.  140.  240.  101.8    92.0   193.5   -44.5  -115.5   235.2   133.4
106.  140.  250.  102.8    92.7   191.0   -44.8  -119.9   231.9   129.1
106.  140.  300.  105.0    94.5   191.2   -43.0  -100.2   247.5   142.5
106.  140.  310.  105.8    95.8   190.4   -42.9   -43.2   296.7   190.9
106.  140.  320.  108.7    98.7   189.5   -43.2   -38.3   304.9   196.2
106.  140.  330.  113.0   102.1   190.4   -43.9   -38.6   306.9   193.9
106.  140.  340.  111.0   100.0   190.2   -44.3   -38.4   307.8   196.8
106.  140.  350.  111.4   100.5   189.5   -43.9   -38.4   304.9   193.5
106.  140.  400.  117.8   106.3   190.0   -41.5   -36.9   309.7   191.9
