"JD","day","hour","s_in","s_out","temp","hum","wind1","wind2","w_dir1","w_dir2","press","press","sheight1","sheight2","t_max","wind_max"
2000.48258196721,176,1500,3.295,-0.915,-5.249,75.5,7.82,8.32,152.4,183.9,0,0,1.545,1.389,9.33
2000.48269581056,176,1600,3.113,-3.203,-5.218,76.5,7.64,8.16,154.7,186,200,200,1.544,1.544,9.05
2000.48280965392,176,1700,2.546,-6.528,-4.873,76.1,6.773,7.17,154.3,186.5,0,0,1.541,1.541,8.33
2000.48292349727,176,1800,2.258,-2.896,-5.033,77.4,6.725,7.15,151.6,190.7,199.8,199.8,1.531,1.531,8.45
2000.48303734062,176,1900,1.91,0.604,-5.332,73.6,6.666,7.11,152.9,201,199.8,199.8,1.532,1.532,7.89
2000.48315118397,176,2000,1.459,-1.566,-6.329,79.4,6.662,7.08,147.6,206.1,286.8,286.8,1.535,1.534,7.91
2000.48326502732,176,2100,0.834,-3.787,-6.763,70.4,6.374,6.833,129.3,184,0,0,0,0,0,-2.441,-6999,8.28
2000.48337887067,176,2200,0.653,-4.803,-8.19,79,7.68,8.11,146.8,205.8,437.7,437.7,1.54,1.539,13.39,-5.718,-6999,9.26
2000.48349271403,176,2300,0.356,-6.536,-9.29,79.5,8.16,8.51,144,206.6,438,438,1.544,1.543,13.34,-4.502,-6999,9.67
2000.48360655738,177,0,0.137,-6.441,-10.28,79.7,8.47,8.82,144.1,206.9,438.6,438.6,1.549,1.547,13.27,-5.721,-6999,10.12
2000.48372040073,177,100,0.066,-6.5,-11.32,80.7,8.4,8.72,145.2,204.7,439.6,439.6,1.551,1.55,13.21,-6.803,-6999,9.81
2000.48383424408,177,200,0.063,-6.274,-12.07,79.6,8.57,8.91,144.9,206,440,440,1.553,1.552,13.17,-7.82,-6999,9.68
2000.48394808743,177,300,0.099,-6.283,-13.04,80.2,8.14,8.45,142.8,208.1,440.7,440.7,1.556,1.555,13.16,-8.85,-6999,9.32
2000.48406193078,177,400,0.244,-5.953,-13.5,79.2,8.14,8.47,140.1,211.1,440.7,440.7,1.557,1.556,13.21,-9.49,-6999,9.73
2000.48417577413,177,500,0.539,-4.115,-13.11,76.2,8.87,9.23,139.1,212.2,441.1,441.1,1.556,1.556,13.36,-9.38,-6999,10.54
2000.48428961749,177,600,0.925,-2.003,-12.84,74.5,8.45,8.79,137.2,213.3,440.7,440.7,1.556,1.556,14.03,-9.22,-6999,9.85
2000.48440346084,177,700,1.385,-0.59,-11.96,72.5,8.33,8.66,139.5,212.3,440.6,440.6,1.551,1.553,13.94,-8.4,-6999,9.92
2000.48451730419,177,800,1.878,1.122,-10.79,70.7,7.73,8.03,143.5,209.1,440.1,440.1,1.547,1.55,14.38,-7.39,-6999,8.98
2000.48463114754,177,900,2.364,2.706,-9.86,70,7.82,8.11,141.8,208.7,439,439,1.546,1.547,14.07,-6.275,-6999,9.33
2000.48474499089,177,1000,2.928,4.684,-8.58,70.9,7.53,7.88,143.2,210.6,0,0,0.965,0,-4.301,8.6
2000.48485883424,177,1100,3.148,5.218,-7.72,71.4,7.33,7.64,144.6,206.7,438,438,1.54,13.94,-3.959,8.42
2000.4849726776,177,1200,3.394,6.529,-6.514,68.77,7.26,7.52,149.2,201.7,436.6,436.6,1.535,13.42,-2.278,8.72
2000.48508652095,177,1300,3.562,6.63,-5.554,67.36,7,7.27,150,200.1,435.6,435.6,1.532,14.4,-0.942,8.4
2000.4852003643,177,1400,3.555,6.962,-4.812,67.2,6.678,6.937,156.3,193.7,434.9,434.9,1.53,13.57,-0.085,7.96
2000.48531420765,177,1500,3.441,6.448,-4.245,66.69,6.164,6.408,159.6,189.8,434.2,434.2,1.528,13.42,0.326,7.42
2000.485428051,177,1600,3.215,5.179,-3.974,68.4,5.579,5.79,160.5,189.2,433.9,433.9,1.528,13.77,0.346,6.742
2000.48554189435,177,1700,2.888,3.338,-3.91,70.5,5.072,5.269,161.1,188.3,433.6,433.6,1.528,14.35,0.428,6.475
2000.48565573771,177,1800,2.479,1.128,-4.166,73.3,4.839,5.04,155.8,193.4,433.8,433.8,1.528,14.59,0.366,6.096
2000.48576958106,177,1900,2.018,-1.022,-4.762,74.6,4.66,4.868,155.3,194.1,434.2,434.2,1.53,13.86,-0.144,5.677
2000.48588342441,177,2000,1.541,-2.862,-5.803,77.2,4.065,4.252,155.7,192.9,434.6,434.6,1.533,14.87,-1.313,5.181
2000.48599726776,177,2100,1.088,-4.244,-7.15,78.7,4.282,4.505,148.9,201.3,435.3,435.3,1.536,14.14,-2.582,5.697
2000.48611111111,177,2200,0.691,-5.648,-8.45,78.4,4.615,4.829,150,199.8,436.1,436.1,1.54,13.6,-3.844,5.645
