,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m)
0,1999-05-01,,,,,,,,,,,,,,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
1,2000-01-01,,,,,,,,,,,,,,1.73,2.73,3.73,4.73,5.73,6.73,7.73,8.73,9.73,10.73
