,Date (dd-mm-yyyy HH:MM),reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m)
0,23/5/1995,,269.0,269.0,0.0,0.0,220.0,220.0,350.0,350.0,220.0,220.0,347.0,347.0,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1
1,11/5/1997,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2,30/5/1998,y,0.0,0.0,0.0,0.0,41.0,75.0,106.0,191.0,47.0,85.0,112.0,205.0,,,,,,,,,,
3,10/8/1998,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
4,25/5/1999,y,0.0,-100.0,0.0,-110.0,99.0,324.0,168.0,444.0,98.0,323.0,160.0,443.0,8.4,9.4,7.4,6.4,5.4,4.4,3.4,2.4,1.4,0.4
5,6/4/2000,y,249.0,249.0,,,213.0,213.0,332.0,332.0,206.0,206.0,323.0,323.0,,,,,,,,,,
6,28/5/2001,y,,,,,55.0,269.0,178.0,392.0,47.0,261.0,167.0,381.0,,,,,,,,,,
7,8/5/2002,y,200.0,200.0,,,185.0,185.0,305.0,305.0,168.0,168.0,288.0,288.0,,,,,,,,,,
8,19/4/2003,y,0.0,-470.0,0.0,-510.0,110.0,110.0,230.0,230.0,115.0,115.0,235.0,235.0,,,,,,,,,,
9,15/4/2005,,0.0,0.0,0.0,50.0,,,,,,,,,4.6,4.1,3.6,3.1,2.6,1.6,2.1,1.1,0.6,0.1
10,27/5/2006,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
11,11/5/2010,,0.0,170.0,0.0,0.0,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1
12,2/5/2014,,0.0,-20.0,0.0,-1050.0,,,,,,,,,,,,,,,,,,
13,30/5/1998,y,46.0,46.0,172.0,172.0,,,,,,,,,,,,,,,,,,
14,25/5/1999,y,-140.0,-195.0,30.0,-160.0,,,,,,,,,,,,,,,,,,
15,1/5/2016,,0.0,-1470.0,0.0,-200.0,,,,,,,,,,,,,,,,,,
16,25/5/2017,,0.0,-250.0,0.0,-200.0,,,,,,,,,,,,,,,,,,
