,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),Arm 1 before (cm),Arm 1 after (cm),Arm 2 before (cm),Arm 2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 28,Unnamed: 29
0,1995-05-23 00:00,,269.0,269.0,0.0,0.0,,,,,220.0,220.0,350.0,350.0,220.0,220.0,347.0,347.0,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
1,1997-05-11 00:00,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,1998-05-30 00:00,by J. Box,46.0,,172.0,,17.0,51.0,82.0,171.0,41.0,75.0,106.0,191.0,47.0,85.0,116.0,205.0,,,,,,,,,,,,
3,1998-08-10 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999-05-25 15:00,y,,,,,,,,,99.0,324.0,168.0,444.0,98.0,323.0,160.0,443.0,8.4,9.4,7.4,6.4,5.4,4.4,3.4,2.4,1.4,0.4,,
5,2000-04-06 00:00,y,249.0,249.0,,,,,,,213.0,213.0,332.0,332.0,206.0,206.0,323.0,323.0,,,,,,,,,,,,
6,2001-05-28 00:00,y,,,,,,,,,55.0,269.0,178.0,392.0,47.0,261.0,167.0,381.0,,,,,,,,,,,,
7,2002-05-08 00:00,y,200.0,200.0,,,,,,,185.0,185.0,305.0,305.0,168.0,168.0,288.0,288.0,,,,,,,,,,,,
8,2003-04-19 12:00,y,,,,,,,,,110.0,369.0,230.0,489.0,115.0,374.0,235.0,494.0,,,,,,,,,,,,
9,2004-06-10,y,,220.0,,,,,,,,205.0,,325.0,,205.0,,325.0,,,,,,,,,,,,
10,2005-05-02 13:59,y,80.0,,215.0,,,,,,,64.0,,190.0,,58.0,,178.0,4.6,4.1,3.6,3.1,2.6,1.6,2.1,1.1,0.6,0.1,,
11,2006-05-27 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2010-05-11 13:59,,,,,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
13,2012-05-01,"K. Steffen, N. Bayou",,329.0,,,,,,,,,,,,253.0,,372.0,,,,,,,,,,,,
14,2014-05-02 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2016-05-01 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2017-05-25 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2019-05-10,by D. Houtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-06-17,"by J. Box, decommissioned",,,,,,,,,,,,,,,,,,,,,,,,,,,,
