,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,2001-04-01 16:00,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
1,2021-08-13,"by D. Houtz, decomissioned",40.0,,,,25.0,,,,0.0,,,,,,,,,,,,,,,
