,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,1997-05-04 23:00,,,,,,,,,,,,,,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,,
1,1999-05-20 17:55,y,,,,,150.0,150.0,290.0,290.0,140.0,140.0,280.0,280.0,,,,,,,,,,,,
2,2001-06-08 13:00,y,,,,,62.0,62.0,202.0,202.0,60.0,223.0,200.0,200.0,,,,,,,,,,,,
3,2003-05-30 19:40,y,,,,,227.0,230.0,367.0,370.0,227.0,230.0,367.0,374.0,,,,,,,,,,,,
4,2009-10-01 15:00,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010-05-01 15:00,,,,,,,,,,,,,,,,,,,,,,,,,
6,2011-06-02 15:00,N. Bayou,,173.0,,359.0,,,,,,237.0,,376.0,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
7,2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,
8,2014-05-17,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-05-15 15:00,,,,,,,,,,,,,,,,,,,,,,,,,
10,2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,
11,2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,
12,2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-05-21,"by D houtz, changed boom spacing",,,,,,,,,,,,,,,,,,,,,,,,
15,2022-05-27,by A. Ahlstrøm,,,,,,,,,,,,,,,,,,,,,,,,
