,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,1996-05-13 11:00,,,,,,209.0,209.0,348.0,348.0,209.0,209.0,348.0,348.0,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,,
1,1997-01-28 09:00,y,,,,,,,,,,,,,,,,,,,,,,,,
2,1999-05-08 19:00,y,,,,,55.0,188.0,168.0,308.0,70.0,180.0,180.0,300.0,,,,,,,,,,,,
3,1999-05-09 00:00,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
4,2000-06-01 00:00,y,,,,,116.0,116.0,232.0,232.0,110.0,110.0,233.0,233.0,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
5,2001-06-10 10:45,y,,,,,48.0,108.0,169.0,100.0,44.0,280.0,165.0,288.0,,,,,,,,,,,,
6,2003-06-01 00:00,y,,,,,156.0,156.0,,,153.0,153.0,271.0,271.0,,,,,,,,,,,,
7,2004-06-14 10:00,,,,,,,106.0,,226.0,,110.0,,230.0,,,,,,,,,,,,
8,2005-05-26 14:00,y,,,,,38.0,,152.0,,32.0,,155.0,,,,,,,,,,,,,
9,2009-05-19 21:00,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010-08-16,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
11,2011-06-06,"by K. Steffen, N. Bayou",,410.0,,471.0,,,,,,365.0,,485.0,,,,,,,,,,,,
12,2013-05-29,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
13,2014-05-16,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
14,2015-05-23,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
15,2016-05-21,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
16,2016-05-22,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
17,2017-05-24,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
18,2018-05-21,by K. Steffen,,,,,,,,,,,,,,,,,,,,,,,,
19,2019-04-28,by D.Houtz,,,,,,,,,,,,,,,,,,,,,,,,
