,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m)
0,2002-06-01,,,,,,,,,,,,,,0.0,1.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0
1,2003-01-01,,,,,,,,,,,,,,7.7,5.7,3.7,6.7,4.7,2.7,1.7,0.7,-0.3,-1.3
2,2003-05-06,y,,,,,,,,,185.0,77.0,309.0,,,,,,,,,,,
3,2004-05-09,y,,,,,184.0,,309.0,,203.0,,328.0,,,,,,,,,,,
