,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m)
0,2013-05-26,by K. Steffen. Lower arm underside 94cm above snow.,74,,,,124,,,,124.0,,,,,,,,,,,,,
1,2014-05-12,by K.Steffen,130,,,,180,,180.0,,,,,,,,,,,,,,,
2,2015-05-10,by K.Steffen,145,,145.0,,195,,195.0,,,,,,,,,,,,,,,
3,2016-05-15,by K. Steffen,146,,,,136,,136.0,,,,,,,,,,,,,,,
4,2017-05-14,by K. Steffen,219,,,,269,,269.0,,,,,,,,,,,,,,,
5,2018-05-05,by K. Steffen,158,,,,208,,208.0,,,,,,,,,,,,,,,
