173.083,218.4,205,-39.6,-18.8,-18.2,76.5,78.9,2.3,2.8,180,975.4,0,0,-14
173.125,137.2,138.2,-10.1,-17.4,-17.2,79.3,80.6,3.4,3.9,188.2,975.2,0.007,0.006,-14
173.167,98.8,134.6,-59.8,-15.5,-15.2,77.7,78.6,3.7,4,194.8,975.1,0.006,0.006,-13.2
173.208,30.2,178.2,-128.7,-20.3,-19.9,75.3,76.6,3.5,4,162,974.7,0.004,0.002,-14.6
173.25,65.8,191.6,-27.9,-22.1,-21.9,75.4,76.7,4.3,4.8,166.4,974,0.007,0.005,-15.9
173.292,247.2,219.6,-27.5,-21.9,-21.7,75.2,76.4,4.7,5.2,169.1,973.5,0.009,0.004,-16.1
173.333,291,261.4,-21.6,-20.8,-20.5,77.5,78.6,4.1,4.6,158.4,973.1,0.006,0.003,-15.6
173.375,342.4,306.8,-20,-20.2,-20,75.4,76.8,3.6,4.1,161.2,972.7,0.006,0.003,-14.9
173.417,399.4,358.6,-19.6,-19.4,-19.2,73.9,75.1,3.6,4.1,170.3,972.4,0.005,0.003,-14.2
173.458,459.8,415,-18,-18.8,-18.8,73.4,74.5,3.6,3.9,167,972,0.003,0.006,-13.3
173.5,518,470.4,-19.2,-17.8,-18,69.7,72.1,3.1,3.3,162.5,971.4,-0.003,0.007,-12.4
173.542,582.4,531,-21.7,-16.6,-16.7,67.6,68.7,2.9,3.1,165.7,971,-0.015,0.005,-11.4
173.583,635,582.4,-34.4,-15.1,-15.2,67,67.9,3.2,3.3,177.4,970.6,-0.008,0.004,-10.3
173.625,633.6,584.2,-51.4,-14.2,-14.2,66.9,67.9,2.7,2.8,185.5,970.4,-0.006,-0.008,-9.7
173.667,648.8,604,-63.4,-13,-13.1,65.7,66.8,2.5,2.6,197.1,970.2,-0.007,-0.009,-9.2
173.708,649,607,-72.7,-12,-12.2,63.9,65.2,2.3,2.4,204.1,970,-0.008,-0.011,-8.8
173.75,632.2,590.6,-75.3,-11.2,-11.4,63.5,64.7,2.1,2.2,212.1,969.9,-0.009,-0.013,-8.6
173.792,582.2,543.8,-77.3,-10.4,-10.7,62.3,64.2,1.5,1.6,218.1,970,-0.014,-0.016,-8.9
173.833,545.4,508.4,-62.9,-10.9,-11.2,65.1,67.2,1.6,1.8,214.2,970.1,-0.011,-0.015,-9.3
173.875,506,471.2,-50.9,-11.2,-11.5,64.8,67.5,1.4,1.7,217,970,-0.013,-0.016,-9.8
173.917,437.4,406.8,-41.5,-13,-13,68.5,71,1.7,2.1,206.2,970.1,-0.011,-0.013,-10.7
173.958,381.4,353.4,-37.9,-14.4,-14.2,69.3,71.4,2,2.5,209.9,970.1,-0.012,-0.014,-11.7
174,323.8,299.4,-39.9,-16,-15.8,71.2,73.6,2.1,2.6,205.9,970.1,-0.012,-0.012,-12.8
174.042,275,253.2,-37.7,-17.5,-17,73.2,75.6,2.3,2.9,201.6,970.2,-0.011,-0.014,-13.9
174.083,226.2,214.6,-34.5,-19,-18.4,74.5,77.1,2.5,3.1,194,970.1,-0.013,-0.013,-14.7
174.125,126.8,169.2,-33,-20.2,-19.6,76.4,78.2,2.9,3.5,191.6,970.1,-0.011,-0.014,-15.5
174.167,134.4,179.2,-74.6,-21,-20.6,76.1,78,3,3.6,193.2,970.3,-0.01,-0.013,-15.9
174.208,31.4,176.6,-119.6,-21.2,-20.8,77.3,79.3,3.1,3.6,193.4,970.5,-0.011,-0.014,-16.2
174.25,65.4,190.8,-22.9,-21.5,-21.2,77.9,80,3.3,3.8,185.8,970.7,-0.01,-0.012,-16.2
174.292,244.6,217.8,-22.2,-21.2,-21,77.1,78.7,3.6,4.1,192.6,971,-0.01,-0.012,-16
174.333,286.8,258.4,-19.8,-20.9,-20.6,76.6,78.1,3.8,4.2,189.8,971.4,-0.01,-0.012,-15.6
174.375,337.4,302,-15.9,-19.5,-19.3,77.6,79.2,3.8,4.2,192.7,971.9,-0.011,-0.012,-14.8
174.417,394.6,352.6,-11.5,-18.4,-18.3,77,78,3.9,4.3,190.7,972.4,-0.011,-0.011,-13.8
174.458,464.4,416.6,-4.2,-17,-16.9,77.8,79.1,3.8,4.2,194.4,972.9,-0.01,-0.01,-12.6
174.5,516.6,467.4,-1,-14.1,-14.3,75.9,78.3,4,4.3,210.3,973.5,-0.008,-0.01,-11.1
174.542,560.6,508.6,-0.4,-13.1,-13.2,73.7,75.5,4.2,4.5,207.7,974.1,-0.011,-0.01,-9.7
174.583,513,469.4,-3.7,-12,-12,74.3,75.7,4.4,4.7,208.8,974.7,-0.011,-0.007,-9.2
174.625,608,557.8,-0.2,-10.8,-10.7,75.7,76.9,5.2,5.5,220.2,975.2,-0.014,-0.008,-7.9
174.667,618.8,571.8,-8.9,-9.6,-9.6,74.3,75.3,4.7,4.9,229.7,975.9,-0.016,-0.013,-6.9
174.708,555.2,512.8,-7,-9.2,-9.2,74.9,75.8,5,5.3,228.4,976.4,-0.015,-0.011,-6.7
