  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  173.083   218.4   218.4   205.0  -39.6  -53.0 -231.4  178.4
  173.125   137.2   137.2   138.2  -10.1   -9.1 -235.6  226.5
  173.167    98.8    98.8   134.6  -59.8  -24.0 -242.9  218.9
  173.208    30.2    30.2   178.2 -128.7   19.3 -225.4  244.7
  173.250    65.8    65.8   191.6  -27.9   97.9 -218.7  316.6
  173.292   247.2   247.2   219.6  -27.5  -55.1 -219.6  164.4
  173.333   291.0   291.0   261.4  -21.6  -51.2 -223.4  172.2
  173.375   342.4   342.4   306.8  -20.0  -55.6 -225.5  169.9
  173.417   399.4   399.4   358.6  -19.6  -60.4 -228.5  168.1
  173.458   459.8   459.8   415.0  -18.0  -62.8 -230.2  167.5
  173.500   518.0   518.0   470.4  -19.2  -66.8 -233.5  166.7
  173.542   582.4   582.4   531.0  -21.7  -73.1 -238.0  164.9
  173.583   635.0   635.0   582.4  -34.4  -87.0 -243.6  156.6
  173.625   633.6   633.6   584.2  -51.4 -100.8 -247.4  146.6
  173.667   648.8   648.8   604.0  -63.4 -108.2 -251.7  143.6
  173.708   649.0   649.0   607.0  -72.7 -114.7 -255.5  140.8
  173.750   632.2   632.2   590.6  -75.3 -116.9 -258.6  141.7
  173.792   582.2   582.2   543.8  -77.3 -115.7 -261.5  145.8
  173.833   545.4   545.4   508.4  -62.9  -99.9 -259.6  159.7
  173.875   506.0   506.0   471.2  -50.9  -85.7 -258.3  172.6
  173.917   437.4   437.4   406.8  -41.5  -72.1 -252.0  179.9
  173.958   381.4   381.4   353.4  -37.9  -65.9 -247.0  181.2
  174.000   323.8   323.8   299.4  -39.9  -64.3 -241.0  176.7
  174.042   275.0   275.0   253.2  -37.7  -59.5 -235.9  176.4
  174.083   226.2   226.2   214.6  -34.5  -46.1 -230.7  184.6
  174.125   126.8   126.8   169.2  -33.0    9.4 -226.1  235.5
  174.167   134.4   134.4   179.2  -74.6  -29.8 -222.9  193.1
  174.208    31.4    31.4   176.6 -119.6   25.6 -222.4  248.1
  174.250    65.4    65.4   190.8  -22.9  102.5 -221.1  323.6
  174.292   244.6   244.6   217.8  -22.2  -49.0 -222.0  172.9
  174.333   286.8   286.8   258.4  -19.8  -48.2 -223.2  175.0
  174.375   337.4   337.4   302.0  -15.9  -51.3 -228.1  176.8
  174.417   394.6   394.6   352.6  -11.5  -53.5 -231.8  178.4
  174.458   464.4   464.4   416.6   -4.2  -52.0 -237.0  185.0
  174.500   516.6   516.6   467.4   -1.0  -50.2 -247.4  197.2
  174.542   560.6   560.6   508.6    -.4  -52.4 -251.4  199.0
  174.583   513.0   513.0   469.4   -3.7  -47.3 -255.9  208.6
  174.625   608.0   608.0   557.8    -.2  -50.4 -260.8  210.4
  174.667   618.8   618.8   571.8   -8.9  -55.9 -265.2  209.3
  174.708   555.2   555.2   512.8   -7.0  -49.4 -266.9  217.5
  174.750   548.6   548.6   509.0  -16.2  -55.8 -269.6  213.7
  174.792   528.8   528.8   490.0  -13.9  -52.7 -270.6  217.9
  174.833   526.8   526.8   488.6  -30.6  -68.8 -271.3  202.4
  174.875   468.6   468.6   433.6  -22.8  -57.8 -270.3  212.6
  174.917   359.6   359.6   332.8  -13.9  -40.7 -269.1  228.5
  174.958   271.2   271.2   251.6     .2  -19.4 -268.9  249.5
  175.000   189.4   189.4   176.8   -7.6  -20.2 -266.9  246.7
  175.042   168.4   168.4   157.2   -2.4  -13.6 -264.4  250.8
  175.083   134.6   134.6   125.0     .4   -9.2 -262.6  253.4
  175.125   123.8   123.8   115.8   -1.5   -9.5 -264.0  254.5
  175.167   114.8   114.8   106.8     .3   -7.7 -263.9  256.2
  175.208   114.6   114.6   107.2    -.4   -7.8 -263.3  255.5
  175.250   132.4   132.4   147.6  -10.6    4.6 -260.2  264.7
  175.292   153.0   153.0   144.2    1.3   -7.5 -258.5  251.0
  175.333   210.2   210.2   199.8     .0  -10.4 -264.3  253.9
  175.375   238.8   238.8   223.8    3.9  -11.1 -264.5  253.4
  175.417   281.0   281.0   262.8    3.2  -15.0 -263.9  248.9
  175.458   416.6   416.6   390.6   -6.8  -32.8 -264.0  231.2
  175.500   417.0   417.0   388.6   -3.5  -31.9 -265.7  233.8
  175.542   482.6   482.6   449.4   -1.9  -35.1 -269.0  233.9
  175.583   488.2   488.2   455.2   -2.2  -35.2 -270.8  235.6
  175.625   527.2   527.2   492.0    1.7  -33.5 -270.4  237.0
  175.667   609.6   609.6   568.2   -4.2  -45.6 -272.2  226.7
  175.708   653.2   653.2   608.0   -2.8  -48.0 -272.6  224.6
  175.750   520.8   520.8   486.6   -4.9  -39.1 -272.3  233.1
  175.792   538.8   538.8   499.0  -18.1  -57.9 -273.7  215.8
  175.833   443.6   443.6   410.8  -12.0  -44.8 -269.9  225.0
  175.875   475.2   475.2   436.4  -18.2  -57.0 -270.6  213.6
  175.917   337.2   337.2   315.6  -19.0  -40.6 -268.3  227.7
  175.958   328.8   328.8   304.6  -26.5  -50.7 -269.7  219.1
  176.000   263.2   263.2   246.8  -12.5  -28.9 -260.7  231.8
  176.042   192.4   192.4   181.2  -24.4  -35.6 -256.8  221.2
  176.083   223.0   223.0   210.0  -32.3  -45.3 -256.4  211.1
  176.125   122.4   122.4   119.8   -6.1   -8.7 -255.3  246.6
  176.167   115.6   115.6   112.6   -2.5   -5.5 -252.5  247.1
  176.208   120.0   120.0   112.8    1.6   -5.6 -256.9  251.4
  176.250   126.8   126.8   119.2    1.4   -6.2 -259.0  252.8
  176.292   146.0   146.0   137.2    1.6   -7.2 -258.9  251.7
  176.333   182.6   182.6   171.4    2.7   -8.5 -259.6  251.1
  176.375   222.8   222.8   209.0    2.9  -10.9 -262.0  251.0
  176.417   257.6   257.6   241.4    1.9  -14.3 -259.6  245.3
  176.458   320.4   320.4   300.4    2.4  -17.6 -259.1  241.5
  176.500   377.0   377.0   353.4    2.3  -21.3 -262.9  241.6
  176.542   428.2   428.2   401.2    3.0  -24.0 -264.4  240.4
  176.583   518.0   518.0   484.6    5.3  -28.1 -266.2  238.1
  176.625   553.4   553.4   518.0    3.3  -32.1 -268.8  236.6
  176.667   499.8   499.8   468.2     .1  -31.5 -268.9  237.4
  176.708   479.8   479.8   450.2   -1.2  -30.8 -269.6  238.9
  176.750   507.6   507.6   475.0    1.1  -31.5 -270.8  239.3
  176.792   571.0   571.0   528.6  -15.9  -58.3 -271.0  212.6
  176.833   437.0   437.0   406.6  -10.2  -40.6 -270.3  229.7
  176.875   347.6   347.6   325.6     .4  -21.6 -271.6  250.0
  176.917   310.4   310.4   290.2     .3  -19.9 -272.4  252.4
  176.958   257.6   257.6   240.8   -1.3  -18.1 -272.6  254.6
  177.000   228.8   228.8   213.4   -1.5  -16.9 -272.5  255.6
  177.042   162.8   162.8   153.0   -1.9  -11.7 -271.6  259.9
  177.083   151.8   151.8   144.2   -7.5  -15.1 -268.2  253.1
  177.125   127.0   127.0   123.6  -12.1  -15.5 -265.4  249.9
  177.167   117.6   117.6   117.0   -8.7   -9.3 -260.9  251.6
  177.208   115.8   115.8   112.0    1.5   -2.3 -260.2  257.9
  177.250    74.8    74.8   186.2  -12.5   98.9 -252.9  351.7
  177.292   238.0   238.0   222.8  -13.7  -28.9 -245.8  216.9
  177.333   279.2   279.2   262.8  -14.7  -31.1 -248.2  217.1
  177.375   331.0   331.0   308.0  -13.9  -36.9 -249.4  212.5
  177.417   386.8   386.8   357.4  -13.6  -43.0 -251.2  208.1
  177.458   446.0   446.0   410.0  -12.5  -48.5 -252.8  204.3
  177.500   502.8   502.8   459.6  -10.8  -54.0 -257.8  203.8
  177.542   555.0   555.0   504.4   -5.6  -56.2 -262.5  206.3
  177.583   598.8   598.8   542.6    -.2  -56.4 -265.9  209.5
  177.625   622.6   622.6   563.6    1.5  -57.5 -268.7  211.2
  177.667   637.2   637.2   578.6     .6  -58.0 -270.7  212.7
  177.708   637.8   637.8   579.0   -2.2  -61.0 -272.7  211.7
  177.750   571.8   571.8   517.2   -7.4  -62.0 -272.9  210.9
  177.792   581.2   581.2   525.0   -6.0  -62.2 -274.2  212.0
  177.833   504.2   504.2   458.0  -10.5  -56.7 -273.8  217.1
  177.875   440.6   440.6   401.8  -15.9  -54.7 -272.6  217.9
  177.917   330.6   330.6   302.6  -14.0  -42.0 -270.1  228.1
  177.958   343.8   343.8   314.6  -18.5  -47.7 -269.6  221.9
  178.000   207.4   207.4   191.6  -14.0  -29.8 -268.9  239.1
  178.042   151.2   151.2   140.4  -14.8  -25.6 -268.8  243.2
  178.083   150.4   150.4   140.6  -12.6  -22.4 -268.4  246.0
  178.125   144.2   144.2   135.4   -3.8  -12.6 -268.1  255.5
  178.167   105.6   105.6    98.2   -3.9  -11.3 -267.2  255.9
  178.208    96.8    96.8    89.6   -2.4   -9.6 -266.4  256.8
  178.250    99.4    99.4    92.2   -2.7   -9.9 -265.4  255.6
  178.292   119.8   119.8   110.8    -.4   -9.4 -264.7  255.3
  178.333   162.0   162.0   149.6    2.1  -10.3 -264.9  254.6
  178.375   211.2   211.2   195.6    1.8  -13.8 -265.6  251.8
  178.417   269.0   269.0   248.8    2.2  -18.0 -266.5  248.6
  178.458   312.0   312.0   288.2    2.8  -21.0 -267.1  246.2
  178.500   349.6   349.6   322.2    4.0  -23.4 -268.3  244.9
  178.542   390.4   390.4   358.8    5.1  -26.5 -269.1  242.6
  178.583   443.8   443.8   406.6    4.5  -32.7 -269.7  237.0
  178.625   684.6   684.6   623.8   21.8  -39.0 -272.9  233.9
  178.667   611.4   611.4   556.8    4.0  -50.6 -273.6  223.0
  178.708   561.0   561.0   511.8    9.4  -39.8 -274.8  234.9
  178.750   538.8   538.8   492.0   11.8  -35.0 -275.9  240.9
  178.792   467.8   467.8   429.2    5.1  -33.5 -275.9  242.4
  178.833   453.4   453.4   414.2   14.9  -24.3 -275.8  251.5
  178.875   318.0   318.0   291.8    7.6  -18.6 -276.7  258.1
  178.917   277.8   277.8   255.4    5.2  -17.2 -276.1  258.8
  178.958   216.8   216.8   200.4    1.0  -15.4 -274.9  259.4
  179.000   167.4   167.4   154.8   -1.0  -13.6 -274.6  260.9
  179.042   140.0   140.0   129.2   -1.1  -11.9 -274.4  262.5
  179.083   141.6   141.6   131.8   -4.4  -14.2 -273.2  258.9
  179.125   123.0   123.0   115.6    -.6   -8.0 -273.0  265.1
  179.167   104.8   104.8    96.6    1.1   -7.1 -272.9  265.8
  179.208   108.6   108.6   100.2    1.6   -6.8 -273.3  266.5
  179.250   131.0   131.0   120.6    3.0   -7.4 -274.3  266.9
  179.292   130.4   130.4   120.6    2.2   -7.6 -275.3  267.6
  179.333   166.4   166.4   153.4    2.8  -10.2 -276.2  265.9
  179.375   223.2   223.2   206.4   -1.7  -18.5 -277.3  258.8
  179.417   265.0   265.0   244.2     .4  -20.4 -279.0  258.6
  179.458   303.4   303.4   278.4   10.5  -14.5 -280.8  266.3
  179.500   369.2   369.2   338.0   14.7  -16.5 -283.5  266.9
  179.542   416.8   416.8   381.0   16.2  -19.6 -284.9  265.3
  179.583   493.2   493.2   448.2   18.1  -26.9 -285.5  258.6
  179.625   556.0   556.0   504.2   15.0  -36.8 -285.8  249.0
  179.667   447.8   447.8   408.8    5.2  -33.8 -286.4  252.6
  179.708   421.2   421.2   386.8    3.1  -31.3 -286.3  255.0
  179.750   459.6   459.6   421.2    5.1  -33.3 -287.7  254.4
