  191.125   8.18   9.61  127.7    .5
  191.250   8.51   9.72  122.6  -1.4
  191.375   8.93   9.84  125.2  -1.6
  191.500   8.31   8.94  129.5    .3
  191.625   6.66   7.86  132.4   2.0
  191.750   5.15   5.67  134.3   2.1
  191.875   3.74   4.38  128.4   1.6
  192.000   4.39   4.75  129.4    .4
  192.125   4.87   5.41  124.3  -1.1
  192.250   4.91   5.41  109.8    .0
  192.375   4.20   4.98  100.2   -.9
  192.500   5.23   5.75  128.8   1.4
  192.625   5.52   5.95  119.7   1.5
  192.750   5.20   5.57  119.1   1.7
  192.875   4.91   5.21  123.6   1.6
  193.000   4.32   4.79  107.6   1.2
  193.125   4.09   4.78  119.7    .3
  193.250   4.47   4.86  103.8   -.9
  193.375   4.89   5.57  111.4   -.1
  193.500   5.97   6.21  119.4   1.4
  193.625   5.99   6.41  128.3   1.8
  193.750   5.03   5.83  128.9   2.1
  193.875   3.83   4.39  118.4   1.7
  194.000   3.72   4.12  108.2   -.1
  194.125   3.95   4.42   99.5  -1.5
  194.250   4.90   6.04   99.9  -1.8
  194.375   6.49   7.02  119.4   -.6
  194.500   7.02   7.36  127.3   1.1
  194.625   6.35   6.95  123.0   1.8
  194.750   4.83   5.52  113.0   2.0
  194.875   3.65   3.87  106.3   1.4
  195.000   3.55   3.81   99.4   -.4
  195.125   3.96   4.44  102.9  -1.8
  195.250   5.19   6.00  103.1  -2.7
  195.375   6.03   6.62  100.7  -2.4
  195.500   6.35   6.81  101.4   -.3
  195.625   6.02   6.34  114.2    .7
  195.750   5.87   6.16  118.2   1.4
  195.875   5.20   5.78  110.9   1.0
  196.000   6.13   6.48  118.6   -.2
  196.125   6.72   7.30  114.0  -2.2
  196.250   7.70   8.04  122.6  -3.5
  196.375   9.00   9.76  109.6  -2.8
  196.500   9.31   9.68  117.4  -1.6
  196.625   8.32   8.89  126.1    .5
  196.750   6.38   7.29  126.4   1.4
  196.875   5.59   6.09  126.4    .8
  197.000   4.38   5.03  113.3  -1.3
  197.125   5.06   5.76  114.3  -3.7
  197.250   6.44   7.73  103.5  -5.3
  197.375   6.26   7.42  125.3  -1.0
  197.500   6.89   7.66  122.6  -1.3
  197.625   6.00   6.88  130.4    .6
  197.750   4.84   5.68  136.7   1.4
  197.875   3.07   4.04  121.2    .9
  198.000   2.45   2.81  127.4  -1.5
  198.125   2.80   3.39   95.8  -3.3
  198.250   3.90   4.78  113.5  -3.0
  198.375   4.97   5.36  109.2  -2.4
  198.500   4.17   5.18  141.8   1.0
  198.625   2.56   2.99  167.3    .8
  198.750   3.22   3.79  150.0    .5
  198.875   3.05   3.52  142.8    .9
  199.000   3.80   4.30  153.9    .0
  199.125   3.98   4.20  146.1   -.1
  199.250   4.07   4.31  143.9   -.1
  199.375   4.24   4.84  145.9    .0
  199.500   3.64   4.64  139.1   1.2
  199.625   3.28   3.91  144.3   1.8
  199.750   2.98   3.37  135.4   1.8
  199.875   3.77   4.02  140.9   1.0
  200.000   4.22   4.88  139.5    .3
  200.125   5.60   6.12  133.5   -.7
  200.250   4.63   5.27  132.8    .7
  200.375   4.23   5.00  121.5    .9
  200.500   5.93   6.75  118.8    .6
  200.625   6.22   7.34  131.2   1.0
  200.750   5.69   6.22  117.5    .9
  200.875   4.28   5.28  104.8    .4
  201.000   3.92   4.77  106.1  -1.2
  201.125   4.33   4.73  107.0  -2.5
  201.250   5.36   5.70  113.1  -3.8
  201.375   6.31   7.15  113.1  -3.0
  201.500   7.06   7.34  121.3   -.8
  201.625   5.61   6.43  122.5    .8
  201.750   4.35   4.77  113.7   1.3
  201.875   3.98   4.70  133.3   1.4
  202.000   4.27   4.92  106.8  -1.1
  202.125   4.22   4.84  100.2  -3.0
  202.250   6.19   7.04  103.5  -3.6
  202.375   7.58   8.05  114.1  -3.3
  202.500   7.43   7.84  124.0   -.7
  202.625   6.86   7.36  133.4    .7
  202.750   4.96   6.16  135.2   1.4
  202.875   4.29   4.87  137.4    .8
  203.000   4.34   4.70  137.9    .8
  203.125   4.48   4.80  128.0    .9
  203.250   4.68   5.25  131.3    .6
  203.375   6.61   7.00  125.0    .1
  203.500   7.34   7.79  131.9   -.2
  203.625   6.89   7.49  141.2    .9
  203.750   4.86   6.32  154.0   1.3
  203.875   3.62   4.62  139.7    .8
  204.000   3.35   4.24  141.0    .4
  204.125   4.45   4.82  142.7    .3
  204.250   4.11   4.59  153.0    .2
  204.375   4.50   4.77  148.3    .1
  204.500   4.74   5.26  150.7    .8
  204.625   4.35   4.98  153.1   1.3
  204.750   4.55   5.10  141.2   1.4
  204.875   4.84   5.32  132.1   1.5
  205.000   5.64   6.32  134.3   1.4
  205.125   5.49   6.41  132.8   1.2
  205.250   5.67   6.61  134.4   1.6
  205.375   6.43   7.29  142.7   1.6
  205.500   7.33   8.40  150.3   2.0
  205.625   8.31   8.91  140.6   2.0
  205.750   7.16   8.41  141.2   1.8
  205.875   4.92   5.89  140.7   1.0
  206.000   4.90   5.15  146.5    .7
  206.125   5.07   5.91  131.8    .8
  206.250   3.54   4.25  119.2    .8
  206.375   2.73   3.21  139.2    .7
  206.500   3.36   3.93  158.5    .7
  206.625   2.12   2.70  153.2   1.9
  206.750   3.15   4.27  146.7   1.8
  206.875   3.09   3.86  143.4   1.4
  207.000   3.84   5.06  129.5    .6
  207.125   5.69   6.26  124.3   -.9
  207.250   7.22   8.17  122.2  -2.1
  207.375   9.32  10.10  134.1  -1.3
  207.500   9.17  10.03  131.8    .3
  207.625   7.01   8.32  144.4   1.0
  207.750   5.17   5.57  157.3   1.0
  207.875   5.19   5.61  163.0    .4
  208.000   3.95   5.01  140.7    .6
  208.125   3.95   5.13  135.6    .9
  208.250   5.45   6.92  129.4    .8
  208.375   7.73   9.92  117.3  -1.4
  208.500   9.67  10.65  123.8    .2
  208.625   8.36   9.06  125.0    .4
  208.750   7.20   8.75  137.1   1.5
  208.875   5.68   6.23  127.4   1.3
  209.000   4.98   5.45  119.1    .4
  209.125   5.70   6.30  103.4  -2.2
  209.250   6.40   7.12   98.7  -3.4
  209.375   8.43   9.04  116.4  -2.6
  209.500   8.38   8.86  106.1  -1.6
