  184.625   5.32 129.80    .89
  184.750   3.52 136.90   1.60
  184.875   2.42 127.90   1.80
  185.000   2.16  97.30   -.57
  185.125   2.98  95.30  -3.15
  185.250   3.86 104.70  -4.55
  185.375   5.48  98.10  -4.04
  185.500   6.07 105.30  -2.58
  185.625   5.56 129.80   -.36
  185.750   3.66 142.70   1.14
  185.875   2.06 132.40   1.51
  186.000   2.21 119.80   -.24
  186.125   2.85 103.50  -1.93
  186.250   4.39 126.40  -2.54
  186.375   5.88 131.20  -1.12
  186.500   6.37 134.40   -.16
  186.625   4.92 162.50    .91
  186.750   4.20 153.50    .82
  186.875   4.03 152.70    .30
  187.000   3.94 152.20   -.14
  187.125    .89 160.60   -.98
  187.250    .00 128.50  -1.28
  187.375    .00  92.20  -2.58
  187.500   4.82 135.90    .79
  187.625   5.39 144.00   1.36
  187.750   5.18 130.60   1.65
  187.875   3.60 102.60   1.42
  188.000   2.63 103.00    .70
  188.125   1.59  81.60    .60
  188.250   3.18 101.60  -1.89
  188.375   3.02  96.50  -1.13
  188.500   4.10 118.20   -.09
  188.625   4.00 140.60    .59
  188.750   1.21   6.73   1.20
  188.875   2.72  79.40    .01
  189.000   2.14 196.90  -1.69
  189.125   1.25 139.80  -5.08
  189.250   4.69 111.40  -5.64
  189.375   5.66 119.60  -4.09
  189.500   6.63 125.80  -2.67
  189.625   5.25 158.20  -1.09
  189.750   4.33 141.80   -.40
  189.875   4.58 153.10   -.36
  190.000   3.21 126.80  -1.78
  190.125   4.60 105.60  -3.60
  190.250   6.83 105.40  -5.80
  190.375   9.11 123.70  -6.69
  190.500   8.47 124.60  -4.09
  190.625   7.48 141.50  -1.37
  190.750   4.77 143.40    .67
  190.875   3.87 123.30   1.10
  191.000   3.63 120.00   -.15
  191.125   4.18 100.70  -3.28
  191.250   4.83 110.40  -5.70
  191.375   5.78 121.10  -5.41
  191.500   5.99 141.30  -3.60
  191.625   5.01 157.30  -1.38
  191.750   3.59 166.40   -.22
  191.875   2.18 162.50    .42
  192.000   1.66 150.00   -.16
  192.125   2.36 148.20  -1.13
  192.250   2.48 142.40  -1.22
  192.375   2.42 130.90   -.82
  192.500   2.25 156.70   -.06
  192.625   1.66 236.60   2.33
  192.750    .97 202.10   2.09
  192.875    .96 186.20    .58
  193.000   1.31 148.60  -1.05
  193.125   1.75 116.80  -3.08
  193.250   1.81  93.40  -3.49
  193.375   2.00 105.20  -4.24
  193.500   3.48 103.70  -2.30
  193.625   5.56 121.80  -1.73
  193.750   2.99 123.90    .31
  193.875   2.59 121.50    .58
  194.000   3.57 123.10   -.88
  194.125   4.90 119.80  -2.95
  194.250   5.90 109.00  -4.47
  194.375   6.06 124.00  -4.69
  194.500   7.14 118.90  -2.14
  194.625   6.53 133.70   -.68
  194.750   4.91 126.70    .57
  194.875   3.14 131.00    .91
  195.000   3.17 129.70   -.97
  195.125   4.38 122.20  -3.20
  195.250   4.78 106.60  -4.80
  195.375   5.12 114.70  -3.95
  195.500   5.76 124.40  -1.28
  195.625   5.34 121.80    .55
  195.750   3.92 126.40   1.48
  195.875   3.00 106.10   1.51
