  Jul.Day  S1(up)  S2(up)  S(dw)   Alb1 Alb2  net_rad
  174.750   499.1   487.2   373.8  75.  77.   80.8
  174.792   581.5   562.0   414.4  71.  74.   93.1
  174.833   249.8   239.8   183.9  74.  77.    3.3
  174.875   179.9   176.2   141.8  79.  80.   12.6
  174.917   114.4   109.5    91.2  80.  83.   -7.5
  174.958    78.9    79.4    64.6  82.  81.    9.7
  175.001    43.8    44.8    36.3  83.  81.   -3.9
  175.042    19.3    21.3    18.0  93.  85.  -47.7
  175.084    16.7    21.1    18.2 109.  86.  -50.8
  175.125    18.8    25.1    23.7 126.  95.  -51.1
  175.167    36.4    37.4    35.9  99.  96.  -52.3
  175.208    64.3    64.7    57.7  90.  89.  -47.8
  175.250   119.3   119.4   101.6  85.  85.  -38.4
  175.292   186.6   187.3   158.1  85.  84.  -27.2
  175.333   270.0   271.9   222.9  83.  82.   -8.3
  175.375   365.6   367.5   293.2  80.  80.   13.2
  175.417   465.3   459.8   363.9  78.  79.   40.8
  175.458   566.7   556.7   427.7  75.  77.   66.0
  175.500   650.9   633.6   482.9  74.  76.   90.4
  175.542   716.6   690.7   520.2  73.  75.  107.7
  175.583   753.9   727.8   536.6  71.  74.  117.3
  175.625   763.5   736.7   535.4  70.  73.  122.1
  175.667   744.2   717.2   518.8  70.  72.  120.5
  175.708   700.4   675.4   488.1  70.  72.  108.0
  175.750   632.0   607.9   441.2  70.  73.   86.1
  175.792   543.0   522.5   381.5  70.  73.   62.1
  175.833   440.9   425.0   315.4  72.  74.   37.0
  175.875   339.2   325.8   247.7  73.  76.   10.4
  175.917   261.1   248.3   195.5  75.  79.   -4.6
  175.958   129.7    82.5   101.0  78. 122.  -34.5
  176.001    98.8    94.5    77.9  79.  82.  -46.3
  176.042    49.1    51.6    45.4  93.  88.  -59.0
  176.084    20.4    33.4    30.7 150.  92.  -65.3
  176.125    21.5    28.7    26.3 122.  92.  -63.0
  176.167    36.6    38.2    35.9  98.  94.  -64.6
  176.208    65.1    66.0    60.1  92.  91.  -59.6
  176.250   117.4   117.7   103.1  88.  88.  -49.4
  176.292   185.2   185.7   160.5  87.  86.  -37.0
  176.333   271.5   273.2   227.1  84.  83.  -16.2
  176.375   368.3   369.7   299.5  81.  81.    5.0
  176.417   467.4   460.9   370.3  79.  80.   30.7
  176.458   565.8   554.9   433.7  77.  78.   54.0
  176.500   648.5   631.2   487.8  75.  77.   79.5
  176.542   712.2   686.5   520.8  73.  76.  100.1
  176.583   749.7   723.3   535.0  71.  74.  114.0
  176.625   752.9   727.1   531.6  71.  73.  116.2
  176.667   607.7   590.8   439.8  72.  74.   80.4
  176.708   479.3   471.7   364.4  76.  77.   51.1
  176.750   542.1   530.7   400.8  74.  76.   67.7
  176.792   424.4   418.5   322.1  76.  77.   45.0
  176.833   287.9   282.2   218.3  76.  77.   12.9
  176.875   224.5   216.9   169.5  75.  78.  -14.2
  176.917   236.4   224.0   178.4  75.  80.  -23.4
  176.958   156.0    90.0   121.0  78. 134.  -43.8
  177.001    97.5    93.1    77.5  79.  83.  -58.8
  177.042    49.7    52.5    46.4  93.  88.  -68.3
  177.084    20.2    32.4    29.4 146.  91.  -69.9
  177.125    20.9    28.4    26.2 125.  92.  -65.6
  177.167    36.2    38.1    35.4  98.  93.  -63.9
  177.208    62.1    62.9    56.2  91.  89.  -57.0
  177.250   111.0   111.3    94.7  85.  85.  -40.4
  177.292   151.5   152.5   123.0  81.  81.   11.5
  177.333   152.6   153.5   123.1  81.  80.   19.0
  177.375   212.8   213.4   173.4  81.  81.   26.2
  177.417   253.8   253.8   209.5  83.  83.   25.4
  177.458   408.0   406.8   338.1  83.  83.   35.9
  177.500   503.4   499.8   420.6  84.  84.   43.7
  177.542   658.2   648.9   533.9  81.  82.   66.8
  177.583   632.0   623.5   502.2  79.  81.   68.7
  177.625   617.2   604.7   480.3  78.  79.   68.7
  177.667   616.3   605.3   483.6  78.  80.   71.2
  177.708   639.0   621.5   494.4  77.  80.   70.1
  177.750   597.3   578.5   458.3  77.  79.   55.7
  177.792   476.6   458.5   365.1  77.  80.   29.1
  177.833   404.8   390.7   315.6  78.  81.   17.9
  177.875   332.2   318.4   260.9  79.  82.  -13.6
  177.917   229.2   217.3   185.0  81.  85.  -30.8
  177.958   153.5    86.0   127.2  83. 148.  -43.6
  178.001    95.2    91.1    80.9  85.  89.  -52.7
  178.042    48.0    51.1    48.3 101.  94.  -58.5
  178.084    21.2    33.9    32.7 154.  97.  -59.9
  178.125    21.0    28.9    28.2 134.  97.  -56.2
  178.167    36.2    37.7    36.8 102.  97.  -54.9
  178.208    65.1    65.7    60.7  93.  92.  -50.3
  178.250   117.4   116.4   103.1  88.  89.  -41.4
  178.292   184.4   182.2   160.9  87.  88.  -33.1
  178.333   271.1   269.0   230.7  85.  86.  -18.2
  178.375   368.2   364.7   304.0  83.  83.    1.0
  178.417   480.2   474.5   389.4  81.  82.   27.9
  178.458   583.5   569.5   458.5  79.  81.   42.4
  178.500   650.8   631.1   503.9  77.  80.   59.7
  178.542   711.8   686.3   542.0  76.  79.   74.2
  178.583   738.2   715.8   552.9  75.  77.   82.1
  178.625   728.6   706.4   540.4  74.  77.   82.1
  178.667   568.8   555.1   433.3  76.  78.   50.2
  178.708   486.4   481.3   385.7  79.  80.   36.8
  178.750   520.3   515.2   411.9  79.  80.   46.2
  178.792   441.2   436.3   348.6  79.  80.   29.2
  178.833   341.9   336.2   270.6  79.  80.    7.8
  178.875   276.2   267.6   218.4  79.  82.  -13.6
  178.917   215.7   206.3   173.6  80.  84.  -29.0
  178.958   120.1   116.9    99.6  83.  85.   -9.1
  179.001    59.7    60.5    50.2  84.  83.  -17.4
  179.042    36.2    37.3    30.8  85.  83.  -23.9
  179.084    21.3    23.0    19.3  91.  84.  -40.6
  179.125    16.9    17.9    14.8  88.  83.  -41.3
  179.167    28.5    29.8    24.5  86.  82.  -27.0
  179.208    44.0    45.0    38.0  86.  84.  -38.0
  179.250    78.9    79.4    67.4  85.  85.  -41.2
  179.292   157.6   158.5   133.6  85.  84.  -25.5
  179.333   251.6   251.5   211.5  84.  84.  -19.8
  179.375   352.4   350.5   288.8  82.  82.   -3.7
  179.417   463.8   454.2   371.7  80.  82.   22.4
  179.458   564.3   550.2   438.4  78.  80.   43.0
  179.500   645.6   625.3   494.6  77.  79.   63.6
  179.542   710.0   682.0   533.0  75.  78.   79.1
  179.583   747.6   719.4   550.9  74.  77.   88.2
  179.625   756.1   729.4   551.1  73.  76.   92.6
  179.667   738.8   712.3   535.8  73.  75.   92.6
  179.708   695.0   671.7   504.5  73.  75.   81.3
  179.750   629.4   607.4   459.5  73.  76.   60.3
  179.792   539.4   521.0   399.1  74.  77.   35.8
  179.833   441.8   428.0   335.1  76.  78.    8.7
  179.875   334.5   323.0   260.6  78.  81.  -18.5
  179.917   243.2   232.3   194.2  80.  84.  -37.8
  179.958   158.1    87.6   129.2  82. 148.  -51.4
  180.001    95.1    91.1    80.1  84.  88.  -62.3
  180.042    48.6    51.7    48.9 101.  95.  -67.7
  180.084    20.2    32.5    31.6 156.  97.  -68.1
  180.125    20.8    27.8    26.2 126.  94.  -60.2
  180.167    25.3    25.9    22.1  87.  85.  -13.2
  180.208    27.4    27.5    23.1  84.  84.    2.2
  180.250    29.1    29.3    25.0  86.  85.    2.3
  180.292    59.2    59.2    50.1  85.  85.    5.6
  180.333   121.8   121.5   102.4  84.  84.    9.9
  180.375   202.0   201.5   170.7  85.  85.   13.5
  180.417   361.7   359.3   310.3  86.  86.   25.0
  180.458   352.8   351.4   307.2  87.  87.   15.2
  180.500   402.1   400.5   354.4  88.  88.   12.0
  180.542   444.5   442.7   393.8  89.  89.   11.0
  180.583   503.4   501.0   446.5  89.  89.   10.0
