"TOA5","0","CR1000","59715","CR1000.Std.26","CPU:GOES Swiss Camp 10 m tower and Radar 2016.CR1","38239","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_air_Avg","t_air1_Avg","t_air2_Avg","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","tc_air_Max","tc_air_Min","U_Max(1)","U_Max(2)","Battery","val(1)","val(2)","val(3)","val(4)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Max","Max","Smp","Smp","Smp","Smp","Smp"
"2016-05-10 19:00:00",0,0,2016,131,19,5.779,"NAN",2.931,-3.374,-3.061,-2.415,79.06,76.23,2.889,3.12,165.2,130.4,574.9,1.127,1.502,-3.106,-3.665,4.573,4.874,15.02,0,0,0,0
"2016-05-10 20:00:00",1,0,2016,131,20,4.717,"NAN",0.561,-3.105,-3.093,-1.661,79.08,74.65,1.035,1.512,150.8,117.5,585.3,1.333,1.36,-2.683,-3.788,2.169,3.332,14.94,0,0,0,19
"2016-05-10 21:00:00",2,0,2016,131,21,3.598,"NAN",0.723,-4.618,-4.65,-3.063,83.2,79.37,2.205,3.689,140,104.6,585.5,1.338,1.359,-3.782,-5.498,2.875,4.704,14.74,0,0,0,19
"2016-05-10 22:00:00",3,0,2016,131,22,2.759,"NAN",-0.065,-6.01,-6.203,-3.647,83.5,78.64,2.196,4.111,109.5,79.95,585.5,1.341,1.364,-5.345,-6.511,2.639,4.711,14.49,0,0,0,19
"2016-05-10 23:00:00",4,0,2016,131,23,1.639,"NAN",-2.802,-7.877,-8.06,-5.126,82.9,78.68,2.458,4.74,96.1,66.68,585.5,1.345,1.373,-6.49,-9.31,3.489,5.769,14.26,0,0,0,19
"2016-05-11 00:00:00",5,0,2016,132,0,0.757,"NAN",-4.911,-10.04,-10.36,-7.844,83.2,77.97,2.537,4.663,101.5,71.2,585.5,1.35,1.385,-8.97,-10.9,3.868,6.377,14.06,0,0,0,19
"2016-05-11 01:00:00",6,0,2016,132,1,0.217,"NAN",-4.336,-11.39,-11.69,-9.59,84.2,78.92,2.294,4.396,101.7,74.7,585.6,1.353,1.389,-10.7,-11.98,3.476,5.958,13.9,0,0,0,19
"2016-05-11 02:00:00",7,0,2016,132,2,0.051,"NAN",-3.884,-11.07,-11.37,-9.16,85.8,80.3,3.609,6.013,100.8,77.79,585.7,1.352,1.389,-10.73,-11.96,4.299,6.795,13.78,0,0,0,19
"2016-05-11 03:00:00",8,0,2016,132,3,0.018,"NAN",-3.936,-10.79,-11.16,-9.35,86.3,80.8,3.312,5.431,87,75.93,585.7,1.352,1.384,-10.14,-12.05,4.436,6.625,13.65,0,0,0,19
"2016-05-11 04:00:00",9,0,2016,132,4,0.016,"NAN",-3.867,-10.75,-11.01,-9.06,86.2,81.1,3.31,5.426,96.6,72.13,585.6,1.351,1.383,-9.87,-11.86,4.56,6.729,13.58,0,0,0,19
"2016-05-11 05:00:00",10,0,2016,132,5,0.038,"NAN",-3.605,-9.75,-10.11,-8.34,87.4,81.6,3.568,5.858,92,73.21,585.5,1.348,1.388,-8.91,-11.09,4.469,6.723,13.46,0,0,0,19
"2016-05-11 06:00:00",11,0,2016,132,6,0.183,"NAN",-3.982,-9.1,-9.41,-7.893,84.9,79.84,4.035,6.207,91.2,72.76,585.4,1.347,1.381,-8.16,-10.4,5.253,7.448,13.45,0,0,0,19
"2016-05-11 07:00:00",12,0,2016,132,7,0.629,"NAN",-5.184,-8.03,-8.22,-7.097,81.3,77.04,5.643,7.458,94.7,78.05,585.3,1.346,1.37,-7.641,-8.46,7.265,8.21,13.53,0,0,0,19
"2016-05-11 08:00:00",13,0,2016,132,8,1.348,"NAN",-4.837,-7.118,-7.252,-6.386,79.9,76.01,6.728,7.222,90.4,76.61,585.3,1.342,1.336,-6.538,-7.843,7.964,8.11,13.7,0,0,0,19
"2016-05-11 09:00:00",14,0,2016,132,9,1.98,"NAN",-4.746,-5.981,-6.085,-5.238,80.1,76.65,6.156,7.622,98.2,78.79,585.3,1.337,1.333,-5.407,-6.748,7.154,8.26,13.96,0,0,0,19
"2016-05-11 10:00:00",15,0,2016,132,10,3.207,"NAN",-4.382,-4.288,-4.356,-3.442,80.1,76.84,5.354,7.18,107,83.8,585.4,1.334,1.329,-3.155,-5.548,6.527,8.11,14.37,8,0,64,210
"2016-05-11 11:00:00",16,0,2016,132,11,4.276,"NAN",-4.989,-2.734,-2.742,-1.631,76.71,72.87,4.549,6.378,108.2,83.2,585.3,1.33,1.341,-1.382,-3.395,6.167,7.964,14.66,0,0,0,19
"2016-05-11 12:00:00",17,0,2016,132,12,4.495,"NAN",-4.879,-0.553,-0.539,0.599,75.37,71.21,4.105,5.713,134.9,103.2,585.1,1.325,1.339,0.616,-1.405,5.063,6.651,15.11,0,0,0,19
