  Julian    Wind   Wind   Wind   Temp
    Day      mean   max   dir     C
  167.833   5.98   6.36  186.2    .5
  167.875   5.06   5.55  148.9    .3
  167.917   5.91   6.98  140.7    .8
  167.958   6.68   7.27  127.4   1.1
  168.000   7.11   7.34  133.0   1.3
  168.042   6.01   7.10  180.7    .4
  168.083   5.73   6.06  156.2   -.1
  168.125   5.92   6.66  140.6    .1
  168.167   7.67   8.34  143.0    .0
  168.208   7.57   8.25  144.0    .3
  168.250   7.06   7.18  136.7    .6
  168.292   5.93   6.85  142.2    .3
  168.333   5.70   5.96  159.0    .1
  168.375   6.11   6.44  163.0    .0
  168.417   6.84   7.23  153.8   -.1
  168.458   7.19   7.63  161.7    .2
  168.500   6.51   6.82  164.7   -.1
  168.542   6.16   6.83  168.5    .0
  168.583   5.73   6.06  179.5    .0
  168.625   5.77   6.22  186.9   -.1
  168.667   6.28   6.75  207.1   -.6
  168.708   5.10   6.50  225.3  -2.4
  168.750   5.48   5.84  202.0  -2.3
  168.792   7.16   7.55  215.8  -3.4
  168.833   6.00   6.50  206.4  -2.8
  168.875   5.15   5.59  208.1  -3.2
  168.917   3.31   4.01  188.5  -3.1
  168.958   3.43   3.95  150.2  -2.9
  169.000   3.11   3.93  240.3  -4.2
  169.042   1.76   2.27  166.3  -4.1
  169.083   2.81   3.23  183.6  -3.4
  169.125   4.44   5.71  201.1  -3.2
  169.167   5.96   6.71  217.8  -3.7
  169.208   7.13   7.62  211.1  -4.3
  169.250   6.73   7.46  212.6  -4.6
  169.292   7.08   7.69  231.6  -4.8
  169.333   5.20   6.11  222.2  -4.6
  169.375   5.05   5.36  214.1  -4.2
  169.417   4.31   4.87  181.8  -4.1
  169.458   3.57   3.76  130.9  -3.9
  169.500   4.00   4.36  138.6  -4.0
  169.542   4.16   4.62  138.5  -3.3
  169.583   4.95   5.27  145.2  -3.1
  169.625   5.19   5.50  138.1  -3.1
  169.667   5.45   5.91  127.7  -3.0
  169.708   6.05   6.63  118.2  -2.9
  169.750   6.68   6.86  123.5  -2.9
  169.792   6.64   6.87  111.3  -3.2
  169.833   7.48   7.84  109.3  -3.5
  169.875   7.84   8.05  108.4  -3.9
  169.917   8.39   8.86  106.3  -4.4
  169.958   9.70  10.47  113.4  -4.8
  170.000  10.66  11.52  105.5  -5.5
  170.042  11.91  12.24  105.9  -5.3
  170.083  12.47  13.07  115.4  -5.1
  170.125  13.26  13.36  121.4  -5.5
  170.167  12.78  13.48  120.5  -5.6
  170.208  11.65  12.10  126.4  -5.1
  170.250  11.11  11.45  122.0  -4.8
  170.292  10.36  10.70  120.3  -4.5
  170.333  10.14  10.77  118.4  -4.2
  170.375  10.27  10.79  124.5  -2.7
  170.417  10.53  11.20  134.3  -1.8
  170.458  11.05  11.27  139.2  -1.1
  170.500   9.77  10.89  143.0   -.1
  170.542   8.78   9.11  152.5    .3
  170.583   6.87   8.10  175.3    .4
  170.625   4.87   5.11  159.6    .8
  170.667   4.25   4.73  145.9   1.1
  170.708   3.55   4.24  132.0   1.7
  170.750   3.41   3.89  129.5    .6
  170.792   6.86   7.23  158.4    .0
  170.833   6.24   7.37  163.6   -.1
  170.875   5.21   5.78  175.0   -.4
  170.917   6.07   6.37  171.6   -.5
  170.958   7.27   7.59  172.5   -.3
  171.000   6.73   7.45  178.8   -.8
  171.042   7.01   7.44  176.7  -1.4
  171.083   5.78   6.15  171.2  -1.3
  171.125   4.83   5.60  175.7  -1.4
  171.167   5.23   7.02  182.6  -1.7
  171.208   6.60   7.12  196.9  -2.3
  171.250   5.21   5.93  187.6  -2.4
  171.292   5.79   6.48  177.0  -2.5
  171.333   4.75   5.64  208.5  -2.3
  171.375   2.80   3.76  199.1  -1.5
  171.417   2.09   2.27  227.8  -2.8
  171.458   1.48   1.78  225.1  -2.5
  171.500   1.22   1.71  186.2    .7
  171.542   1.54   1.88  282.8  -1.5
  171.583    .71   1.01  285.0    .1
  171.625   1.03   1.45  140.4   1.0
  171.667   1.82   2.03  214.7   -.1
  171.708   1.87   2.11  207.5   1.6
  171.750   1.70   1.97  179.0    .0
  171.792   1.55   1.71  155.6   -.5
  171.833   1.74   1.89  191.2   -.2
  171.875   1.85   2.00  172.3  -1.2
  171.917   1.70   1.96  167.7  -1.6
  171.958   1.69   1.92  145.2  -1.6
  172.000   1.63   1.87  171.5  -2.1
  172.042   1.49   1.91  127.5  -2.4
  172.083   2.20   2.53  126.9  -2.2
  172.125   1.72   1.80 -444.9  -2.3
  172.167   2.21   2.74 -476.0  -2.1
  172.208   3.41   3.68 -469.5  -2.5
  172.250   3.78   4.29 -443.1  -2.5
  172.292   4.65   5.62 -449.3  -2.4
  172.333   5.92   6.30 -441.2  -3.1
  172.375   6.64   7.08 -444.9  -3.6
  172.417   6.11   6.86 -448.5  -2.4
  172.458   5.62   5.91 -443.0  -2.7
  172.500   6.43   6.88 -409.7  -1.6
  172.542   5.57   5.82 -441.6  -1.5
  172.583   5.73   6.70 -453.1  -1.6
  172.625   7.16   7.78 -460.1  -2.1
  172.667   7.74   7.96 -467.9  -1.4
  172.708   7.32   7.86 -443.1   -.9
  172.750   6.78   7.77 -443.9   -.8
  172.792   8.58   8.95 -449.7  -1.2
