  Jul.Day  S1(up) S2(up)   S(dw)   Alb1  Alb2  net_rad
  143.750   662.5   658.4   549.1  83.  83.  -42.6
  143.792   536.1   527.1   445.5  83.  85.  -63.0
  143.833   480.4   463.4   378.8  79.  82.  -13.7
  143.875   401.4   390.6   333.0  83.  85.  -34.5
  143.917   275.0   266.0   231.3  84.  87.  -37.0
  143.958   199.5   190.9   165.6  83.  87.  -44.7
  144.000   121.0    61.0    99.1  82. 163.  -50.1
  144.042    30.0    30.0    27.8  92.  93.  -43.3
  144.083    14.2    15.1    13.8  97.  91.  -31.4
  144.125     7.1     8.2     7.4 104.  91.  -46.5
  144.167     6.6     7.5     6.8 103.  90.  -42.9
  144.208    15.0    15.9    14.9  99.  94.  -49.7
  144.250    38.9    40.1    37.3  96.  93.  -57.5
  144.292    86.5    91.0    81.3  94.  89.  -59.8
  144.333   156.6   161.6   145.6  93.  90.  -48.8
  144.375   240.8   250.1   223.2  93.  89.  -38.4
  144.417   336.5   349.2   306.6  91.  88.  -35.7
  144.458   434.8   445.4   389.0  89.  87.  -23.2
  144.500   531.9   538.3   452.1  85.  84.   -5.0
  144.542   613.9   613.4   506.8  83.  83.    9.3
  144.583   676.1   668.9   551.3  82.  82.   15.1
  144.625   715.6   703.7   575.6  80.  82.   17.4
  144.667   724.6   713.9   581.4  80.  81.   18.6
  144.708   705.7   693.1   566.7  80.  82.   16.1
  144.750   658.4   643.9   530.7  81.  82.    5.0
  144.792   587.2   573.2   475.7  81.  83.   -6.0
  144.833   497.0   486.2   407.4  82.  84.  -21.1
  144.875   398.9   389.0   331.5  83.  85.  -37.8
  144.917   296.0   287.3   248.8  84.  87.  -46.3
  144.958   203.2   195.5   170.2  84.  87.  -50.6
  145.000   124.9    62.7   102.6  82. 164.  -55.8
  145.042    59.1    53.8    52.0  88.  97.  -62.5
  145.083    21.4    21.1    23.1 108. 110.  -60.1
  145.125     7.9    10.0    10.5 133. 105.  -55.1
  145.167     7.3     8.8     8.7 118.  99.  -53.5
  145.208    14.1    14.8    15.9 113. 107.  -56.4
  145.250    34.7    36.6    36.0 104.  98.  -61.1
  145.292    84.6    89.5    76.7  91.  86.  -58.8
  145.333   153.7   161.1   136.0  89.  84.  -44.7
  145.375   236.3   248.2   210.1  89.  85.  -30.9
  145.417   329.9   344.4   289.9  88.  84.  -23.4
  145.458   428.9   440.7   370.2  86.  84.   -7.7
  145.500   526.1   534.3   443.2  84.  83.     .6
  145.542   612.6   613.2   510.5  83.  83.    7.7
  145.583   676.1   669.9   554.5  82.  83.   17.7
  145.625   722.5   711.8   585.4  81.  82.   17.7
  145.667   718.0   708.1   577.5  80.  82.   18.0
  145.708   702.2   690.0   563.2  80.  82.   20.1
  145.750   657.8   643.8   528.2  80.  82.   10.3
  145.792   587.7   574.2   473.8  81.  83.   -1.1
