  165.2921090.3    .091   9.700   103.0   67.4   86.3   88.1 1.31 1.02    1.4
  165.3751351.2    .102  11.900   103.0  223.3  290.4  296.9 1.33 1.02    1.8
  165.4581093.0    .098  12.410   103.0  255.3  334.4  343.2 1.34 1.03    1.7
  165.542 904.3    .114  12.710   103.0  496.1  672.6  695.2 1.40 1.03    1.9
  165.6251172.3    .102  12.910   103.0  526.8  730.0  760.5 1.44 1.04    1.7
  165.6461249.9    .097  12.740   103.0  495.7  688.5  717.1 1.45 1.04    1.4
  165.6601068.5    .087  12.800   103.0  532.1  739.6  771.1 1.45 1.04    1.3
  165.6741411.1    .088  12.730   103.0  528.6  733.5  765.8 1.45 1.04    1.4
  165.6881380.9    .086  12.770   103.0  523.3  724.5  756.3 1.45 1.04    1.3
  165.7011540.8    .098  12.670   103.0  513.0  708.6  738.9 1.44 1.04    1.6
  165.7151735.3    .091  12.800   103.0  490.4  670.1  698.5 1.42 1.04    1.5
  165.7291630.0    .092  12.670   103.0  506.1  692.0  720.8 1.42 1.04    1.4
  165.7431445.2    .094  13.010   103.0  460.7  643.7  668.1 1.45 1.04    1.4
  165.7571240.8    .109  12.670   103.0  466.7  630.0  663.9 1.42 1.05    1.6
  165.8121253.0    .105  12.870   103.0  388.5  516.0  545.6 1.40 1.06    1.4
  165.8131169.3    .104  12.870   103.0  386.7  513.5  542.7 1.40 1.06    1.6
  165.8151361.0    .102  12.940   103.0  384.9  511.0  540.1 1.40 1.06    1.5
  165.8161341.4    .097  13.000   103.0  383.3  508.7  537.5 1.40 1.06    1.4
  165.8171302.9    .095  12.940   103.0  380.5  506.3  534.9 1.41 1.06    1.3
  165.8191397.6  88.000  13.000   103.0  377.3  503.1  531.9 1.41 1.06 1170.4
  165.8201204.6  93.500  13.000   103.0  375.8  500.9  528.8 1.41 1.06 1303.4
  165.8221243.8  92.300  13.070   103.0  374.3  498.5  526.2 1.41 1.06 1276.8
  165.8231169.3  83.000  13.070   103.0  371.4  495.8  523.5 1.41 1.06 1157.1
  165.8241123.6  82.800  13.070   103.0  368.9  493.7  520.9 1.41 1.06 1170.4
  165.826 972.3  80.300  13.000   103.0  367.3  490.9  518.2 1.41 1.06 1117.2
  165.8271049.7  78.500  13.000   103.0  365.7  488.5  515.1 1.41 1.05 1117.2
  165.828 995.0  84.300  13.000   103.0  363.9  486.4  512.8 1.41 1.05 1157.1
  165.8301018.2  90.800  12.940   103.0  362.8  484.3  511.0 1.41 1.05 1250.2
  165.8311082.1  91.800  12.800   103.0  340.2  482.2  508.8 1.50 1.06 1250.2
  165.8331249.9  95.000  12.870   103.0  340.7  480.6  506.9 1.49 1.05 1396.5
  165.8341065.8  97.800  12.940   103.0  359.8  481.1  507.6 1.41 1.06 1423.1
  165.8351007.9  98.500  12.940   103.0  366.1  489.8  516.7 1.41 1.05 1356.6
  165.8621018.2    .099  12.800   103.0  336.2  325.7  252.7  .75  .78    1.3
  165.8751152.0    .079  12.840   103.0  249.8  246.2  192.4  .77  .78    1.1
  165.889 925.7    .081  12.540   103.0  239.2  234.3  183.9  .77  .78    1.2
  165.9031049.7    .086  12.570   103.0  207.9  203.9  159.8  .77  .78    1.3
  165.9171020.8    .070  12.540   103.0  185.9  182.2  142.4  .77  .78    1.1
  165.931 684.6    .060  12.200   103.0  160.9  156.8  122.9  .76  .78     .9
  165.944 440.4    .043  11.480   103.0  131.5  127.2  100.5  .76  .79     .7
  165.958 380.7    .055  10.720   103.0   98.7   94.2   76.1  .77  .81     .8
  165.972 497.1    .045  10.450   103.0   95.0   90.1   72.9  .77  .81     .8
  165.986 510.3    .044  10.210   103.0   83.4   76.0   64.0  .77  .84     .7
  166.986 788.3    .043  10.930   103.0   61.2   56.2   47.3  .77  .84     .6
  166.014 715.2    .043  10.240   103.0   53.0   49.9   41.4  .78  .83     .7
  166.028 467.3    .053   8.940   103.0   37.4   36.4   30.1  .80  .83     .8
  166.042 753.1    .059   8.910   103.0   31.4   32.1   26.1  .83  .81     .9
  166.0562080.2    .047   8.670   103.0   27.6   28.1   23.0  .83  .82     .7
  166.0692198.6    .048   8.570   103.0   24.7   25.1   20.4  .83  .81     .7
  166.0832430.9    .060   8.770   103.0   25.7   26.3   21.2  .83  .81     .9
  166.0971984.7    .058   8.770   103.0   26.1   26.4   21.2  .81  .80     .8
  166.1111603.6    .072   8.840   103.0   21.1   21.1   16.8  .80  .80    1.0
  166.1251407.7    .088   9.460   103.0   18.1   18.2   14.6  .81  .80    1.4
  166.1391387.5    .090   9.120   103.0   18.1   17.9   14.5  .80  .81    1.4
  166.1531057.7    .110   9.840   103.0   17.9   17.8   14.3  .80  .80    1.7
  166.167 885.6    .117  10.190   103.0   18.4   18.1   14.6  .79  .81    1.8
  166.181 769.5    .134  10.490   103.0   23.2   23.0   18.2  .78  .79    2.0
  166.194 918.6    .119  10.700   103.0   22.4   22.1   17.7  .79  .80    1.9
  166.208 765.3    .100  10.630   103.0   28.3   28.0   22.3  .79  .80    1.5
  166.222 822.6    .101  10.600   103.0   44.5   43.6   34.4  .77  .79    1.7
  166.2361154.9    .103  10.600   103.0   61.1   59.9   46.7  .76  .78    1.6
  166.250 995.0    .117  10.630   103.0**************   45.0  .00  .00    2.0
  166.264 964.8    .137  10.490   103.0   88.9   87.6   68.4  .77  .78    2.1
  166.2781033.9    .159  10.390   103.0  100.0   98.2   77.4  .77  .79    2.5
  166.292 947.6    .156  10.250   103.0  121.8  119.9   94.4  .77  .79    2.3
  166.3061068.5    .132   9.910   103.0  112.6  111.0   88.8  .79  .80    2.0
  166.319 864.9    .134   9.560   103.0  146.4  143.1  115.7  .79  .81    2.0
