ID,Year,JD,HRMN,SurfaceT,RefT,SWin,SWout,Net,TCair1,TCair2,FWTC1,FWTC2,ASPTC1,ASPTC2,CST1,CST2,CSRH1,CSRH2,TRotron1,TRotron2,RHRotron1,RHRotron2
122,1999,97,1810,-35.037,-11.503,999,999,0.45591,-15.758,-15.914,999,999,-16.052,-16.07,-15.378,-15.304,72.856,73.541,-15.642,-15.462,66.72,68.71
122,1999,97,1820,-37.668,-12.399,999,999,0.43677,-16.673,-16.654,-16.435,-16.421,-16.48,-16.68,-16.215,-16.095,73.812,73.985,-16.189,-16.229,65.853,69.067
122,1999,97,1830,-39.767,-12.645,999,999,0.36546,-16.8,-16.776,-16.558,-16.566,-16.714,-16.849,-16.452,-16.279,73.724,73.884,-16.536,-16.376,66.177,68.806
122,1999,97,1840,-41.2,-12.807,999,999,0.30401,-16.948,-16.919,-16.705,-16.71,-16.94,-17.067,-16.611,-16.438,73.102,73.248,-16.764,-16.534,65.954,68.203
122,1999,97,1850,-42.434,-12.969,999,999,0.27489,-17.06,-17.03,-16.798,-16.797,-17.195,-17.198,-16.683,-16.503,72.959,73.092,-16.842,-16.652,65.664,68.04
122,1999,97,1900,-43.132,-13.197,999,999,0.33215,-17.138,-17.191,-17.155,-16.993,-17.237,-16.972,-16.79,-16.677,73.378,73.591,-17.481,-16.862,68.479,69.071
122,1999,97,1910,-43.333,-13.96,999,999,0.26386,-17.176,-17.178,-16.976,-17.103,-17.29,-17.14,-16.782,-16.669,72.675,73.014,-17.45,-16.851,67.909,68.422
122,1999,97,1920,-43.401,-14.12,999,999,0.30641,-17.315,-17.27,-16.976,-17.13,-17.43,-17.438,-16.908,-16.735,73.036,72.969,-17.36,-16.95,67.211,68.629
122,1999,97,1930,-43.402,-14.121,999,999,0.38558,-17.127,-17.073,-16.823,-16.891,-17.191,-17.258,-16.774,-16.615,73.378,73.285,-17.099,-16.769,66.847,68.698
122,1999,97,1940,-43.336,-14.083,999,999,0.26702,-17.019,-16.964,-16.735,-16.797,-16.985,-17.112,-16.681,-16.488,73.525,73.472,-16.939,-16.669,66.608,68.665
122,1999,97,1950,-43.305,-14.079,999,999,0.03324,-17.206,-17.124,-17.068,-17.096,-16.978,-17.232,-16.933,-16.72,74.48,74.194,-17.477,-17.077,68.229,69.986
122,1999,97,2000,-44.569,-14.152,999,999,-0.00872,-17.238,-17.182,-17.002,-17.161,-16.893,-17.036,-16.993,-16.794,74.838,74.725,-17.877,-17.248,70.245,70.957
122,1999,97,2010,-45.069,-14.356,999,999,0.05447,-17.202,-17.195,-17.042,-17.054,-16.797,-17.017,-16.993,-16.813,74.839,75.012,-17.986,-17.197,71.051,71.045
122,1999,97,2020,-45.503,-14.985,999,999,-0.16829,-17.548,-17.529,-17.405,-17.504,-16.796,-16.82,-17.312,-17.158,75.155,75.508,-18.074,-17.465,70.262,70.908
122,1999,97,2030,-46.004,-15.206,999,999,-0.19809,-17.71,-17.661,-17.531,-17.597,-16.981,-17.006,-17.457,-17.298,75.59,75.604,-18.223,-17.614,70.418,71.243
