ID,Year,JD,HRMN,SWin,Flag,T-200T1,T-200T2,083RH1,083RH2,Vf1,Vf2,Vf3,U1,Dir1,SR-50,Battery
122,1999,97,1540,999,1,999,999,52.932,52.94,1.2145,1.1586,1.1553,999,74.954,75.004,13.874
122,1999,97,1550,999,1,-11.287,-12.02,49.58,48.329,9.7144,9.2845,9.2564,999,70.12,68.481,13.557
122,1999,97,1600,999,1,-12.898,-12.363,59.292,48.194,9.715,9.2234,9.2439,999,84.33,68.523,13.613
122,1999,97,1610,999,1,-13.908,-12.497,63.838,49.925,9.7157,9.1854,9.2394,999,90.723,70.867,13.577
122,1999,97,1620,999,1,-13.923,-12.165,65.418,49.799,9.7153,9.1844,9.2517,999,92.889,70.572,13.269
122,1999,97,1630,999,1,-13.719,-12.202,63.738,49.959,9.7158,9.1927,9.2508,999,90.398,70.99,13.348
122,1999,97,1640,999,1,-12.952,-12.018,60.664,50.568,9.715,9.2213,9.257,999,86.211,71.813,13.096
122,1999,97,1650,999,1,-12.719,-11.736,61.17,51.137,9.7157,9.2309,9.2686,999,87.006,72.651,12.977
122,1999,97,1700,999,1,-12.439,-10.992,61.955,49.563,9.7163,9.2422,9.2976,999,88.162,70.334,13.297
122,1999,97,1710,999,1,-12.082,-10.181,60.693,47.242,9.7162,9.2558,9.3286,999,86.21,66.998,13.113
122,1999,97,1720,999,1,-12.133,-9.7236,61.127,45.449,9.715,9.2527,9.3449,999,86.945,64.513,12.94
122,1999,97,1730,999,1,-12.63,-9.6646,61.625,44.383,9.7154,9.234,9.3475,999,87.685,62.932,12.879
122,1999,97,1740,999,1,-12.914,-9.6189,62.664,43.513,9.7155,9.2233,9.3494,999,89.14,61.843,12.923
122,1999,97,1750,999,1,-13.1855,-9.99545,62.9655,43.756,9.46625,8.9636,9.08565,999,91.9295,55.596,13.155
122,1999,97,1800,999,1,-13.457,-10.372,63.267,43.999,9.217,8.7039,8.8219,999,94.719,49.349,13.387
122,1999,97,1810,999,1,-14.862,-12.036,67.427,48.167,9.7151,9.1484,9.2565,999,95.751,51.665,13.768
122,1999,97,1820,999,1,-15.466,-13.438,66.761,49.991,9.7153,9.1255,9.203,999,94.694,53.762,13.394
122,1999,97,1830,999,1,-15.674,-14.861,66.748,55.178,9.7164,9.1185,9.1496,999,94.772,59.299,13.843
122,1999,97,1840,999,1,-15.907,-15.364,66.557,56.887,9.7173,9.1104,9.1312,999,94.452,61.055,14.227
122,1999,97,1850,999,1,-16.073,-15.589,66.995,57.666,9.7177,9.1045,9.123,999,95.13,61.95,14.108
122,1999,97,1900,999,1,-16.254,-16.089,67.676,59.687,9.7175,9.0973,9.1036,999,96.114,64.042,14.203
122,1999,97,1910,999,1,-16.284,-16.296,67.284,60.281,9.7163,9.095,9.0946,999,95.522,64.635,14.214
