"TOA5","CR1000","CR1000","23835","CR1000.Std.16","CPU:GOES 09.CR1","53420","Public"
"TIMESTAMP","RECORD","i1","Year","Month","DOM","Hour","Minute","Second","uSecond","WeekDay","Day_of_Year","TRef","alpha1","sw_in","sw_ref","net_rad","tc_snow(1)","tc_snow(2)","tc_snow(3)","tc_snow(4)","tc_snow(5)","tc_snow(6)","tc_snow(7)","tc_snow(8)","tc_snow(9)","tc_snow(10)","tc_air(1)","tc_air(2)","t_air(1)","t_air(2)","rh(1)","rh(2)","U(1)","U(2)","Dir(1)","Dir(2)","pressure","SD_1","SD_2","Battery","p_flag","lat","lon","GoesResult","GPSdata(1)","GPSdata(2)","GPSdata(3)","GPSdata(4)","GPSdata(5)","GPSdata(6)","GPStime(1)","GPStime(2)","GPStime(3)","GPStime(4)","GPStime(5)","GPStime(6)","GPStime(7)","LoggerID"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009-05-14 01:31:35.82",35881,0,2009,5,14,1,0,0,0,5,134,-12.97729,0,0.03058709,0.06117419,0.1026449,-8.260758,-8.638223,-9.13305,-9.727635,-10.35921,-10.91039,-11.30843,-11.34464,-11.33558,-11.3899,-13.34096,-13.57987,-13.45103,-13.38313,88.94923,92.27634,1.4896,1.7052,310.4185,313.7932,875.2347,2.0304,2.094,12.62827,1,6.956224E+008,-4.934046E+008,0,0,2.955786E+008,6.956224E+008,-4.934046E+008,115659,0,2009,5,14,1,10,19,0,1
