year	jd	hour.min	temp	hum	wind	wind_dir	press	snow	volt
2017	279	610	-14.95	75.6	4.47	136.7	674.4	-0.36	13.46
2017	279	620	-13.86	75.5	4.45	140.2	674.4	-0.36	13.43
2017	279	630	-14.25	75.4	4.49	142.9	674.3	-0.36	13.45
2017	279	640	-14.66	75.6	4.32	141.9	674.2	-0.34	18.21
2017	279	650	-13.81	75.5	4.39	140	674.1	-0.34	13.46
2017	279	700	-13.22	75.5	4.38	135.7	674	-0.35	13.44
2017	279	710	-14.67	75.3	4.51	156.7	674.2	-0.35	13.45
2017	279	720	-13.97	75.5	5.05	162.3	674.3	-0.36	13.45
2017	279	730	-14.25	75.8	5.59	169.7	674.3	-0.34	13.46
2017	279	740	-14.2	75.4	6.55	173.9	674.3	-0.35	13.46
2017	279	750	-14.65	73.8	7.21	175.1	674.4	-0.34	13.45
2017	279	800	-14.51	72.8	5.95	170.5	674.4	-0.36	24.62
2017	279	810	-15.66	73	5.63	169.6	674.5	-0.35	28.99
2017	279	820	-14.63	73.3	5.54	161	674.4	-0.35	13.45
2017	279	830	-14.91	74.6	5.61	154.5	674.3	-0.34	13.45
2017	279	840	-15.52	75.2	5.55	152.3	674.2	-0.34	13.46
2017	279	850	-14.92	75.3	5.41	154.3	674.1	-0.35	13.46
2017	279	900	-14.91	75.3	5.09	158.5	674.1	-0.34	13.46
2017	279	910	-14.98	75.2	5.03	157.4	674.2	-0.35	13.46
2017	279	920	-14.86	75.9	4.99	148.8	674.1	-0.35	13.46
2017	279	930	-14.41	76.8	5.15	145.9	674.1	-0.35	13.46
2017	279	940	-13.66	77.4	4.68	140.5	674.1	-0.36	13.45
2017	279	950	-13.93	78	4.25	147	674	-0.34	13.46
2017	279	1000	-13.48	77.9	3.8	148.2	674	-0.35	13.44
2017	279	1010	-13.11	77.6	4.32	141.1	674	-0.35	13.44
2017	279	1020	-12.93	77.1	4.73	139.5	674.1	-0.34	13.43
2017	279	1030	-12.5	77.9	4.84	132.7	674.1	-0.33	13.46
2017	279	1040	-12.7	79.1	4.73	131.7	674.1	-0.34	13.47
2017	279	1050	-12.29	79.2	4.6	136.7	674.1	-0.35	25.43
2017	279	1100	-11.64	78.5	4.45	133.9	674.1	-0.39	13.45
2017	279	1110	-11.85	78.6	4.52	128.4	674	-0.34	13.47
2017	279	1120	-11.61	78.5	4.97	138.1	674.1	-0.34	13.47
2017	279	1130	-11.23	78.8	5.16	140.1	674	-0.37	13.47
2017	279	1140	-11.15	78.9	5.17	139.2	673.9	-0.39	13.44
2017	279	1150	-11.23	78.8	5.14	141.3	673.9	-0.39	13.47
2017	279	1200	-11.2	78.7	5.32	142.2	673.9	-0.37	26.98
2017	279	1210	-11.12	78.6	5.46	142.9	673.8	-0.39	13.45
2017	279	1220	-10.51	79.9	5.65	143.7	673.9	-0.4	13.47
2017	279	1230	-10.47	79.5	5.49	144.2	673.8	-0.68	13.47
2017	279	1240	-10.82	78	5.78	143.4	673.8	-0.66	13.46
2017	279	1250	-9.55	78.6	5.57	144.1	673.8	-0.68	13.47
2017	279	1300	-9.91	79.4	5.74	146.5	673.8	-0.68	13.47
2017	279	1310	-10.25	79.9	5.47	149.7	673.8	-0.69	13.47
2017	279	1320	-10.64	79.8	5.21	149.1	673.8	-0.68	13.46
2017	279	1330	-10.22	79.5	5.22	149.4	673.8	-0.65	13.45
2017	279	1340	-9.47	80.2	4.97	147	673.9	-0.69	13.47
2017	279	1350	-9.44	80.7	5.19	149.8	673.8	-0.69	13.44
2017	279	1400	-9.83	80.6	5.71	153.4	673.8	-0.68	13.47
2017	279	1410	-10.13	80.7	5.64	155.9	673.9	0	13.47
2017	279	1420	-9.08	80.9	5.72	156.1	673.9	-0.68	13.46
2017	279	1430	-10.11	81.5	5.88	156.9	673.9	-0.64	13.48
2017	279	1440	-8.81	82.1	6.18	156.3	673.9	-0.68	13.47
2017	279	1450	-9.42	82.7	6.3	159.4	673.9	-0.66	13.4
2017	279	1500	-8.65	82.1	6.59	161.8	673.8	-0.65	13.47
2017	279	1510	-9.03	82	6.41	163.3	673.8	-0.63	13.46
2017	279	1520	-8.85	81.9	5.8	163.7	673.8	-0.65	13.46
2017	279	1530	-8.5	81.9	5.55	167.4	673.8	-0.66	13.48
2017	279	1540	-9.1	82.3	5.69	166.7	673.8	-0.65	13.48
2017	279	1550	-8.56	81.7	5.74	167	673.8	-0.65	13.46
2017	279	1600	-9.14	81.6	5.58	168.6	673.8	-0.63	13.48
2017	279	1610	-8.68	82.2	5.78	167.7	673.7	-0.66	13.48
2017	279	1620	-8.05	82	5.93	166.8	673.7	-0.66	13.49
2017	279	1630	-8.95	82.2	5.53	167.7	673.7	-0.6	13.48
2017	279	1640	-8.17	82.4	5.07	164.8	673.7	-0.66	13.47
2017	279	1650	-8.23	82.5	5.43	167.2	673.7	-0.66	13.47
2017	279	1700	-8.65	81.5	5.86	167.3	673.6	-0.66	13.48
2017	279	1710	-8.7	81.6	5.43	167.5	673.6	-0.66	27.55
2017	279	1720	-8.66	81.8	5.28	164.3	673.5	-0.67	13.46
2017	279	1730	-8.74	82.3	5.24	168.6	673.5	-0.64	13.31
2017	279	1740	-8.97	82.2	5.47	167.5	673.5	-0.62	13.47
2017	279	1750	-9.19	82.5	5.43	165	673.4	-0.63	13.47
2017	279	1800	-8.61	82.4	5.38	166.3	673.5	-0.66	13.48
2017	279	1810	-8.54	82.9	6.03	169.7	673.5	-0.66	13.48
2017	279	1820	-9.14	82.8	6.03	170.2	673.5	-0.66	13.46
2017	279	1830	-8.25	82.1	5.91	170.5	673.5	-0.67	11.42
2017	279	1840	-8.84	82.3	5.77	176	673.5	-0.63	13.47
2017	279	1850	-8.31	82.3	6.14	177.7	673.6	-0.66	13.44
2017	279	1900	-8.53	82.8	6.32	193.4	673.6	-0.66	13.47
2017	279	1910	-8.24	80.8	5.56	191.7	673.6	-0.67	13.48
2017	279	1920	-8.97	80.2	5.82	184.3	673.6	-0.68	13.47
2017	279	1930	-8.86	81	6.02	178.5	673.6	-0.67	11.55
2017	279	1940	-9.61	81.1	5.2	174.1	673.6	-0.66	13.46
2017	279	1950	-9.15	81	5.75	177.6	673.6	-0.68	13.46
2017	279	2000	-9.48	81.3	5.53	175.3	673.6	-0.67	13.43
2017	279	2010	-10.03	81.1	5.26	173	673.5	-0.64	13.47
2017	279	2020	-9.52	81.2	5.2	166.7	673.5	-0.67	13.45
2017	279	2030	-9.45	80.7	5.08	159.9	673.4	-0.67	13.46
2017	279	2040	-9.72	80	5.01	158.3	673.5	-0.65	13.46
2017	279	2050	-10.41	80.1	4.78	156.8	673.5	-0.67	13.53
2017	279	2100	-9.71	80.7	4.83	163	673.5	-0.68	13.48
2017	279	2110	-10.49	82.4	5.43	171.4	673.5	-0.67	13.44
2017	279	2120	-9.84	83.3	5.91	174.3	673.5	-0.63	13.48
2017	279	2130	-9.55	82.3	5.11	174.4	673.6	-0.65	13.47
2017	279	2140	-10.2	81.6	4.91	177.3	673.6	-0.67	13.48
2017	279	2150	-10.15	81.5	4.84	174.4	673.5	-0.67	27.23
2017	279	2200	-10.35	81.1	4.54	173.5	673.4	-0.68	13.48
2017	279	2210	-11.08	79.6	3.52	169.1	673.4	0	13.46
2017	279	2220	-10.96	78.2	3.76	164.7	673.4	-0.65	13.48
2017	279	2230	-11.39	77.9	4.14	165	673.4	-0.69	13.46
2017	279	2240	-12.33	78	4.85	166.6	673.4	-0.66	13.48
2017	279	2250	-13.3	77.6	4.61	166.9	673.3	-0.64	13.45
2017	279	2300	-13.15	77.7	4.7	171.9	673.3	-0.68	13.42
2017	279	2310	-12.9	78.4	4.84	174.8	673.3	-0.68	13.48
2017	279	2320	-13.39	78	4.6	175.9	673.3	-0.58	13.46
2017	279	2330	-12.98	77.4	4.08	175.4	673.3	-0.68	13.46
2017	279	2340	-13.68	77	3.24	165.6	673.3	-0.69	13.48
2017	279	2350	-13.91	76.2	3.1	158.8	673.4	-0.64	13.47
2017	279	2400	-14.87	76.1	2.99	156.3	673.4	0	13.47
2017	280	10	-14.39	76.7	3.43	163.5	673.4	-0.61	13.45
2017	280	20	-14.59	77.3	3.56	164.6	673.3	-0.68	26.23
2017	280	30	-13.83	77.4	3.56	164.6	673.3	-0.69	13.47
2017	280	40	-14.54	76.8	3.43	161.4	673.3	0	13.45
2017	280	50	-14.44	76.2	3.49	157.5	673.3	-0.68	19.75
2017	280	100	-14.42	75.8	3.35	156.8	673.2	-0.69	13.48
2017	280	110	-15.11	76	3.23	153.5	673.2	-0.61	13.48
2017	280	120	-14.54	77.2	3.54	154.9	673.1	-0.68	20.08
2017	280	130	-14.4	78.8	4.08	165	673.1	0	13.47
2017	280	140	-13.88	80.5	4.2	172.3	673.1	-0.68	13.48
2017	280	150	-13.03	80.6	4.28	173.6	673.1	-0.68	13.46
2017	280	200	-12.74	78.8	4.07	169	673	-0.69	13.48
2017	280	210	-13.49	77.3	3.54	161.3	672.9	0	13.47
2017	280	220	-13.78	76.7	3.33	156.6	672.9	-0.68	13.47
2017	280	230	-14.19	75.8	3.26	154.9	672.8	-0.68	13.47
2017	280	240	-15.19	75.9	3.84	160.8	672.8	-0.38	13.48
2017	280	250	-14.02	76.4	4.05	165.8	672.8	-0.68	13.98
2017	280	300	-14.48	75.6	3.95	164.2	672.8	-0.69	13.45
2017	280	310	-15.13	75.8	4.16	162.5	672.7	-0.68	13.44
2017	280	320	-14.81	76.1	4.25	159.6	672.7	-0.68	25.81
2017	280	330	-14.43	75.5	4.31	163	672.7	-0.68	13.46
2017	280	340	-15.19	75.2	4	160.4	672.6	-0.63	13.4
2017	280	350	-15.3	75.2	3.98	163.8	672.6	-0.68	13.45
2017	280	400	-15.45	77.4	4.42	164.5	672.5	-0.68	13.44
2017	280	410	-15.79	77	4.26	162.2	672.4	0	13.48
2017	280	420	-14.27	76.2	4.07	158.1	672.4	-0.69	13.47
2017	280	430	-15.53	75.3	3.7	154.5	672.4	-0.68	13.47
2017	280	440	-14.98	74.3	3.27	150.8	672.4	-0.69	13.48
2017	280	450	-15.79	74.6	3.94	157.2	672.4	-0.68	13.45
2017	280	500	-15.05	76.2	4.24	158.8	672.3	-0.69	13.47
2017	280	510	-14.97	76.8	4.6	158.3	672.4	-0.68	13.47
2017	280	520	-14.39	77	4.43	159.9	672.4	-0.65	13.47
2017	280	530	-14.51	76.4	4.29	160.3	672.4	-0.68	21.16
2017	280	540	-14.96	75.8	3.71	155	672.5	-0.65	13.47
2017	280	550	-14.7	74.7	3.22	154.1	672.5	-0.68	13.46
2017	280	600	-15.49	74.4	2.85	154.1	672.5	-0.68	13.47
2017	280	610	-15.45	74.5	2.92	152.6	672.4	-0.67	13.45
2017	280	620	-15.87	76.6	3.23	150.9	672.4	-0.68	22.05
2017	280	630	-14.75	78.7	3.67	156.8	672.3	-0.64	13.46
2017	280	640	-14.99	78.1	3.97	157.3	672.3	-0.68	17.31
