t0,t1,variable,adjust_function,adjust_value,comment
19970513T16:00:00+00:00,,HS1,add,1.5,manual shift by bav
19980605T00:00:00+00:00,,HS1,add,3,manual shift by bav
20010526T00:00:00+00:00,,HS1,add,2,manual shift by bav
20020926T00:00:00+00:00,,HS1,add,1,manual shift by bav
20030411T00:00:00+00:00,,HS1,add,1.5,manual shift by bav
20050501T03:00:00+00:00,,HS1,add,3,manual shift by bav
20080505T00:00:00+00:00,,HS1,add,3,manual shift by bav
20091210T00:00:00+00:00,,HS1,add,1,manual shift by bav
19970513T16:00:00+00:00,,HS2,add,1.5,manual shift by bav
19980605T00:00:00+00:00,,HS2,add,3,manual shift by bav
20010526T00:00:00+00:00,,HS2,add,2,manual shift by bav
20020926T00:00:00+00:00,,HS2,add,1,manual shift by bav
20030411T00:00:00+00:00,,HS2,add,1.5,manual shift by bav
20050501T03:00:00+00:00,,HS2,add,3,manual shift by bav
20080505T00:00:00+00:00,,HS2,add,3,manual shift by bav
20091210T00:00:00+00:00,,HS2,add,1,manual shift by bav
20100511T00:00:00+00:00,,HS2,add,-2.5,manual shift by bav
20110428T00:00:00+00:00,,HS2,add,2.5,manual shift by bav
