t0,t1,variable,adjust_function,adjust_value,comment
20160523T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
20160523T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.

# air temp correction on HW1 and HW2
2014-01-01T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,
2014-01-01T00:00:00+00:00,,HW2,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2014-01-01T00:00:00+00:00,,HW1,biweekly_upper_range_filter,0.4,Manually filtered by bav
2014-01-01T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.4,Manually filtered by bav

2014-01-01T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2014-01-01T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav

2014-01-01T00:00:00+00:00,,HW2,add,1.2,Manually added by bav

2014-01-01T00:00:00+00:00,,DW1,multiply,-1,Manually filtered by bav
2014-01-01T00:00:00+00:00,,DW1,rotate,20,Manually filtered by bav
2014-01-01T00:00:00+00:00,,DW1,rotate,30,Manually filtered by bav
2019-05-22T00:00:00+00:00,,DW1,rotate,185,Manually filtered by bav

2016-04-01T00:00:00+00:00, 2016-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav
2017-04-01T00:00:00+00:00, 2017-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav
2018-04-01T00:00:00+00:00, 2018-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav
2019-04-01T00:00:00+00:00, 2019-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav
2020-04-01T00:00:00+00:00, 2020-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav
2021-04-01T00:00:00+00:00, 2021-10-01T00:00:00+00:00, P, biweekly_upper_range_filter,0.8,Manually filtered by bav

2021-11-01T00:00:00+00:00, 2022-04-20T00:00:00+00:00, TA1, min_filter,-40, Comfirmed bav
