t0,t1,variable,adjust_function,adjust_value,comment
2000-05-27T00:00:00+00:00,,HS1,add,-6, continuity of surface height (bav)
2000-05-27T00:00:00+00:00,,HS2,add,-6, continuity of surface height (bav)
2001-05-26T00:00:00+00:00,,HS1,add,-2.6, continuity of surface height (bav)
2001-05-26T00:00:00+00:00,,HS2,add,-1.6, continuity of surface height (bav)
2001-08-26T00:00:00+00:00,,HS2,add,-1, continuity of surface height (bav)
2002-05-06T00:00:00+00:00,,HS1,add,-2.8, continuity of surface height (bav)
2002-05-06T00:00:00+00:00,,HS2,add,-2.8, continuity of surface height (bav)

2003-05-12T00:00:00+00:00,,HS1,add,-1.8, continuity of surface height (bav)
2003-05-12T00:00:00+00:00,,HS2,add,-1.8, continuity of surface height (bav)

2005-05-01T00:00:00+00:00,,HS1,add,-2, continuity of surface height (bav)
2005-05-01T00:00:00+00:00,,HS2,add,-1.3, continuity of surface height (bav)

2007-05-21T00:00:00+00:00,,HS1,add,-1.2, continuity of surface height (bav)
2007-05-21T00:00:00+00:00,,HS2,add,-1.2, continuity of surface height (bav)


2009-04-19T00:00:00+00:00,,HS1,add,-1.8, continuity of surface height (bav)
2009-04-19T00:00:00+00:00,,HS2,add,-2.8, continuity of surface height (bav)
2010-04-19T00:00:00+00:00,,HS1,add,-2.2, continuity of surface height (bav)
