t0,t1,variable,adjust_function,adjust_value,comment
2009-05-01T00:00:00+00:00,,HW1,add,-0.5,Not reported. Manual shift suggested by bav.
2009-05-01T00:00:00+00:00,,HW2,add,0.3,Not reported. Manual shift suggested by bav.
20030119T00:00:00+00:00,,HS1,add,-0.6,Not reported. Manual shift suggested by bav.
20030427T00:00:00+00:00,,HS1,add,0.4,Not reported. Manual shift suggested by bav.
20140508T00:00:00+00:00,,HS1,add,-2,Not reported. Manual shift suggested by bav.
20140508T00:00:00+00:00,,HS2,add,-2,Not reported. Manual shift suggested by bav.

20120510T00:00:00+00:00,,ISWR,swap_with_OSWR,0,Not reported. Manual shift adj by bav.

# calibration of OSWR with LiCor offset
2009-05-07T00:00:00+00:00,,OSWR,multiply,0.934, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/89

# air temp correction on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,
2009-05-15T00:00:00+00:00,,HW2,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,biweekly_upper_range_filter,0.5,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.5,Manually filtered by bav
2018-03-12T00:00:00+00:00,2018-05-12T00:00:00+00:00,HW2,max_filter,0.77,Manually filtered by bav
1995-01-12T00:00:00+00:00,2000-01-01T00:00:00+00:00,HW2,max_filter,8,Manually filtered by bav

2009-05-15T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav

1996-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,RH1,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43
1996-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,RH2,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43

2019-11-15T00:00:00+00:00,,P,min_filter,856,https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/46

