t0,t1,variable,adjust_function,adjust_value,comment
2001-06-09T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
2006-05-09T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
2009-05-09T00:00:00+00:00,,HS1,add,-1.5,Not reported. Manual shift suggested by bav.
2011-06-09T00:00:00+00:00,,HS1,add,1.5,Not reported. Manual shift suggested by bav.
2015-06-09T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.

2001-06-09T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.
2006-05-09T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.
2009-05-09T00:00:00+00:00,,HS2,add,-1.5,Not reported. Manual shift suggested by bav.
2011-06-09T00:00:00+00:00,,HS2,add,-1.5,Not reported. Manual shift suggested by bav.
2015-06-09T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.



