"JD" "VW1" "VW1_max" "TA1"
172.06 6.58 117.06 -.56
172.09 6.76 121.72 .26
172.12 5.65 130.28 1.03
172.15 5.99 132.78 1.11
172.18 5.36 142.83 .66
172.21 5.48 167.06 -.38
173 6.35 158.06 -.74
173.03 5.50 147.22 -.61
173.06 5.16 139.94 -.98
173.09 6.68 129.61 -.43
173.12 7.67 127.72 .67
173.15 9.36 154.56 .86
173.18 8.53 157.67 .91
173.21 8.30 155.44 .48
174 7.47 149.17 .18
174.03 6.61 154.61 -.20
174.06 6.82 149.61 -.36
174.09 6.60 144.22 -.27
174.12 6.21 137.33 .54
174.15 6.71 128.94 1.26
174.18 5.86 130.22 1.38
174.21 6.08 141.50 1.17
175 6.33 145.28 .44
175.03 6.47 138.72 -.01
175.06 5.99 140.22 -.09
175.09 5.84 149.17 -.12
175.12 5.60 149.33 .13
175.15 4.62 163.78 .38
175.18 6.24 141.83 .23
175.21 6.00 138.28 .51
176 7.32 137.44 .48
176.03 8.42 139.72 -.13
176.06 10.82 140.11 -.93
176.09 11.84 141.67 -1.04
176.12 11.71 155.11 -.23
176.15 8.50 159.33 -.34
176.18 8.47 156.22 -.16
176.21 5.10 164.11 -.32
177 2.68 203.11 -.87
177.03 2.63 151.28 -1.37
177.06 2.60 145.89 -.56
177.09 3.39 131.50 -.05
177.12 7.29 141.78 .57
177.15 8.86 143.39 1.02
177.18 9.68 146.78 1.16
177.21 8.44 147.22 .84
178 9.40 152.67 .88
178.03 9.09 160.33 .91
178.06 10.32 165.11 .92
178.09 8.66 181.83 -.04
178.12 6.85 186.56 -.74
178.15 8.25 202.78 -1.31
178.18 6.04 165.72 -.51
178.21 7.24 168.72 -.62
179 6.54 189.00 -1.56
179.03 6.13 191.83 -2.12
179.06 6.93 200.89 -3.60
179.09 3.74 160.50 -4.27
179.12 4.77 134.89 -3.24
179.15 5.33 122.94 -1.37
179.18 5.74 118.11 -.09
179.21 7.88 101.89 -.05
180 10.31 99.50 -.68
180.03 10.32 119.00 .57
180.06 11.36 127.94 1.09
180.09 10.08 151.06 1.34
180.12 10.83 160.22 1.42
180.15 10.16 159.06 1.20
180.18 10.30 175.00 .85
180.21 12.13 184.44 -.91
181 7.43 184.11 -2.29
181.03 5.22 192.83 -3.03
181.06 4.87 172.17 -3.43
181.09 4.75 150.94 -2.94
181.12 3.87 129.22 -2.72
181.15 3.27 139.17 -.24
181.18 2.82 134.56 .78
181.21 3.34 133.72 .61
182 4.99 141.44 -.02
182.03 4.76 139.22 -.39
182.06 3.38 199.61 -1.82
182.09 3.21 223.89 -2.04
182.12 3.70 133.11 -2.69
182.15 7.20 113.11 -.87
182.18 7.58 108.78 .72
182.21 7.10 98.72 1.21
183 6.20 112.28 .43
183.03 6.05 100.67 -.86
183.06 6.94 105.39 -.93
183.09 8.40 119.44 .22
183.12 7.92 135.17 1.44
183.15 6.31 133.72 1.53
183.18 5.94 128.78 1.57
183.21 6.35 124.28 1.70
184 5.66 106.22 1.67
184.03 4.95 96.72 1.52
184.06 4.28 92.39 .49
184.09 3.45 101.06 .69
184.12 2.34 120.83 1.46
184.15 2.65 160.22 1.51
184.18 4.36 163.50 .26
184.21 6.20 177.61 -.51
185 5.01 185.83 -1.07
185.03 4.77 180.50 -2.94
185.06 4.77 155.22 -3.72
185.09 4.77 139.17 -2.26
185.12 3.08 145.00 -.60
185.15 4.24 147.39 -.43
185.18 3.83 160.67 .56
185.21 2.46 176.11 .04
186 3.10 151.83 -.56
186.03 3.05 186.50 -1.27
186.06 1.75 174.94 -1.55
186.09 1.54 163.33 -1.46
186.12 2.35 161.72 -1.11
186.15 4.57 153.61 .84
186.18 3.58 137.61 .96
186.21 3.15 109.33 .89
187 3.68 105.56 .38
187.03 4.47 90.67 -1.41
187.06 6.29 93.50 -1.96
187.09 7.43 109.28 -.81
187.12 7.68 116.44 1.02
187.15 6.84 118.89 1.96
187.18 4.53 106.22 2.07
187.21 3.00 114.61 1.46
188 2.70 117.33 .02
188.03 3.31 103.89 -2.18
188.06 4.09 85.17 -4.11
188.09 4.87 85.56 -3.12
188.12 4.50 82.44 -.63
188.15 4.00 81.50 .78
188.18 2.71 64.44 1.61
188.21 4.36 33.83 1.54
189 5.52 42.44 .26
189.03 5.90 70.94 -1.68
189.06 6.83 75.50 -2.93
189.09 9.78 84.94 -2.34
189.12 9.74 89.67 -.03
189.15 7.88 98.00 1.94
189.18 7.12 99.83 2.46
189.21 8.20 112.39 2.73
190 9.18 124.94 2.72
190.03 9.15 123.78 2.58
190.06 10.57 120.72 2.68
190.09 9.27 128.94 2.29
190.12 7.69 134.67 1.91
190.15 7.35 131.39 1.84
190.18 6.21 137.22 1.37
190.21 5.72 130.33 1.18
191 5.66 126.56 1.12
191.03 5.35 124.39 1.17
191.06 5.13 123.44 1.12
191.09 5.76 115.50 .74
191.12 5.89 113.56 1.66
191.15 4.71 107.22 1.57
191.18 4.34 116.94 1.61
191.21 4.59 113.39 1.21
192 4.31 95.06 .23
192.03 5.75 96.56 -.57
192.06 6.73 99.56 -.69
192.09 7.57 92.22 .45
192.12 8.51 103.94 1.99
192.15 7.89 96.67 2.22
192.18 6.57 107.56 1.92
192.21 7.19 117.94 1.91
193 6.39 110.17 1.66
193.03 7.01 107.56 1.14
193.06 8.45 108.56 .76
193.09 7.69 104.61 1.28
193.12 9.07 105.39 2.67
