JD  ISWR  ISWR2  OSWR NR lnet lout lin
  174.750     499.1     487.2     373.8     95.5    -23.8   -316.6   -340.4
  174.792     581.5     562.0     414.4    110.0    -47.3   -316.6   -363.9
  174.833     249.8     239.8     183.9      3.9    -57.0   -316.6   -373.6
  174.875     179.9     176.2     141.8     14.9    -21.3   -316.3   -337.6
  174.917     114.4     109.5      91.2     -7.2    -27.9   -316.3   -344.2
  174.958      78.9      79.4      64.6     11.4     -3.1   -316.3   -319.4
  175.001      43.8      44.8      36.3     -3.7    -11.7   -315.0   -326.7
  175.042      19.3      21.3      18.0    -45.9    -48.2   -315.0   -363.3
  175.084      16.7      21.1      18.2    -48.9    -49.6   -315.0   -364.6
  175.125      18.8      25.1      23.7    -49.1    -47.4   -309.6   -356.9
  175.167      36.4      37.4      35.9    -50.3    -51.3   -309.6   -360.9
  175.208      64.3      64.7      57.7    -46.0    -52.8   -309.6   -362.3
  175.250     119.3     119.4     101.6    -37.0    -54.8   -311.1   -365.8
  175.292     186.6     187.3     158.1    -26.2    -55.0   -311.1   -366.0
  175.333     270.0     271.9     222.9     -7.9    -56.0   -311.1   -367.1
  175.375     365.6     367.5     293.2     15.6    -57.8   -310.0   -367.8
  175.417     465.3     459.8     363.9     48.2    -50.4   -310.0   -360.4
  175.458     566.7     556.7     427.7     78.0    -56.0   -310.0   -366.0
  175.500     650.9     633.6     482.9    106.9    -52.5   -314.7   -367.2
  175.542     716.6     690.7     520.2    127.3    -56.1   -314.7   -370.9
  175.583     753.9     727.8     536.6    138.7    -65.6   -314.7   -380.3
  175.625     763.5     736.7     535.4    144.3    -70.4   -315.8   -386.2
  175.667     744.2     717.2     518.8    142.4    -69.4   -315.8   -385.3
  175.708     700.4     675.4     488.1    127.7    -72.1   -315.8   -388.0
  175.750     632.0     607.9     441.2    101.7    -77.1   -317.4   -394.5
  175.792     543.0     522.5     381.5     73.4    -77.8   -317.4   -395.2
  175.833     440.9     425.0     315.4     43.7    -73.8   -317.4   -391.2
  175.875     339.2     325.8     247.7     12.2    -72.5   -317.9   -390.4
  175.917     261.1     248.3     195.5     -4.4    -63.6   -317.9   -381.5
  175.958     129.7      82.5     101.0    -33.2    -38.2   -317.9   -356.2
  176.001      98.8      94.5      77.9    -44.6    -63.4   -316.8   -380.2
  176.042      49.1      51.6      45.4    -56.7    -61.6   -316.8   -378.4
  176.084      20.4      33.4      30.7    -62.8    -59.0   -316.8   -375.9
  176.125      21.5      28.7      26.3    -60.6    -59.4   -312.5   -371.9
  176.167      36.6      38.2      35.9    -62.2    -63.7   -312.5   -376.2
  176.208      65.1      66.0      60.1    -57.3    -62.8   -312.5   -375.3
  176.250     117.4     117.7     103.1    -47.5    -62.0   -303.1   -365.1
  176.292     185.2     185.7     160.5    -35.6    -60.6   -303.1   -363.7
  176.333     271.5     273.2     227.1    -15.6    -60.8   -303.1   -364.0
  176.375     368.3     369.7     299.5      5.9    -63.5   -303.0   -366.5
  176.417     467.4     460.9     370.3     36.3    -57.6   -303.0   -360.6
  176.458     565.8     554.9     433.7     63.9    -62.7   -303.0   -365.7
  176.500     648.5     631.2     487.8     94.0    -58.1   -309.7   -367.8
  176.542     712.2     686.5     520.8    118.4    -60.2   -309.7   -369.9
  176.583     749.7     723.3     535.0    134.7    -66.8   -309.7   -376.5
  176.625     752.9     727.1     531.6    137.4    -71.0   -313.4   -384.4
  176.667     607.7     590.8     439.8     95.0    -64.5   -313.4   -377.9
  176.708     479.3     471.7     364.4     60.4    -50.8   -313.4   -364.2
