"TOA5","0","CR1000","59715","CR1000.Std.26","CPU:GOES Swiss Camp 10 m tower.CR1","45183","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_air_Avg","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","tc_air_Max","tc_air_Min","U_Max(1)","U_Max(2)","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Max","Max","Smp"
"2014-05-09 21:00:00",0,0,2014,129,21,3.154,1.857,6.891,-4.532,-2.439,-1.69,63.92,58.94,4.861,6.574,32.64,73.57,565,0.98,1.004,-3.937,-4.96,6.083,7.677,13.57
"2014-05-09 22:00:00",1,0,2014,129,22,2.383,1.37,4.299,-4.16,-3.516,-2.609,67.59,62,5.186,7.13,32.76,78.54,582.6,1.016,1.033,-3.558,-5.349,5.919,7.853,13.32
"2014-05-09 23:00:00",2,0,2014,129,23,1.513,0.831,0.142,-4.448,-4.406,-3.399,66.36,60.33,6.186,7.484,28.64,74.14,582.7,1.017,1.037,-3.837,-5.025,8.63,8.38,13.2
"2014-05-10 00:00:00",3,0,2014,130,0,0.702,0.427,-3.375,-5.366,-5.383,-4.447,66.6,59.82,7.091,7.175,25.99,72.17,582.8,1.011,1.039,-4.666,-6.056,8.17,8.45,13.14
"2014-05-10 01:00:00",4,0,2014,130,1,0.169,0.123,-3.419,-6.585,-6.706,-5.73,67.46,60.65,6.956,7.364,29.55,75.49,582.9,1.013,1.041,-5.918,-7.073,8.28,8.49,13.07
"2014-05-10 02:00:00",5,0,2014,130,2,0.031,0.025,-3.223,-7.534,-7.699,-6.824,67.47,60.99,6.863,7.541,23.14,69.6,583,1.021,1.041,-6.834,-8.32,8.05,8.45,13.06
"2014-05-10 03:00:00",6,0,2014,130,3,0.01,0.008,-3.214,-8.39,-8.62,-7.764,68.83,61.87,7.59,7.018,23.8,71.27,582.9,1.025,1.044,-8.05,-8.77,8.99,8.01,13.01
"2014-05-10 04:00:00",7,0,2014,130,4,0.008,0.006,-3.201,-9.46,-9.65,-8.86,69.74,62.88,8.06,7.075,23.1,68.81,582.8,1.026,1.003,-8.74,-10.14,9.3,7.833,13.02
"2014-05-10 05:00:00",8,0,2014,130,5,0.02,0.016,-3.167,-10.53,-10.76,-10.01,70.3,63.69,8.54,7.409,23.84,70.45,582.7,1.033,1.025,-9.86,-11.09,10.43,8.53,13
"2014-05-10 06:00:00",9,0,2014,130,6,0.102,0.097,-3.305,-11.28,-11.51,-10.8,70.39,63.83,8.98,7.691,27.84,73.76,582.6,1.03,1.049,-10.76,-11.85,10.9,8.98,12.97
"2014-05-10 07:00:00",10,0,2014,130,7,0.492,0.443,-3.591,-11.84,-12,-11.32,70.02,63.83,8.84,7.558,29.43,76.31,582.8,1.026,1.038,-11.43,-12.19,10.7,8.67,13.05
"2014-05-10 08:00:00",11,0,2014,130,8,1.275,1.049,-1.603,-12.31,-12.38,-11.78,69.25,63.7,8.17,7.146,30.12,77.29,583.1,0.998,1.036,-11.98,-12.48,9.96,8.3,13.13
"2014-05-10 09:00:00",12,0,2014,130,9,2.152,1.813,-0.383,-12.18,-12.23,-11.69,70.33,64.32,9.13,7.791,26.99,73.71,582.7,1.02,1.053,-11.92,-12.46,10.88,9.15,13.28
"2014-05-10 10:00:00",13,0,2014,130,10,3.182,2.627,0.101,-11.88,-11.91,-11.44,70.54,64.64,8.95,7.636,28.22,74.19,582.7,1.025,1.05,-11.46,-12.17,10.63,8.95,13.46
"2014-05-10 11:00:00",14,0,2014,130,11,4.208,3.397,-0.36,-11.07,-11.03,-10.59,69.89,64.04,8.08,7.257,35.35,81.6,582.8,1.022,1.049,-10.7,-11.5,9.72,8.16,13.6
"2014-05-10 12:00:00",15,0,2014,130,12,5.165,4.099,-1.026,-10.12,-10,-9.58,68.7,62.7,7.315,7.589,36.32,82.1,582.7,1.019,1.048,-9.54,-10.8,8.77,8.53,14.31
"2014-05-10 13:00:00",16,0,2014,130,13,5.955,4.642,-0.097,-8.71,-8.54,-8.14,67.56,61.24,6.967,7.901,38.28,86.6,582.6,1.016,1.045,-8.07,-9.56,8.74,8.59,16.39
"2014-05-10 14:00:00",17,0,2014,130,14,6.49,4.976,2.285,-7.524,-7.32,-6.844,67.12,60.63,6.533,7.656,43.7,91.1,582.4,1.014,1.042,-6.671,-8.07,8.46,8.63,16.76
