"TOA5","CR1000","CR1000","23835","CR1000.Std.16","CPU:GOES 09.CR1","53420","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Smp"
"2009-05-09 22:00:00",50,1,2009,129,22,1.095,2.419,-0.257,-8.17,-8.52,-9.02,-9.66,-10.34,-10.94,-11.34,-11.34,-11.25,-11.33,-13.07,-12.86,-12.53,-12.15,89.3,93.7,1.995,2.084,218.2,218.2,600,1.873,2.091,2.12,0.34,0.11,-12.11,-12,-14.67,-14.4,3.11,3.247,0.408,0.465,-10.48,12.83
"2009-05-09 23:00:00",51,1,2009,129,23,0.413,0.917,-0.115,-8.18,-8.53,-9.02,-9.66,-10.35,-10.95,-11.34,-11.32,-11.24,-11.33,-13.69,-13.65,-13.48,-13.24,91.4,95.3,1.068,1.163,185.2,186.8,600,1.875,2.087,0.618,0.096,0.046,-13.17,-13.17,-14.54,-14.38,3.391,3.476,0.753,0.762,-11.67,12.72
"2009-05-10 00:00:00",52,1,2009,130,0,0.205,0.453,-0.127,-8.21,-8.56,-9.05,-9.69,-10.38,-10.98,-11.37,-11.37,-11.27,-11.35,-13.41,-13.4,-13.38,-13.2,92.9,96.4,3.818,3.859,169.6,171.2,600,1.875,2.085,0.336,0.061,0.03,-13.11,-13.11,-13.57,-13.55,6.631,7.187,1.134,1.017,-12.56,12.63
"2009-05-10 01:00:00",53,1,2009,130,1,0.07,0.152,-0.105,-8.21,-8.57,-9.05,-9.7,-10.38,-10.98,-11.37,-11.37,-11.27,-11.35,-14.11,-14.05,-14.09,-13.86,92.9,96.1,1.969,2.208,200.4,200.9,600,1.878,2.072,0.116,0.025,0.054,-13.43,-13.45,-14.46,-14.3,4.88,5.272,1.212,1.1,-13.33,12.57
"2009-05-10 02:00:00",54,1,2009,130,2,0.022,0.046,-0.189,-8.2,-8.56,-9.04,-9.69,-10.37,-10.97,-11.36,-11.34,-11.25,-11.34,-16.15,-15.94,-15.98,-15.65,91,94.5,1.906,2.151,173.6,175.7,600,1.881,2.08,0.034,0.007,0.095,-14.23,-14.2,-17.9,-17.57,3.992,3.691,0.563,0.456,-14.43,12.53
"2009-05-10 03:00:00",55,1,2009,130,3,0.008,0.016,-0.227,-8.21,-8.56,-9.04,-9.69,-10.37,-10.97,-11.36,-11.31,-11.23,-11.33,-18.35,-17.9,-18.45,-17.84,90.2,93.9,1.342,1.619,176.2,176.5,600,1.891,2.093,0.014,0.002,0.118,-15.76,-15.81,-19.9,-19.35,3.254,3.162,0.613,0.54,-16.82,12.5
"2009-05-10 04:00:00",56,1,2009,130,4,0.005,0.012,-0.157,-8.3,-8.66,-9.15,-9.78,-10.48,-11.06,-11.47,-11.52,-11.4,-11.43,-15.92,-15.7,-15.76,-15.44,91.5,95.2,2.032,2.01,163.3,164.9,600,1.104,2.085,0.01,0.002,0.127,-15.28,-15.24,-18.5,-17.73,3.502,3.365,0.581,0.508,-17.37,12.48
"2009-05-10 05:00:00",57,1,2009,130,5,0.014,0.029,-0.303,-8.24,-8.59,-9.07,-9.72,-10.4,-11,-11.39,-11.37,-11.31,-11.38,-18.58,-17.93,-18.26,-17.52,89.1,93.3,1.42,1.63,152.5,153.7,600,0.444,"NAN",0.027,0.006,0.154,-16.62,-16.44,-23.63,-22.21,2.385,2.855,0.379,0.388,-17.24,12.46
