"TOA5","CR1000","CR1000","23835","CR1000.Std.16","CPU:GOES Swiss Camp 2019.CR1","26738","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","T_surf1_Avg","T_surf2_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Avg","Avg","Smp"
"2021-05-26 21:00:00",0,1,2021,146,21,0.832,2.405,0.513,"NAN","NAN","NAN",-5.918,-6.306,-6.775,-7.258,-5.57,-8.11,-8.4,3.273,3.435,0,0,0,0,6.651,7.239,0,0,0,0,0,0.832,0,0,3.342,3.481,3.203,3.388,13.3,14.48,6.651,7.239,3.807,2.707,3.996,0
"2021-05-26 22:00:00",1,1,2021,146,22,0.71,2.056,0.406,"NAN","NAN","NAN",-5.901,-6.316,-6.763,-7.276,-5.581,-8.14,-8.42,3.537,3.726,-0.549,-38.58,86.1,90.6,13.82,14.98,113.8,115.3,321.7,0.81,0.753,0.832,0.07,0.061,3.96,4.168,3.234,3.436,16.46,17.77,1.058,1.118,3.781,2.803,4.151,13.7
"2021-05-26 23:00:00",2,1,2021,146,23,0.494,1.432,0.324,"NAN","NAN","NAN",-5.896,-6.312,-6.758,-7.27,-5.572,-8.14,-8.42,3.487,3.672,-0.418,-38.58,85,89.5,14.11,15.3,113.2,116.4,319.7,0.812,0.755,0.614,0.046,0.067,3.822,4.035,3.08,3.276,18.12,19.33,1.929,2.051,3.644,2.707,3.974,13.57
"2021-05-27 00:00:00",3,1,2021,147,0,0.342,0.994,0.287,"NAN","NAN","NAN",-5.895,-6.311,-6.755,-7.269,-5.568,-8.14,-8.42,3.414,3.593,-0.292,-38.58,84.3,88.8,16.24,17.61,112.3,116.4,314.9,0.819,0.758,0.431,0.039,0.072,3.762,3.955,3.084,3.286,18.91,20.51,1.044,1.113,3.478,2.546,3.766,13.41
"2021-05-27 01:00:00",4,1,2021,147,1,0.222,0.664,0.326,"NAN","NAN","NAN",-5.892,-6.307,-6.752,-7.259,-5.558,-8.14,-8.42,3.241,3.406,-0.166,-38.58,83.2,87.8,15.66,16.98,110.6,117.1,322.3,0.822,0.76,0.282,0.024,0.078,3.863,4.007,2.765,2.904,19.14,20.63,1.284,1.353,3.233,2.35,3.519,13.25
"2021-05-27 02:00:00",5,1,2021,147,2,0.155,0.528,0.263,"NAN","NAN","NAN",-5.894,-6.307,-6.754,-7.26,-5.557,-8.14,-8.42,2.777,2.916,-0.038,-38.58,83.6,88.2,14.99,16.27,108.3,111.9,318.7,0.822,0.762,0.214,0.048,0.084,3.198,3.317,2.369,2.513,18.14,19.56,1.244,1.334,2.833,2.027,3.054,13.09
"2021-05-27 03:00:00",6,1,2021,147,3,0.055,0.167,0.232,"NAN","NAN","NAN",-5.895,-6.306,-6.756,-7.263,-5.562,-8.15,-8.42,2.381,2.506,0.075,-38.58,83.1,87.5,15.96,17.31,111.9,122.4,317.9,0.822,0.764,0.071,0.007,0.089,2.902,3.052,1.837,1.97,19.38,20.97,1.306,1.38,2.408,1.703,2.538,12.82
"2021-05-27 04:00:00",7,1,2021,147,4,0.04,0.107,0.287,"NAN","NAN","NAN",-5.893,-6.303,-6.75,-7.26,-5.556,-8.15,-8.43,2.075,2.202,0.173,-38.58,80.6,85.1,15.57,16.84,108.1,118.8,306,0.823,0.765,0.051,0.003,0.091,2.547,2.674,1.569,1.714,18.8,20.42,1.43,1.535,1.997,1.257,2.198,12.59
"2021-05-27 05:00:00",8,1,2021,147,5,0.06,0.167,0.334,"NAN","NAN","NAN",-5.894,-6.306,-6.751,-7.258,-5.555,-8.14,-8.42,1.717,1.865,0.381,-38.58,75.18,79.53,16.13,17.49,105.6,116.6,302,"NAN",0.767,0.078,0.012,0.098,2.394,2.544,1.038,1.183,19.63,21.4,1.327,1.442,1.673,0.789,1.89,12.5
"2021-05-27 06:00:00",9,1,2021,147,6,0.19,0.54,0.339,"NAN","NAN","NAN",-5.893,-6.302,-6.749,-7.253,-5.54,-8.12,-8.4,0.581,0.708,0.561,-38.58,74.58,78.89,16.09,17.42,93.6,113.6,296.5,0.827,0.769,0.333,0.071,0.087,1.567,1.665,-0.436,-0.296,19.15,20.68,1.341,1.449,0.93,-0.231,0.799,12.53
"2021-05-27 07:00:00",10,1,2021,147,7,0.369,0.972,0.678,"NAN","NAN","NAN",-5.9,-6.308,-6.753,-7.256,-5.538,-8.14,-8.42,-0.654,-0.535,0.372,-38.58,75.81,80.2,15.67,17.01,99.8,115.7,291.7,0.83,0.771,0.638,0.137,0.238,0.132,0.26,-1.325,-1.209,19.51,20.89,1.715,1.861,-0.277,-1.399,-0.346,12.56
"2021-05-27 08:00:00",11,1,2021,147,8,0.501,1.339,0.716,"NAN","NAN","NAN",-5.913,-6.325,-6.77,-7.277,-5.572,-8.18,-8.45,-1.139,-1.024,-0.105,-38.58,77.55,82.1,14.43,15.68,90.3,117,290.5,0.83,0.772,0.795,0.143,0.237,-0.769,-0.645,-1.566,-1.403,18.32,19.79,1.396,1.497,-1.006,-1.783,-0.773,12.62
"2021-05-27 09:00:00",12,1,2021,147,9,0.555,1.462,0.788,"NAN","NAN","NAN",-5.926,-6.344,-6.784,-7.297,-5.603,-8.21,-8.46,-0.819,-0.695,0.223,-38.58,79.33,83.9,14.93,16.22,87.7,116.9,289.6,0.83,0.772,1.049,0.169,0.154,-0.255,-0.098,-1.195,-1.073,19.34,20.86,1.545,1.66,-0.894,-1.504,-0.43,12.6
"2021-05-27 10:00:00",13,1,2021,147,10,1.009,2.582,1.264,"NAN","NAN","NAN",-5.929,-6.347,-6.787,-7.303,-5.615,-8.23,-8.47,-0.454,-0.332,0.651,-38.58,80.1,84.6,13.41,14.55,94.9,114.2,288.7,0.83,0.772,1.681,0.283,0.343,0.295,0.4,-1.024,-0.896,17.74,19.25,1.767,1.899,-0.505,-0.978,0.159,12.69
"2021-05-27 11:00:00",14,1,2021,147,11,1.917,4.947,2.051,"NAN","NAN","NAN",-5.925,-6.341,-6.779,-7.294,-5.617,-8.25,-8.47,0.35,0.465,1.065,-38.58,78.72,83.4,13.62,14.76,92.8,112.3,288.3,0.829,0.771,2.183,0.265,0.184,0.89,1.007,-0.371,-0.231,16.91,18.18,0.988,1.076,0.523,0.121,1.336,12.87
"2021-05-27 12:00:00",15,1,2021,147,12,2.358,6.3,2.098,"NAN","NAN","NAN",-5.904,-6.32,-6.76,-7.277,-5.6,-8.22,-8.46,1.082,1.182,1.158,-38.58,78.91,83.7,12.57,13.64,90.2,115.4,297.1,0.828,0.771,2.529,0.102,0.069,1.777,1.864,0.456,0.555,15.05,16.11,1.03,1.092,1.56,1.058,2.25,13.05
"2021-05-27 13:00:00",16,1,2021,147,13,2.714,7.478,1.95,"NAN","NAN","NAN",-5.907,-6.334,-6.785,-7.308,-5.65,-8.2,-8.44,1.845,1.953,1.249,-38.58,77.93,82.6,11.42,12.4,104.8,117.3,326,0.827,0.77,2.865,0.095,0.096,2.368,2.467,1.418,1.522,14.59,15.61,0.924,0.966,2.614,1.967,3.232,13.42
"2021-05-27 14:00:00",17,1,2021,147,14,2.912,8.28,1.682,"NAN","NAN","NAN",-5.939,-6.368,-6.822,-7.346,-5.69,-8.14,-8.39,2.134,2.253,1.357,-38.58,78.23,82.7,10.19,11.09,110.7,122,355.5,0.826,0.771,2.99,0.049,0.123,2.443,2.57,1.86,1.97,12.55,13.58,0.87,0.94,3.414,2.309,3.623,13.69
"2021-05-27 15:00:00",18,1,2021,147,15,3.028,8.89,1.255,"NAN","NAN","NAN",-5.946,-6.377,-6.823,-7.342,-5.686,-8.09,-8.35,2.559,2.71,1.466,-38.58,75.08,79.43,10.04,10.92,123.6,129.3,364.9,0.826,0.771,3.058,0.019,0.206,3.294,3.41,2.182,2.356,13.92,15.22,1.433,1.56,4.137,2.634,4.129,13.62
"2021-05-27 16:00:00",19,1,2021,147,16,3.034,9.15,0.979,"NAN","NAN","NAN",-5.931,-6.362,-6.811,-7.329,-5.669,-8.05,-8.33,2.595,2.738,1.599,-38.58,76.46,80.9,9.56,10.39,116.4,124.5,365.3,0.827,0.773,3.16,0.139,0.15,2.934,3.111,2.33,2.463,12.17,12.97,1.086,1.157,4.541,2.856,4.513,13.43
"2021-05-27 17:00:00",20,1,2021,147,17,2.83,8.74,0.594,"NAN","NAN","NAN",-5.926,-6.356,-6.804,-7.32,-5.655,-8.06,-8.34,2.489,2.633,1.728,-38.58,79.5,83.9,9.33,10.14,118,126.9,364.6,0.828,0.774,3.269,0.249,0.201,2.778,2.899,2.233,2.395,11.23,12.19,0.72,0.752,4.467,2.821,4.462,13.28
