  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  162.208   133.0   133.0   147.8  -27.2  -12.4 -245.7  233.2
  162.250   179.8   179.8   161.8  -24.3  -42.3 -244.4  202.1
  162.292   210.0   210.0   189.2  -19.8  -40.6 -243.9  203.3
  162.333   253.4   253.4   229.4  -15.5  -39.5 -244.6  205.1
  162.375   308.6   308.6   284.0   -8.7  -33.3 -246.5  213.2
  162.417   371.4   371.4   345.8   -2.6  -28.2 -249.8  221.6
  162.458   433.2   433.2   393.6   -4.5  -44.1 -253.1  209.1
  162.500   501.8   501.8   454.0  -10.0  -57.8 -257.9  200.1
  162.542   545.6   545.6   497.2  -17.9  -66.3 -265.1  198.7
  162.583   579.2   579.2   532.4  -27.7  -74.5 -268.6  194.1
  162.625   510.2   510.2   476.4    1.4  -32.4 -271.6  239.2
  162.667   526.6   526.6   492.2   -1.9  -36.3 -270.0  233.7
  162.708   524.4   524.4   491.2   -3.0  -36.2 -267.6  231.4
  162.750   518.8   518.8   486.8   -1.9  -33.9 -267.9  234.0
  162.792   478.2   478.2   448.6   -3.4  -33.0 -270.1  237.2
  162.833   446.6   446.6   419.4   -2.6  -29.8 -270.2  240.4
  162.875   342.8   342.8   322.0   -4.6  -25.4 -269.7  244.2
  162.917   286.6   286.6   269.2   -2.1  -19.5 -270.3  250.8
  162.958   233.2   233.2   219.8   -3.3  -16.7 -267.9  251.2
  163.000   181.0   181.0   170.2    -.9  -11.7 -267.7  255.9
  163.042   165.8   165.8   156.0    1.2   -8.6 -266.9  258.3
  163.083   119.4   119.4   114.6   -5.4  -10.2 -265.2  255.0
  163.125   100.4   100.4    96.8   -9.3  -12.9 -263.5  250.6
  163.167    91.8    91.8    86.2   -2.4   -8.0 -263.8  255.7
  163.208    84.4    84.4    79.4   -1.4   -6.4 -264.5  258.1
  163.250   102.2   102.2    96.0   -1.7   -7.9 -265.0  257.1
  163.292   123.0   123.0   115.8   -1.7   -8.9 -263.9  255.0
  163.333   171.6   171.6   161.6     .2   -9.8 -263.3  253.5
  163.375   193.4   193.4   182.0    -.7  -12.1 -265.2  253.1
  163.417   249.8   249.8   234.4     .6  -14.8 -265.0  250.2
  163.458   287.2   287.2   269.8   -1.7  -19.1 -264.1  245.0
  163.500   351.8   351.8   328.0   -3.5  -27.3 -266.0  238.7
  163.542   409.0   409.0   381.0     .9  -27.1 -267.3  240.3
  163.583   418.0   418.0   390.2   -3.5  -31.3 -268.0  236.7
  163.625   524.0   524.0   490.4   -5.0  -38.6 -269.9  231.3
  163.667   559.0   559.0   521.6   -7.1  -44.5 -271.3  226.8
  163.708   510.8   510.8   480.8   -4.2  -34.2 -272.5  238.3
  163.750   547.8   547.8   515.2   -4.4  -37.0 -273.8  236.7
  163.792   512.4   512.4   480.2  -11.8  -44.0 -273.6  229.6
  163.833   525.4   525.4   488.6  -36.5  -73.3 -274.4  201.1
  163.875   477.2   477.2   445.8  -27.8  -59.2 -274.1  214.9
  163.917   358.8   358.8   338.2  -15.1  -35.7 -273.6  237.9
  163.958   249.4   249.4   235.8   -7.2  -20.8 -272.7  251.9
  164.000   193.8   193.8   183.6   -5.9  -16.1 -271.0  254.9
  164.042   124.4   124.4   117.8   -4.5  -11.1 -271.8  260.6
  164.083   102.8   102.8    97.6   -5.6  -10.8 -271.6  260.7
  164.125    93.4    93.4    88.6   -3.2   -8.0 -269.5  261.5
  164.167    94.2    94.2    89.4   -3.3   -8.1 -269.0  261.0
  164.208    74.6    74.6    71.2  -11.1  -14.5 -267.8  253.3
  164.250   108.0   108.0   103.6   -5.7  -10.1 -267.3  257.2
  164.292   150.4   150.4   142.2    -.9   -9.1 -269.1  259.9
  164.333   155.8   155.8   147.2    -.9   -9.5 -269.7  260.3
  164.375   205.6   205.6   193.4     .4  -11.8 -269.5  257.7
  164.417   245.8   245.8   231.8     .3  -13.7 -270.0  256.3
  164.458   271.0   271.0   256.6   -1.6  -16.0 -270.6  254.6
  164.500   384.4   384.4   364.2    -.5  -20.7 -271.0  250.3
  164.542   469.4   469.4   442.6   -2.5  -29.3 -271.8  242.5
  164.583   422.6   422.6   400.2   -4.2  -26.6 -271.7  245.1
  164.625   536.0   536.0   502.4     .7  -32.9 -272.9  240.0
  164.667   557.8   557.8   521.6  -11.0  -47.2 -273.5  226.2
  164.708   659.4   659.4   618.0  -18.1  -59.5 -274.2  214.7
  164.750   566.6   566.6   534.6  -10.7  -42.7 -274.8  232.1
  164.792   462.0   462.0   436.4   -4.3  -29.9 -273.8  243.9
  164.833   477.8   477.8   450.0  -12.4  -40.2 -274.1  233.9
  164.875   446.8   446.8   421.8   -4.3  -29.3 -274.1  244.8
  164.917   342.2   342.2   324.4   -3.1  -20.9 -274.2  253.4
  164.958   229.6   229.6   218.0   -2.9  -14.5 -274.0  259.5
  165.000   194.8   194.8   185.6   -7.9  -17.1 -274.2  257.1
  165.042   183.4   183.4   174.2   -2.5  -11.7 -273.9  262.1
  165.083   136.2   136.2   129.4   -3.3  -10.1 -273.1  263.1
  165.125   128.2   128.2   121.8   -1.4   -7.8 -274.0  266.2
  165.167    91.2    91.2    86.6   -2.0   -6.6 -274.3  267.8
  165.208    78.8    78.8    76.2   -8.0  -10.6 -270.8  260.2
  165.250   174.0   174.0   163.2  -37.3  -48.1 -257.8  209.7
  165.292   213.6   213.6   197.8  -30.4  -46.2 -252.5  206.3
  165.333   254.2   254.2   234.4  -26.2  -46.0 -250.2  204.2
  165.375   307.6   307.6   286.8  -63.2  -84.0 -250.3  166.3
  165.417   372.8   372.8   351.2  -86.5 -108.1 -255.3  147.2
  165.458   435.4   435.4   399.8  -24.0  -59.6 -259.9  200.3
  165.500   504.0   504.0   458.8  -30.8  -76.0 -259.8  183.8
  165.542   563.0   563.0   510.4  -30.8  -83.4 -260.8  177.4
  165.583   611.4   611.4   554.8  -25.0  -81.6 -263.7  182.2
  165.625   645.0   645.0   586.8  -19.1  -77.3 -267.0  189.8
  165.667   653.0   653.0   592.0  -12.6  -73.6 -270.5  196.9
  165.708   662.6   662.6   601.2  -10.0  -71.4 -274.1  202.7
  165.750   630.8   630.8   573.6  -13.1  -70.3 -276.9  206.6
  165.792   610.0   610.0   557.4  -14.6  -67.2 -279.9  212.7
  165.833   569.6   569.6   523.2  -18.4  -64.8 -281.2  216.4
  165.875   487.2   487.2   450.4  -24.2  -61.0 -281.0  220.0
  165.917   420.2   420.2   392.2  -30.3  -58.3 -279.7  221.4
  165.958   368.6   368.6   347.4  -32.7  -53.9 -276.7  222.8
  166.000   313.2   313.2   297.8  -35.5  -50.9 -271.8  220.9
  166.042   131.0   131.0   214.2  -36.3   46.9 -270.4  317.2
  166.083   194.4   194.4   201.4  -36.0  -29.0 -268.7  239.8
  166.125   117.4   117.4   136.6  -31.4  -12.2 -270.1  257.9
  166.167   153.6   153.6   147.0    1.0   -5.6 -276.5  270.9
  166.208   103.2   103.2    98.8  -11.3  -15.7 -276.6  260.9
  166.250   103.4   103.4    98.2   -7.0  -12.2 -276.7  264.5
  166.292   128.0   128.0   120.4    -.3   -7.9 -276.7  268.8
  166.333   197.4   197.4   185.2   -8.3  -20.5 -273.9  253.5
  166.375   234.2   234.2   219.8     .5  -13.9 -276.0  262.1
  166.417   255.2   255.2   239.4   -2.0  -17.8 -275.1  257.3
  166.458   318.6   318.6   297.8    2.3  -18.5 -275.1  256.6
  166.500   413.8   413.8   386.6    2.4  -24.8 -277.4  252.6
  166.542   450.8   450.8   420.0    1.9  -28.9 -279.2  250.3
  166.583   481.6   481.6   449.4   -2.4  -34.6 -279.6  245.0
  166.625   506.0   506.0   469.2   -4.3  -41.1 -278.7  237.7
  166.667   610.0   610.0   562.8  -20.6  -67.8 -276.1  208.4
