"TOA5","0","CR1000","59715","CR1000.Std.26","CPU:GOES Swiss Camp 10 m tower and Radar final.CR1","27940","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_air_Avg","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","tc_air_Max","tc_air_Min","U_Max(1)","U_Max(2)","Battery","val(1)","val(2)","val(3)","val(4)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Max","Max","Smp","Smp","Smp","Smp","Smp"
"2015-05-16 04:00:00",0,0,2015,136,4,0.028,0.023,-0.44,-9.66,-39.57,-9.28,0,79.51,2.288,3.142,127.4,92.2,568.7,1.425,1.372,-9.46,-9.8,3.358,4.724,13.77,0,0,0,19
"2015-05-16 05:00:00",1,0,2015,136,5,0.046,0.038,-0.269,-9.81,-40,-9.52,0,80.6,2.388,3.231,121.8,88,575.1,1.441,1.386,-9.72,-9.88,3.26,4.096,13.7,0,0,0,19
"2015-05-16 06:00:00",2,0,2015,136,6,0.105,0.085,-0.089,-9.89,-40,-9.67,0,81.3,2.135,2.759,130.5,96.5,575.5,1.43,1.391,-9.79,-9.95,2.992,3.868,13.65,0,0,0,19
"2015-05-16 07:00:00",3,0,2015,136,7,0.324,0.261,-0.039,-10.06,-40,-9.9,0,81.3,2.229,2.723,141.9,108.3,576,1.424,1.398,-9.89,-10.37,3.528,3.998,13.68,0,0,0,19
"2015-05-16 08:00:00",4,0,2015,136,8,0.699,0.561,0.061,-10.67,-40,-10.47,0,78.97,3.541,4.307,142.2,110.3,576.4,1.409,1.394,-10.33,-10.98,4.743,5.704,13.81,0,0,0,19
"2015-05-16 09:00:00",5,0,2015,136,9,1.292,1.036,0.056,-11.33,-40,-11.03,0,76.38,4.225,5.069,158.7,126.9,576.7,1.409,1.398,-10.96,-11.56,5.397,6.128,14.08,0,0,0,19
"2015-05-16 10:00:00",6,0,2015,136,10,2.083,1.679,-1.692,-12.05,-40,-11.51,0,74.63,4.367,5.417,150.2,117.2,577.1,1.412,1.391,-11.48,-12.72,5.945,7.108,14.45,0,0,0,19
"2015-05-16 11:00:00",7,0,2015,136,11,3.715,2.981,-0.482,-11.39,-40,-10.77,0,70.14,5.925,7.121,133.3,100.7,577.3,1.41,1.385,-10.97,-11.88,7.265,8.47,14.84,0,0,0,19
"2015-05-16 12:00:00",8,0,2015,136,12,4.013,3.212,-0.041,-10.86,-40,-10.39,0,69.37,6.83,7.809,131,99,577.6,1.411,1.358,-10.66,-11.07,8.31,8.57,14.9,0,0,0,19
"2015-05-16 13:00:00",9,0,2015,136,13,5.691,4.556,-2.704,-10.68,-40,-10.07,0,67.62,7.313,7.603,132,98.4,578,1.413,1.361,-10.51,-10.87,9.12,8.51,15.7,0,0,0,19
"2015-05-16 14:00:00",10,0,2015,136,14,6.674,5.323,-3.551,-10.22,-40,-9.47,0,66.27,6.462,7.608,135.7,103.2,578.2,1.417,1.373,-9.66,-10.58,8.04,8.55,15.26,0,0,0,19
"2015-05-16 15:00:00",11,0,2015,136,15,6.938,5.503,-1.19,-9.32,-40,-8.84,0,65.72,6.43,7.531,152.8,121.5,578.6,1.41,1.371,-8.85,-9.74,7.474,8.81,15.56,0,0,0,19
"2015-05-16 16:00:00",12,0,2015,136,16,7.001,5.518,-0.912,-9.07,-40,-8.62,0,65.09,6.776,7.919,155.9,123.5,578.8,1.414,1.374,-8.8,-9.43,8.59,8.85,15.16,0,0,0,19
"2015-05-16 17:00:00",13,0,2015,136,17,6.956,5.423,-0.376,-9.12,-40,-8.63,0,65.05,7.591,7.72,149,114.9,579,1.42,1.373,-8.7,-9.38,9.13,8.75,15.04,0,0,0,19
"2015-05-16 18:00:00",14,0,2015,136,18,5.319,4.168,0.344,-8.97,-40,-8.47,0,64.7,7.532,7.46,138,105.1,579.2,1.418,1.376,-8.5,-9.43,8.81,8.53,15,0,0,0,19
"2015-05-16 19:00:00",15,0,2015,136,19,5.359,4.142,0.778,-8.33,-40,-7.706,0,62.86,6.697,7.812,135,100.8,579.4,1.421,1.373,-8.09,-8.58,8.17,8.6,14.98,0,0,0,19
"2015-05-16 20:00:00",16,0,2015,136,20,4.49,3.437,0.275,-8.11,-40,-7.534,0,67.22,5.959,7.148,140.4,107.2,579.4,1.421,1.374,-7.768,-8.47,7.174,8.41,14.76,0,0,0,19
"2015-05-16 21:00:00",17,0,2015,136,21,2.539,2,0.217,-7.802,-40,-7.602,0,78.35,6.018,7.053,161.5,128.9,579.4,1.416,1.371,-7.539,-8.24,7.174,8.48,14.54,0,0,0,19
"2015-05-16 22:00:00",18,0,2015,136,22,2.162,1.711,0.102,-7.928,-40,-7.703,0,79.63,5.122,5.971,162.9,130.6,579.5,1.416,1.376,-7.735,-8.07,6.167,7.154,14.52,0,0,0,19
