"JD","day","hour","s_in","s_out","temp","hum","wind1","wind2","w_dir1","w_dir2","press","press","sheight1","sheight2","t_max","wind_max"
177.5,177,1200,3.394,6.529,-6.514,68.77,7.26,7.52,149.2,201.7,436.6,436.6,1.535,13.42,-2.278,8.72
177.541666666667,177,1300,3.562,6.63,-5.554,67.36,7,7.27,150,200.1,435.6,435.6,1.532,14.4,-0.942,8.4
177.583333333333,177,1400,3.555,6.962,-4.812,67.2,6.678,6.937,156.3,193.7,434.9,434.9,1.53,13.57,-0.085,7.96
177.625,177,1500,3.441,6.448,-4.245,66.69,6.164,6.408,159.6,189.8,434.2,434.2,1.528,13.42,0.326,7.42
177.666666666667,177,1600,3.215,5.179,-3.974,68.4,5.579,5.79,160.5,189.2,433.9,433.9,1.528,13.77,0.346,6.742
177.708333333333,177,1700,2.888,3.338,-3.91,70.5,5.072,5.269,161.1,188.3,433.6,433.6,1.528,14.35,0.428,6.475
177.75,177,1800,2.479,1.128,-4.166,73.3,4.839,5.04,155.8,193.4,433.8,433.8,1.528,14.59,0.366,6.096
177.791666666667,177,1900,2.018,-1.022,-4.762,74.6,4.66,4.868,155.3,194.1,434.2,434.2,1.53,13.86,-0.144,5.677
177.833333333333,177,2000,1.541,-2.862,-5.803,77.2,4.065,4.252,155.7,192.9,434.6,434.6,1.533,14.87,-1.313,5.181
177.875,177,2100,1.088,-4.244,-7.15,78.7,4.282,4.505,148.9,201.3,435.3,435.3,1.536,14.14,-2.582,5.697
177.916666666667,177,2200,0.691,-5.648,-8.45,78.4,4.615,4.829,150,199.8,436.1,436.1,1.54,13.6,-3.844,5.645
177.958333333333,177,2300,0.374,-6.694,-9.82,78.2,4.759,4.989,151.4,199.3,437,437,1.545,13.47,-5.412,5.775
178,178,0,0.16,-6.44,-11.08,78,4.902,5.136,153.5,197.3,438.3,438.3,1.548,13.37,-6.75,5.945
178.041666666667,178,100,0.074,-6.307,-12.2,77.8,5.023,5.231,151.8,199.2,439.1,439.1,1.552,13.28,-7.89,6.573
178.083333333333,178,200,0.067,-5.665,-13.13,77.7,5.064,5.283,148.9,201.9,439.8,439.8,1.555,13.22,-8.98,5.913
178.125,178,300,0.119,-5.822,-13.76,78.2,5.196,5.401,152.6,197.7,439.8,439.8,1.557,13.21,-9.75,6.135
178.166666666667,178,400,0.267,-5.409,-14.31,78.6,5.136,5.341,144.5,205.1,440.1,440.1,1.558,13.28,-10.44,6.011
178.208333333333,178,500,0.54,-3.359,-14.24,76.4,5.043,5.25,143.8,206.5,440.2,440.2,1.559,13.56,-10.76,5.9
178.25,178,600,0.921,-1.338,-13.78,75.1,4.978,5.161,146.7,203.4,440.1,440.1,1.559,14,-10.46,6.076
178.291666666667,178,700,1.382,-0.042,-13.01,74.8,4.883,5.069,143.9,206.8,439.9,439.9,1.557,15.28,-9.78,5.789
178.333333333333,178,800,1.875,1.359,-11.91,74.4,4.695,4.854,142.4,208,439.4,439.4,1.554,15.1,-8.83,5.514
178.375,178,900,2.349,2.66,-10.56,74.1,4.53,4.682,146.4,204.4,438.4,438.4,1.549,13.75,-7.43,5.423
178.416666666667,178,1000,2.769,3.597,-9.15,73.7,4.378,4.494,147.8,202.2,437.2,437.2,1.545,13.76,-5.771,5.344
178.458333333333,178,1100,3.11,4.166,-7.82,74.2,4.111,4.222,150.5,199.4,436.1,436.1,1.541,13.42,-4.097,5.031
178.5,178,1200,3.356,5.443,-6.466,74.2,3.95,4.061,157.2,192.6,434.8,434.8,1.537,13.33,-2.429,4.626
178.541666666667,178,1300,3.485,5.544,-5.372,74.3,3.71,3.823,157.1,193,433.8,433.8,1.534,13.29,-0.986,4.377
178.583333333333,178,1400,3.467,5.878,-4.102,72.9,2.795,2.858,160.5,189.4,433,433,1.531,13.25,0.131,3.646
178.625,178,1500,3.325,5.83,-3.319,72,2.378,2.443,168.7,181.9,431.8,431.8,1.53,13.2,0.542,2.907
178.666666666667,178,1600,3.087,5.658,-3.116,72.3,2.303,2.376,163.1,186.7,431.2,431.2,1.529,13.28,0.534,2.835
178.708333333333,178,1700,2.764,3.962,-2.532,72.7,1.639,1.683,165.1,184.7,431,431,1.529,13.77,0.793,2.548
178.75,178,1800,2.36,1.231,-1.818,72.3,1.03,1.087,172,178.3,430.8,430.8,1.529,14.26,1.066,1.359
178.791666666667,178,1900,1.922,-1.133,-2.202,74.6,0.8,0.796,160.3,181,430.9,430.9,1.53,13.53,0.652,1.039
178.833333333333,178,2000,1.47,-2.573,-4.528,84,1.056,1.087,104.5,231.9,430.7,430.7,1.533,14.31,-0.62,1.254
178.875,178,2100,1.047,-3.824,-6.835,88.1,1.577,1.743,103.9,241.7,432.1,432.1,1.538,13.75,-2.386,1.96
178.916666666667,178,2200,0.676,-5.325,-8.99,89.3,2.127,2.335,117.1,232.5,433.6,433.6,1.543,13.58,-4.52,2.679
178.958333333333,178,2300,0.372,-6.42,-10.92,88.1,3.018,3.216,122.4,227.4,435.2,435.2,1.549,13.49,-6.661,3.652
179,179,0,0.166,-6.092,-12.66,88.1,3.967,4.166,124.5,226.4,436.8,436.8,1.554,13.41,-8.44,4.619
179.041666666667,179,100,0.074,-5.996,-14.48,88.1,4.356,4.548,126.6,222.9,438.1,438.1,1.56,13.32,-10.3,5.044
179.083333333333,179,200,0.068,-5.458,-15.87,86.8,4.67,4.869,129.7,221.8,439.1,439.1,1.564,13.26,-11.86,5.285
179.125,179,300,0.118,-5.685,-16.62,85.1,5.041,5.24,130.6,219.6,439.5,439.5,1.566,13.23,-12.86,6.109
179.166666666667,179,400,0.264,-5.307,-16.77,82.9,4.966,5.175,132.8,216.8,439.7,439.7,1.567,13.32,-13.19,5.775
179.208333333333,179,500,0.541,-3.46,-16.08,79.8,5.31,5.521,136.8,214.4,439.7,439.7,1.567,14.59,-12.87,6.024
179.25,179,600,0.929,-1.495,-15.38,78.6,5.186,5.379,138.1,212.3,439.4,439.4,1.565,14.6,-12.29,6.102
179.291666666667,179,700,1.382,-0.174,-14.05,76.6,5.045,5.232,142.8,208,439.3,439.3,1.561,14.85,-10.99,5.795
179.333333333333,179,800,1.867,1.17,-12.5,76.2,5.044,5.195,150.4,200.2,438.5,438.5,1.556,14.19,-9.51,6.324
179.375,179,900,2.33,2.523,-11.04,77.1,4.664,4.794,146.3,204.3,437.3,437.3,1.552,14.31,-7.98,6.357
179.416666666667,179,1000,2.742,3.75,-9.67,76.9,4.832,4.973,150.6,200.8,436.2,436.2,1.548,14.44,-6.288,6.128
179.458333333333,179,1100,3.081,5.119,-8.42,76.2,5.168,5.339,155.8,195,435.2,435.2,1.543,13.45,-4.61,6.435
179.5,179,1200,3.28,6.919,-7.15,74.8,5.017,5.195,161.6,187.8,434,434,1.54,13.35,-3.032,5.906
179.541666666667,179,1300,3.425,7.42,-6.18,73.5,5.026,5.197,161.9,188.2,433.1,433.1,1.537,13.38,-1.719,5.952
179.583333333333,179,1400,3.417,7.83,-5.382,74.9,4.779,4.926,171.6,178.7,432.5,432.5,1.534,13.75,-0.851,5.769
179.625,179,1500,3.29,6.581,-4.339,76.4,4.001,4.028,193.9,157.1,431.9,431.9,1.532,13.36,-0.219,4.959
179.666666666667,179,1600,3.069,4.371,-3.947,78.2,3.356,3.307,211,142.9,431.9,431.9,1.531,14.06,-0.045,4.377
179.708333333333,179,1700,2.756,3.45,-3.592,77.2,2.692,2.663,198.8,152.3,431.7,431.7,1.531,13.45,0.027,3.312
179.75,179,1800,2.367,1.893,-3.524,78.6,2.054,2.059,200.8,151,432,432,1.531,13.59,0.098,3.064
179.791666666667,179,1900,1.936,-0.32,-4.134,82.8,1.889,1.985,180,170.4,431.9,431.9,1.532,14.76,-0.34,2.28
179.833333333333,179,2000,1.489,-2.555,-5.358,87,1.808,1.96,153.6,195.9,432.3,432.3,1.535,13.6,-1.338,2.195
179.875,179,2100,1.054,-4.061,-6.76,89,1.815,2.013,148.3,201,432.9,432.9,1.538,14.9,-2.501,2.417
179.916666666667,179,2200,0.67,-5.304,-8.51,91.3,2.227,2.442,149.4,200.8,433.6,433.6,1.543,14.2,-4.049,3.09
179.958333333333,179,2300,0.362,-6.154,-9.93,92.4,2.722,2.942,142.1,207.7,435.3,435.3,1.547,13.63,-5.591,3.587
180,180,0,0.162,-5.941,-11.75,93.1,3.172,3.389,133.2,216.7,436.7,436.7,1.553,13.48,-7.55,3.685
180.041666666667,180,100,0.073,-5.774,-13.44,94.1,4.07,4.279,130.3,221.2,438.1,438.1,1.557,13.36,-9.16,5.841
180.083333333333,180,200,0.065,-5.121,-14.86,93.8,5.343,5.554,130,220.3,438.8,438.8,1.562,13.29,-10.77,6.579
180.125,180,300,0.114,-5.124,-15.63,94.7,6.204,6.454,127.1,224,439.6,439.6,1.564,13.27,-11.73,7.6
180.166666666667,180,400,0.259,-4.746,-15.41,93.7,6.567,6.833,129.9,219.7,439.6,439.6,1.564,13.35,-11.73,7.83
180.208333333333,180,500,0.533,-2.95,-14.81,88.3,6.233,6.48,132.7,218.7,439.3,439.3,1.563,14.9,-11.47,7.51
180.25,180,600,0.921,-1.43,-14.54,86.8,5.639,5.864,131.8,218.5,439.3,439.3,1.563,14.14,-11.26,6.782
180.291666666667,180,700,1.385,-0.31,-14.04,84.2,6.39,6.632,132.5,219.1,439,439,1.561,14.59,-10.79,7.58
