,WindSensorReverse1,WindDirOffset1,WindSensorReverse2,WindDirOffset2,DeltaSonicH,WindSensorHeight1,WindSensorHeight2,site,year_start,year_end
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Swiss Camp,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Crawford Point 1,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Crawford Point 1,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Crawford Point 1,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Crawford Point 1,2014,2015
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-U,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-U,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-U,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,GITS,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,GITS,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Humboldt,2017,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Humboldt,2015,2015
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Humboldt,2016,2017
0,0.0,0.0,0.0,0.0,0.68,-0.82,-0.33,Summit,2009,2011
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Summit,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Summit,2010,2011
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Summit,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Summit,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Summit,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Tunu-N,2015,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,DYE2,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,DYE2,2016,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,DYE2,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,DYE2,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,JAR1,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,JAR1,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,JAR1,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,JAR1,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Saddle,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Saddle,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Saddle,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,South Dome,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,South Dome,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,South Dome,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,South Dome,2017,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-E,2018,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-E,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-E,2016,2018
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-SE,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-SE,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NASA-SE,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Petermann ELA,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,Petermann ELA,2016,2018
0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,NEEM,2006,2007
0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,NEEM,2006,2010
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NEEM,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NEEM,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,NEEM,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,E-GRIP,2018,2019
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,E-GRIP,2015,2016
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,E-GRIP,2016,2017
0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,E-GRIP,2017,2018
