,site,year,filename,profile_lower_y,profile_upper_y,bottom_of_sonic_1,ground_under_sonic1,bottom_of_sonic_2,ground_under_sonic2,Wz1,ground_under_wind_1,Wz2,ground_under_wind_2,THz1,ground_under_TH_1,THz2,ground_under_TH_2,bottom_of_wind_sensor,top_of_wind_sensor_body,image_scale,SH1,SH2,month,day
0,JR3,2002,JR3 2002 J Box.JPG,205,157,301,301,168,296,2.097285714,298,3.007428571,296,2.037928571,297,3.027214286,298,205,191,50.54151625,0,2.532571429,J ,ox
0,NAU,2005,NAU 2005 05 25 15 44 25 via D Houtz.JPG,1855,1315,1419,3172,863,3135,2.962112903,3109,3.958419355,3044,3.149758065,3118,4.329241935,3103,1899,1775,447.6534296,3.915975806,5.075354839,5,25
0,NSE,2015,NSE 2015 05 25 14 42 40 via D Houtz.JPG,3235,2298,2850,3959,1068,3897,0.945577273,3731,2.032172727,3715,1.075263636,3888,2.362054545,3917,3205,2985,794.2238267,1.396331818,3.561968182,5,25
0,TUN,2018,TUN 2018 after via D Houtz.jpg,4432,3326,7777,7777,4050,7829,2.612674757,7884,3.405351942,7892,2.339036408,7674,2.933376214,7554,4380,3968,1487.364621,0,2.540735437,af,er
0,NAE,1999,NAE 1999 or CP1.jpg,2949,2144,3110,3652,2022,3685,1.237162921,3573,2.765331461,3703,1.352320225,3648,2.608157303,3657,2949,2771,642.599278,0.843449438,2.587926966,or,CP
0,JAR,1996,JAR 1996 .jpg,2215,1797,2748,2748,2082,2826,1.058931429,2635,1.69524,2615,1.153902857,2839,1.848777143,2839,2122,1947,631.7689531,0,1.177645714,.j,g
0,DY2,2007,DY2 2007 04 25a.jpg,716,522,608,1218,544,1179,2.081051282,1214,2.812615385,1214,1.978064103,1206,2.560474359,1193,704,626,281.5884477,2.166282051,2.255064103,4,25
0,GIT,2015,GIT 2015 05 21 15 50 43 via D Houtz.JPG,3252,2557,3367,3906,2221,3706,1.230761364,3887,2.222295455,3838,1.353522727,3855,2.308857955,3801,3281,3105,635.3790614,0.8483125,2.3371875,5,21
0,SDL,2010,SDL 2010 04 30 16 17 51 via D Houtz.JPG,2227,1691,2925,3689,1726,3596,2.536340136,3550,3.565197279,3545,3.118605442,3735,4.345319728,3765,2341,2194,530.6859206,1.439646259,3.523741497,4,30
0,JAR,2002,JAR 2002 05 10post J Box-2.jpg,511,358,426,510,367,483,0.25609434,494,0.25609434,512,0.240415094,509,1.050509434,509,356,303,191.3357401,0.439018868,0.606264151,5,10
0,NAE,2006,NAE 2006 05 03 07 17 45 via D Houtz.JPG,1873,1352,1975,2256,1316,2142,1.066559055,2239,2.137480315,2213,1.016393701,2227,2.207275591,2248,1877,1750,458.4837545,0.612889764,1.801590551,5,3
0,SDL,2013,SDL 2013 05 22 08 16 09 via D Houtz.JPG,2491,1792,2643,3177,1810,3134,1.450402778,3113,2.831555556,3139,1.552354167,3143,2.989291667,3105,2504,2360,519.8555957,1.027208333,2.546861111,5,22
0,SDM,2017,SDM 2017 05 22 15 34 47 via D Houtz.JPG,1871,1548,1615,1962,1327,1895,0.513079545,1918,1.551829545,1923,0.478454545,1975,1.5235,1975,1841,1753,317.6895307,1.092261364,1.787909091,5,22
0,NAU,2021,NAU 2021 08 17 via A Pedersen.jpg,1059,768,837,1153,539,1200,0.765823529,1182,2.012323529,1188,0.721014706,1183,2.057132353,1180,762,694,245.4873646,1.287235294,2.692602941,8,17
0,SWC,2015,SWC 2015 05 08 12 26 06 via D Houtz.JPG,4868,3666,5417,6284,6240,6240,1.242406404,6465,2.174381773,6377,0,6290,1.889194581,6164,5046,4640,1465.703971,0.591524631,0,5,8
0,NUU,2021,NUU 2021 09 10.jpg,417,417,470,1315,1310,1310,2.6592,1317,0,1312,2.5484,1321,0,1316,417,312,379.0613718,2.229190476,0,9,10
0,SDM,2005,SDM 2005 05 27 14 02 30 via D Houtz.JPG,1470,1203,1260,2203,949,2217,2.620606742,2220,3.408033708,2212,2.461876404,2207,3.227516854,2197,1460,1371,321.299639,2.934955056,3.94647191,5,27
0,CP1,2015,CP1 2015 01 04 14 41 00 via D Houtz.JPG,4941,3396,4110,6710,2438,6740,1.730637168,6786,2.886029499,6779,1.903864307,6778,3.243106195,6763,3564,3225,1223.826715,2.124483776,3.51520354,1,4
0,NAU,2013,NAU 2013 05 25 10 28 43 via D Houtz.JPG,2991,2113,2353,3320,1602,3361,0.6925,3256,1.930159574,3260,0.760276596,3342,2.074553191,3347,2958,2770,678.700361,1.424781915,2.591718085,5,25
0,DY2,2003,DY2 2003 05 09a post J Box.JPG,317,230,584,584,253,582,2.938178571,584,3.818642857,584,2.760107143,565,3.521857143,558,314,286,101.0830325,0,3.25475,5,9
0,JAR,2015,JAR 2015 05 07 18 48 42 via D Houtz.JPG,2472,1664,2597,3053,1747,3066,1.015270386,3025,1.852214592,3016,1.033103004,3120,2.114948498,3124,2385,2152,841.1552347,0.542111588,1.568081545,5,7
0,SW1,2018,SW1 2018 05 01 14 22 42 via D Houtz.JPG,2623,464,2716,3374,2722,3306,2.246777778,3344,7.834343434,3300,2.445434343,3370,8.808040404,3397,2638,2539,357.400722,1.841070707,1.634020202,5,1
0,SUM,2016,SUM 2016 05 22 15 29 10 via D Houtz.JPG,2279,1668,1850,4063,1689,3914,2.324337778,3995,3.093782222,4016,2.243084444,3911,3.014991111,3925,2328,2103,812.2743682,2.724448889,2.739222222,5,22
0,JR3,2003,JR3 2003 06 03pre K Steffen.jpg,589,373,1144,1144,409,1151,2.972803571,1146,4.061017857,1148,3.051946429,1139,4.110482143,1134,384,328,202.166065,0,3.67025,6,3
0,SDL,2018,SDL 2018 b via D Houtz.JPG,5357,4454,5597,7248,4393,7298,2.634018182,7278,3.860372727,7325,2.651645455,7227,3.770977273,7187,5401,5181,794.2238267,2.078759091,3.657659091,b ,ia
0,SUM,2018,SUM 2018 05 21 19 16 05 via D Houtz.JPG,4993,3444,3949,7349,2837,7401,1.453581994,7770,2.23292283,7750,1.262532154,7321,1.913615756,7288,5124,4502,2245.487365,1.51414791,2.0325209,5,21
0,CP1,2021,CP1 2021 06 17b GEUS AWS J Box.jpg.jpg,830,358,892,1653,486,1660,2.309982143,1670,3.281955357,1654,2.552357143,1716,3.420455357,1680,845,733,404.33213,1.882116071,2.903553571,6,17
0,SW1,2012,SW1 2012 05 22 15 35 51 via D Houtz.JPG,2433,685,3270,3270,3270,3270,3.202390244,3301,9.076817073,3282,3.114560976,3280,8.951829268,3257,2433,2351,296.0288809,0,0,5,22
