ID,Name,Northing,Easting,Elevationm
0,Swiss Camp 10m,69.56833;-49.31582,1149
1,Swiss Camp,69.56833;-49.31582,1149
2,Crawford Point 1,69.87975;-46.98667,2022
3,NASA-U,73.84189;-49.49831,2369
4,GITS,77.13781;-61.04113,1887
5,Humboldt,78.5266;-56.8305,1995
6,Summit,72.57972;-38.50454,3254
7,Tunu-N,78.01677;-33.99387,2113
8,DYE2,66.48001;-46.27889,2165
9,JAR1,694.98358;-49.68156,962
10,Saddle,65.99947;-44.50016,2559
11,South Dome,63.14889;-44.81717,2922
12,NASA-E,75;-29.99972,2631
13,CP2,69.9133333;-46.8547222,1990
14,NGRIP,75.09975;-42.33256,2950
15,NASA-SE,66.4797;-42.5002,2425
16,KAR,69.69942;-33.00058,2579
17,JAR 2,69.42;-50.0575,568
18,KULU,65.75845;-39.60177,878
22,Petermann ELA,61.0400, 77.1377, 1869
23,NEEM,61.0400,77.1377,1869
24,E-GRIP,61.0400,77.1377,1869
