"JD" "wind mean" "wind max" "t air"
268 12.85 14.44 -5.421
268.03 12.05 12.92 -6.06
268.06 12.01 13.32 -6.06
268.09 11.18 12.48 -2.593
268.12 9.61 11.03 -2.628
268.15 8.94 10.58 -0.513
268.18 8.12 9.46 -0.58
268.21 5.759 6.174 -0.39
269 7.75 10.31 -2.003
269.03 8 9.41 -3.932
269.06 7.09 8.55 -6.917
269.09 7.75 8.4 -6.738
269.12 8.06 8.65 -7.473
269.15 8.69 10.97 -7.196
269.18 6.894 7.49 -9.334
269.21 8.04 9.23 -11.682
270 7.39 8.12 -12.671
270.03 7.99 8.55 -12.939
270.06 8.6 9.31 -13.884
270.09 9.94 10.31 -11.728
270.12 10.4 11.23 -10.569
270.15 9.37 10.52 -12.173
270.18 8.72 9.28 -11.296
270.21 8.03 8.68 -12.465
271 8.86 9.67 -13.143
271.03 10.43 10.93 -14.043
271.06 11.18 11.79 -14.025
271.09 10.9 11.76 -14.512
271.12 12.27 13.14 -12.571
271.15 12.62 13.12 -9.799
271.18 11.14 12.06 -8.383
271.21 9.98 10.71 -8.09
272 10.18 10.89 -5.953
272.03 10.21 10.87 -7.992
272.06 9.23 10.42 -6.268
272.09 5.961 7.11 -5.661
272.12 4.367 5.12 -6.294
272.15 4.152 4.62 -5.768
272.18 4.764 5.325 -6.479
272.21 3.573 4.495 -6.375
273 4.185 5.366 -9.913
273.03 3.857 4.612 -14.752
273.06 2.442 3.49 -10.345
273.09 2.985 3.665 -11.012
273.12 5.083 5.396 -10.073
273.15 5.439 5.747 -11.1
273.18 5.847 6.127 -10.858
273.21 6.026 6.364 -11.513
274 6.115 6.32 -12.341
274.03 6.479 7.14 -12.32
274.06 7 7.27 -12.278
274.09 5.958 6.861 -11.963
274.12 5.859 6.602 -12.341
274.15 6.619 7.34 -12.004
274.18 6.855 7.56 -12.548
274.21 7.48 8.19 -13.485
275 8.25 8.99 -13.326
275.03 6.593 8.04 -14.078
275.06 6.811 7.4 -15.097
275.09 7.98 8.54 -17.169
275.12 8.87 9.71 -18.352
275.15 9.33 9.95 -18.081
275.18 8.43 8.93 -18.7
275.21 7.8 8.19 -18.332
276 7.62 8.25 -19.504
276.03 8.31 8.97 -21.781
276.06 8.57 9.12 -21.588
276.09 9.09 9.83 -21.902
276.12 9.5 10.3 -21.266
276.15 10.37 11.24 -20.288
276.18 10.6 11.39 -19.62
276.21 8.96 9.74 -21.189
277 8.49 9.27 -20.711
277.03 9.52 10.86 -20.855
277.06 11.89 12.94 -21.089
277.09 12.42 13.7 -21.848
277.12 10.7 11.69 -19.384
277.15 12.22 13.03 -17.017
277.18 13.45 15.57 -13.713
277.21 13.18 15.25 -7.318
278 9.74 10.96 -5.523
278.03 10.85 13.35 -6.63
278.06 16.12 19.05 -8.839
278.09 19.49 20.32 -10.814
278.12 18.48 20.09 -10.814
278.15 14.97 15.73 -8.139
278.18 13.47 14.57 -8.407
278.21 11.02 12.38 -8.982
279 9.37 10.12 -9.405
279.03 6.684 7.63 -9.684
279.06 6.543 7.08 -11.253
279.09 6.379 6.901 -12.047
279.12 8.08 9.12 -13.406
279.15 8.05 8.97 -12.508
279.18 6.153 7.05 -12.632
279.21 4.719 5.409 -15.987
280 4.009 4.748 -15.714
