  182.001   1.87   2.53  128.9  -4.3    95.2    89.9    85.5   90.   95.  -56.6  230.8
  182.125   3.69   4.60   97.5  -9.0    19.9    25.4    26.2  131.  103.  -50.6  217.3
  182.250   5.17   6.31   99.0  -8.5   116.5   112.5   105.0   90.   93.  -45.6  224.1
  182.375   5.22   5.89  120.8  -4.9   366.4   363.9   321.9   88.   88.  -16.7  268.1
  182.500   5.82   6.03  124.6  -2.6   645.1   625.7   538.4   83.   86.   27.8  322.3
  182.625   5.96   6.45  130.6   -.8   753.9   727.3   606.8   80.   83.   41.2  343.6
  182.750   4.88   5.51  145.2    .6   628.4   604.8   503.0   80.   83.   19.2  325.4
  182.875   3.77   4.48  121.3   -.3   334.5   321.4   277.7   83.   86.  -31.5  273.5
  183.001   5.31   5.96  106.7  -3.7    92.5    88.1    81.2   88.   92.  -59.1  230.9
  183.125   7.09   7.99  113.5  -5.8    19.4    26.0    26.5  137.  102.  -60.1  220.8
  183.250   8.04   8.38  124.1  -5.8   106.6   105.5    95.8   90.   91.  -48.2  232.6
  183.375   8.27   9.20  100.6  -6.6   359.4   354.8   309.0   86.   87.  -13.0  264.5
  183.500   8.25   8.96  127.1  -2.5   644.5   626.3   531.7   83.   85.   32.9  327.9
  183.625   5.84   7.37  146.8   1.0   731.5   716.9   575.7   79.   80.   81.5  387.7
  183.750   4.09   4.94  140.3   1.8   673.9   658.7   518.4   77.   79.   86.7  392.9
  183.875   3.26   4.10  146.5    .4   239.2   235.3   192.6   81.   82.   18.1  324.3
  184.001   3.89   4.21  140.9  -1.2    68.9    68.3    58.5   85.   86.  -35.6  265.3
  184.125   3.67   4.13  126.7  -2.4    17.7    21.5    19.5  110.   91.  -57.0  238.8
  184.250   4.42   5.46  118.7  -4.5   106.0   106.4    92.7   87.   87.  -43.2  243.3
  184.375   6.61   7.10  113.4  -4.1   354.9   355.8   296.5   84.   83.     .6  288.8
  184.500   6.11   6.48  138.3  -1.1   620.0   605.3   488.4   79.   81.   55.5  356.6
  184.625   5.64   6.37  133.6    .7   750.8   727.4   559.5   75.   77.   85.0  391.2
  184.750   2.79   4.43  153.4   4.2   617.6   597.9   456.1   74.   76.   55.9  362.1
  184.875   1.56   3.46  345.2   -.6   317.4   307.8   247.7   78.   80.   -5.1  298.3
  185.001   1.81   4.01  145.9  -2.7    88.6    88.3    73.5   83.   83.  -14.2  280.1
  185.125   5.41   7.29  140.7  -2.8    20.2    24.2    21.5  106.   89.  -35.5  258.5
  185.250   6.32   7.43  113.4  -4.2   101.8   102.7    87.9   86.   86.  -45.1  242.5
  185.375   7.60   9.38  119.9  -2.1   354.0   356.7   294.9   83.   83.   -4.3  292.4
  185.500   9.31  10.19  132.4    .2   529.7   520.9   415.3   78.   80.   42.4  348.6
  185.625  10.70  12.11  148.2   1.4   338.3   341.3   285.6   84.   84.   19.2  325.4
  185.750   8.67  10.59  173.4   -.4   287.3   289.2   247.0   86.   85.   13.7  318.2
  185.875   2.87   8.64  229.9  -3.1   175.7   176.9   157.5   90.   89.    5.0  297.5
  186.001    .00    .00  183.7  -3.4    32.8    33.2    30.0   91.   90.   -3.8  287.5
  186.125    .00    .00  172.7  -4.1    14.6    15.2    13.8   94.   90.   -5.7  282.5
  186.250    .00    .00  157.7  -3.9    63.7    65.3    58.8   92.   90.     .7  290.0
  186.375    .00    .00  195.4  -2.8   213.1   214.0   189.5   89.   89.    9.6  303.3
  186.500    .00    .00  159.1  -4.0   446.4   444.6   393.3   88.   88.   18.1  306.6
  186.625   4.02   6.82  189.0  -4.0   515.6   514.6   461.1   89.   90.    4.8  293.4
  186.750   4.41   5.31  175.8  -3.2   501.7   497.6   443.3   88.   89.   13.4  305.4
  186.875   3.38   4.40  149.4  -3.3   196.5   190.6   174.1   89.   91.  -12.8  279.0
  187.001   2.12   2.35   79.5  -5.3    49.4    49.7    46.5   94.   94.  -26.6  256.5
  187.125   2.42   3.49   96.0 -10.6    18.3    23.8    23.5  128.   99.  -46.6  214.6
  187.250   3.48   3.92  100.5 -10.2   111.3   108.5   101.0   91.   93.  -37.2  225.9
  187.375   3.64   4.16  102.1  -8.0   360.7   356.7   324.2   90.   91.  -17.3  254.7
  187.500   3.74   4.29  107.4  -4.0   638.2   619.2   544.0   85.   88.   18.8  307.2
  187.625   3.89   4.12  135.9  -1.6   746.5   720.8   606.2   81.   84.   34.6  333.8
  187.750   2.94   3.85  138.9    .3   616.6   593.7   495.2   80.   83.   13.0  319.2
  187.875    .80   1.65  125.8   -.7   329.9   318.2   273.2   83.   86.  -34.7  268.1
  188.001   1.53   2.56   74.2  -6.1    88.8    84.7    76.7   86.   91.  -56.4  223.2
  188.125   3.38   4.21   86.8  -9.5    17.0    22.6    22.6  132.  100.  -53.4  212.3
  188.250   5.31   6.01  102.6  -9.8   101.4    99.4    91.6   90.   92.  -45.7  218.9
  188.375   6.53   7.70  104.4  -7.9   353.4   348.9   311.3   88.   89.  -15.0  257.1
  188.500   7.21   7.90  113.5  -5.0   633.6   612.8   519.2   82.   85.   36.2  320.5
  188.625   7.36   7.73  129.7  -2.5   745.4   718.4   587.3   79.   82.   50.7  345.6
  188.750   6.31   7.13  132.7  -1.2   618.6   594.3   484.5   78.   82.   26.4  327.2
  188.875   5.17   6.39  125.8    .4   328.5   317.1   268.9   82.   85.  -26.0  280.1
  189.001   4.12   4.63  132.5   -.6    85.9    83.2    73.9   86.   89.  -57.6  245.9
  189.125   7.00   9.28  126.5  -2.5    16.3    22.3    21.5  132.   96.  -60.7  234.2
  189.250   9.59  10.27  115.6  -3.6    99.0   101.3    90.0   91.   89.  -50.7  239.7
  189.375  10.18  10.81  117.1  -3.0   342.5   346.2   296.5   87.   86.  -13.2  279.6
  189.500  10.38  11.05  121.6   -.4   630.1   615.4   514.1   82.   84.   37.8  342.1
  189.625   9.35  10.23  129.7   1.2   747.6   723.9   567.3   76.   78.   75.6  381.8
  189.750   8.50   9.11  134.6   2.1   619.5   597.3   447.7   72.   75.   67.0  373.1
  189.875   7.60   8.29  121.3   1.9   336.4   326.1   250.1   74.   77.   -4.2  302.0
  190.001   6.86   7.68  119.2    .7    88.4    85.7    69.2   78.   81.  -61.2  245.0
  190.125   7.01   7.93  107.4  -2.5    14.0    18.0    15.7  112.   87.  -62.0  233.1
  190.250   8.51   9.44   99.6  -3.9    82.3    84.5    70.4   86.   83.  -49.6  239.4
  190.375   9.93  10.53  106.8  -3.4   348.9   352.7   285.1   82.   81.    4.1  295.1
  190.500   9.65   9.97  113.4    .0   634.6   620.0   483.3   76.   78.   71.8  377.9
  190.625   8.05   8.70  121.2   2.0   752.9   729.7   536.5   71.   74.  109.1  415.2
  190.750   7.25   8.48  108.2   2.4   616.9   595.2   431.0   70.   72.   78.9  385.1
  190.875   7.66   8.06  113.3   2.5   346.2   335.7   252.3   73.   75.    5.0  311.2
  191.001   7.35   7.85  121.5   1.5    42.2    43.5    35.1   83.   81.  -37.2  269.0
  191.125   8.18   9.61  127.7    .5    12.4    13.1    10.4   84.   79.  -33.2  272.9
  191.250   8.51   9.72  122.6  -1.4    56.4    58.3    45.2   80.   78.  -19.5  280.4
  191.375   8.93   9.84  125.2  -1.6   272.7   275.9   213.3   78.   77.   20.9  319.8
  191.500   8.31   8.94  129.5    .3   579.1   570.2   431.2   74.   76.   81.9  388.1
  191.625   6.66   7.86  132.4   2.0   722.3   700.6   508.5   70.   73.  109.5  415.6
  191.750   5.15   5.67  134.3   2.1   615.6   594.3   429.4   70.   72.   79.3  385.5
  191.875   3.74   4.38  128.4   1.6   326.3   316.6   242.5   74.   77.   -6.3  299.9
  192.001   4.39   4.75  129.4    .4    85.9    83.0    67.6   79.   81.  -59.7  246.5
  192.125   4.87   5.41  124.3  -1.1    11.9    16.5    14.9  125.   90.  -61.6  239.8
  192.250   4.91   5.41  109.8    .0    83.9    87.7    70.2   84.   80.   -9.4  296.8
  192.375   4.20   4.98  100.2   -.9   335.0   341.2   274.5   82.   80.    5.8  307.9
  192.500   5.23   5.75  128.8   1.4   609.7   597.9   457.5   75.   77.   80.2  386.4
  192.625   5.52   5.95  119.7   1.5   746.5   725.3   525.4   70.   72.  121.7  427.9
  192.750   5.20   5.57  119.1   1.7   497.8   488.6   367.8   74.   75.   70.4  376.6
  192.875   4.91   5.21  123.6   1.6   216.8   217.9   169.2   78.   78.   31.0  337.1
  193.001   4.32   4.79  107.6   1.2    80.5    78.1    63.6   79.   81.  -36.4  269.7
  193.125   4.09   4.78  119.7    .3    12.6    17.7    16.1  128.   91.  -57.5  248.6
  193.250   4.47   4.86  103.8   -.9    90.3    93.0    76.9   85.   83.  -44.6  257.5
  193.375   4.89   5.57  111.4   -.1   330.1   336.4   266.7   81.   79.   10.1  316.0
  193.500   5.97   6.21  119.4   1.4   608.1   596.4   450.3   74.   76.   87.0  393.1
  193.625   5.99   6.41  128.3   1.8   721.2   700.5   506.8   70.   72.  118.1  424.3
  193.750   5.03   5.83  128.9   2.1   593.8   573.6   416.1   70.   73.   81.8  387.9
  193.875   3.83   4.39  118.4   1.7   312.2   303.0   233.0   75.   77.    -.3  305.9
  194.001   3.72   4.12  108.2   -.1    76.4    73.6    60.9   80.   83.  -53.9  251.9
  194.125   3.95   4.42   99.5  -1.5    12.4    16.1    14.0  113.   87.  -56.3  243.1
  194.250   4.90   6.04   99.9  -1.8    86.0    88.7    75.0   87.   85.  -46.0  252.3
  194.375   6.49   7.02  119.4   -.6   327.2   333.2   269.8   82.   81.    4.2  307.6
  194.500   7.02   7.36  127.3   1.1   606.5   594.9   454.1   75.   76.   82.8  389.0
  194.625   6.35   6.95  123.0   1.8   717.0   696.8   502.4   70.   72.  120.8  426.9
  194.750   4.83   5.52  113.0   2.0   592.4   572.7   415.6   70.   73.   83.4  389.5
  194.875   3.65   3.87  106.3   1.4   311.1   302.0   230.8   74.   76.    2.7  308.9
  195.001   3.55   3.81   99.4   -.4    76.8    74.1    60.9   79.   82.  -54.6  249.6
  195.125   3.96   4.44  102.9  -1.8    11.4    15.8    14.3  125.   91.  -58.7  239.6
  195.250   5.19   6.00  103.1  -2.7    85.2    87.8    74.4   87.   85.  -47.9  246.2
  195.375   6.03   6.62  100.7  -2.4   325.9   331.4   268.6   82.   81.    2.8  298.5
  195.500   6.35   6.81  101.4   -.3   607.1   595.4   458.3   75.   77.   75.4  380.3
  195.625   6.02   6.34  114.2    .7   722.2   701.6   511.8   71.   73.  110.3  416.4
  195.750   5.87   6.16  118.2   1.4   591.2   571.5   416.8   70.   73.   75.2  381.4
  195.875   5.20   5.78  110.9   1.0   312.7   303.3   233.7   75.   77.   -4.4  301.8
  196.001   6.13   6.48  118.6   -.2    74.3    71.9    58.8   79.   82.  -60.4  245.0
  196.125   6.72   7.30  114.0  -2.2    11.0    13.2    11.0  100.   83.  -55.1  241.2
  196.250   7.70   8.04  122.6  -3.5    60.7    62.9    51.5   85.   82.  -45.4  245.4
  196.375   9.00   9.76  109.6  -2.8   345.5   352.0   279.4   81.   79.   20.7  314.4
  196.500   9.31   9.68  117.4  -1.6   560.4   552.2   423.3   76.   77.   66.9  366.1
  196.625   8.32   8.89  126.1    .5   719.1   698.1   505.1   70.   72.  110.8  417.0
  196.750   6.38   7.29  126.4   1.4   593.6   573.3   416.2   70.   73.   73.7  379.9
  196.875   5.59   6.09  126.4    .8   311.0   301.5   232.3   75.   77.   -7.8  298.3
  197.001   4.38   5.03  113.3  -1.3    72.8    70.3    58.4   80.   83.  -60.9  239.5
  197.125   5.06   5.76  114.3  -3.7    10.6    14.2    12.6  118.   89.  -62.0  228.1
  197.250   6.44   7.73  103.5  -5.3    81.8    84.1    70.2   86.   84.  -52.0  231.0
  197.375   6.26   7.42  125.3  -1.0   295.0   298.8   236.2   80.   79.   17.3  319.2
  197.500   6.89   7.66  122.6  -1.3   603.1   590.5   451.7   75.   76.   72.4  372.9
  197.625   6.00   6.88  130.4    .6   720.5   700.0   507.1   70.   72.  109.3  415.5
  197.750   4.84   5.68  136.7   1.4   595.4   575.2   416.9   70.   72.   74.2  380.4
  197.875   3.07   4.04  121.2    .9   305.5   296.4   229.7   75.   78.   -7.9  298.3
  198.001   2.45   2.81  127.4  -1.5    40.9    41.6    34.2   84.   82.  -36.2  263.3
  198.125   2.80   3.39   95.8  -3.3     9.9    11.1     9.1   92.   82.  -39.0  252.7
  198.250   3.90   4.78  113.5  -3.0    76.9    79.6    62.4   81.   78.    2.2  295.2
  198.375   4.97   5.36  109.2  -2.4   235.1   237.8   186.1   79.   78.   27.5  323.2
  198.500   4.17   5.18  141.8   1.0   348.3   352.1   278.9   80.   79.   42.1  348.3
  198.625   2.56   2.99  167.3    .8   519.2   522.6   406.2   78.   78.   84.1  390.2
  198.750   3.22   3.79  150.0    .5   377.9   378.6   290.5   77.   77.   66.1  372.3
  198.875   3.05   3.52  142.8    .9   166.8   165.9   128.4   77.   77.   27.9  334.1
  199.001   3.80   4.30  153.9    .0    37.3    38.4    29.7   80.   77.    9.0  315.1
  199.125   3.98   4.20  146.1   -.1     7.3     7.7     5.9   81.   77.   -2.4  303.3
  199.250   4.07   4.31  143.9   -.1    37.3    38.0    30.1   81.   79.    4.9  310.9
  199.375   4.24   4.84  145.9    .0   222.8   221.3   174.6   78.   79.   25.9  332.0
  199.500   3.64   4.64  139.1   1.2   348.9   353.1   275.1   79.   78.   40.9  347.0
  199.625   3.28   3.91  144.3   1.8   620.6   614.9   453.4   73.   74.  106.9  413.1
  199.750   2.98   3.37  135.4   1.8   575.9   558.8   409.3   71.   73.   71.4  377.5
  199.875   3.77   4.02  140.9   1.0   298.3   289.4   222.4   75.   77.   -4.0  302.2
  200.001   4.22   4.88  139.5    .3    57.9    55.6    46.0   79.   83.  -56.7  249.5
  200.125   5.60   6.12  133.5   -.7     9.3    10.9     8.6   93.   79.  -44.0  259.1
  200.250   4.63   5.27  132.8    .7    38.2    39.6    31.0   81.   78.    4.0  310.2
  200.375   4.23   5.00  121.5    .9   188.6   192.4   146.8   78.   76.   35.2  341.4
  200.500   5.93   6.75  118.8    .6   581.9   573.3   434.9   75.   76.   74.0  380.2
  200.625   6.22   7.34  131.2   1.0   635.6   623.8   461.2   73.   74.  101.3  407.5
  200.750   5.69   6.22  117.5    .9   573.3   555.7   410.2   72.   74.   67.3  373.5
  200.875   4.28   5.28  104.8    .4   253.3   245.7   191.1   75.   78.  -13.7  292.5
  201.001   3.92   4.77  106.1  -1.2    59.1    57.9    47.2   80.   82.  -39.4  261.5
  201.125   4.33   4.73  107.0  -2.5     7.5     8.5     6.9   92.   81.  -46.6  248.3
  201.250   5.36   5.70  113.1  -3.8    67.0    68.7    58.5   87.   85.  -49.3  240.3
  201.375   6.31   7.15  113.1  -3.0   302.2   307.1   249.3   83.   81.   -2.4  290.4
  201.500   7.06   7.34  121.3   -.8   583.2   573.4   443.8   76.   77.   65.2  367.8
  201.625   5.61   6.43  122.5    .8   698.9   681.4   501.6   72.   74.  100.3  406.4
  201.750   4.35   4.77  113.7   1.3   574.4   556.9   411.3   72.   74.   66.6  372.8
  201.875   3.98   4.70  133.3   1.4   292.0   283.8   221.2   76.   78.   -9.5  296.6
  202.001   4.27   4.92  106.8  -1.1    42.1    40.9    35.2   84.   86.  -58.1  243.2
  202.125   4.22   4.84  100.2  -3.0     6.5     8.0     6.7  103.   83.  -56.4  236.6
  202.250   6.19   7.04  103.5  -3.6    77.1    79.5    65.1   84.   82.  -18.8  271.5
  202.375   7.58   8.05  114.1  -3.3   332.5   337.2   269.1   81.   80.   21.6  313.4
  202.500   7.43   7.84  124.0   -.7   456.1   458.5   358.3   79.   78.   68.0  370.9
  202.625   6.86   7.36  133.4    .7   559.9   559.5   428.1   76.   77.   88.1  394.3
  202.750   4.96   6.16  135.2   1.4   352.1   355.0   276.9   79.   78.   59.1  365.3
  202.875   4.29   4.87  137.4    .8   140.9   142.8   112.0   79.   78.   25.2  331.4
  203.001   4.34   4.70  137.9    .8    24.1    24.7    19.5   81.   79.    8.9  315.1
  203.125   4.48   4.80  128.0    .9     3.8     4.0     3.2   83.   79.    2.8  309.0
  203.250   4.68   5.25  131.3    .6    15.5    16.0    13.8   89.   86.    3.7  309.9
  203.375   6.61   7.00  125.0    .1   138.2   140.6   106.3   77.   76.   17.5  323.6
  203.500   7.34   7.79  131.9   -.2   360.3   362.1   272.8   76.   75.   65.8  371.2
  203.625   6.89   7.49  141.2    .9   507.4   504.5   371.8   73.   74.   91.0  397.2
  203.750   4.86   6.32  154.0   1.3   501.7   491.4   363.8   73.   74.   74.3  380.4
  203.875   3.62   4.62  139.7    .8    90.7    92.9    72.8   80.   78.   20.6  326.8
  204.001   3.35   4.24  141.0    .4    24.7    25.5    19.5   79.   76.    1.6  307.8
  204.125   4.45   4.82  142.7    .3     2.8     3.0     2.3   84.   79.    2.4  308.5
  204.250   4.11   4.59  153.0    .2    30.3    31.7    24.4   80.   77.    7.8  313.9
  204.375   4.50   4.77  148.3    .1    93.1    95.5    79.8   86.   84.   13.8  320.0
  204.500   4.74   5.26  150.7    .8   225.3   218.0   188.9   84.   87.   34.8  340.9
  204.625   4.35   4.98  153.1   1.3   438.1   422.2   336.3   77.   80.   78.1  384.3
  204.750   4.55   5.10  141.2   1.4   468.3   449.0   336.2   72.   75.   90.2  396.4
  204.875   4.84   5.32  132.1   1.5   193.2   191.7   143.7   74.   75.   35.8  342.0
  205.001   5.64   6.32  134.3   1.4    19.4    20.0    15.3   79.   76.   -4.0  302.2
  205.125   5.49   6.41  132.8   1.2     3.9     4.1     3.2   81.   77.   -8.2  297.9
  205.250   5.67   6.61  134.4   1.6    38.5    39.8    28.9   75.   73.   -1.9  304.3
  205.375   6.43   7.29  142.7   1.6   185.6   189.1   138.2   74.   73.   31.7  337.9
  205.500   7.33   8.40  150.3   2.0   423.3   426.9   310.5   73.   73.   73.2  379.3
  205.625   8.31   8.91  140.6   2.0   462.0   463.6   337.0   73.   73.   80.7  386.9
  205.750   7.16   8.41  141.2   1.8   242.9   246.9   185.6   76.   75.   38.7  344.9
  205.875   4.92   5.89  140.7   1.0   140.7   143.3   107.1   76.   75.   25.8  331.9
  206.001   4.90   5.15  146.5    .7    25.5    26.2    19.9   78.   76.    8.5  314.6
  206.125   5.07   5.91  131.8    .8     3.3     3.3     2.9   87.   87.     .1  306.3
  206.250   3.54   4.25  119.2    .8    34.9    36.1    26.5   76.   73.    4.3  310.4
  206.375   2.73   3.21  139.2    .7   152.9   152.5   113.7   74.   75.   36.2  342.3
  206.500   3.36   3.93  158.5    .7   435.7   429.1   314.1   72.   73.   81.0  387.2
  206.625   2.12   2.70  153.2   1.9   586.3   581.8   410.9   70.   71.  123.3  429.5
  206.750   3.15   4.27  146.7   1.8   552.7   538.3   380.9   69.   71.   79.9  386.1
  206.875   3.09   3.86  143.4   1.4   267.7   261.1   197.9   74.   76.   -7.7  298.5
  207.001   3.84   5.06  129.5    .6    41.6    39.1    34.0   82.   87.  -60.3  245.9
  207.125   5.69   6.26  124.3   -.9     3.3     4.0     3.3   99.   82.  -59.0  243.0
