  Jul.Day  S1(up) S2(up)   S(dw)   Alb1  Alb2  net_rad
  159.875   173.6   162.0   150.4  87.  93.    3.3
  159.917   109.0   101.4    95.1  87.  94.    -.1
  159.958    68.4    64.1    60.3  88.  94.    1.3
  160.000    30.1    28.4    27.1  90.  96.    1.4
  160.042    17.9    16.9    16.4  92.  97.    1.4
  160.083    13.7    13.1    12.7  93.  97.     .3
  160.125    14.3    13.7    13.2  93.  97.   -1.4
  160.167    22.7    21.8    20.8  92.  95.     .9
  160.208    37.1    35.5    33.8  91.  95.    2.6
  160.250    62.3    59.5    56.8  91.  95.    4.2
  160.292   101.9    97.3    92.4  91.  95.    6.4
  160.333   134.4   128.3   122.0  91.  95.    5.6
  160.375   214.6   204.3   194.3  91.  95.    9.2
  160.417   294.6   278.8   266.3  90.  96.   11.8
  160.458   388.3   366.0   350.7  90.  96.   15.5
  160.500   454.5   426.0   409.4  90.  96.   15.7
  160.542   506.0   472.1   451.3  89.  96.   24.6
  160.583   599.9   557.6   530.6  88.  95.   37.3
  160.625   487.7   454.1   437.9  90.  96.   22.4
  160.667   543.8   497.2   477.1  88.  96.   26.7
  160.709   686.1   614.9   577.3  84.  94.   28.0
  160.750   627.0   557.3   506.4  81.  91.    -.6
  160.792   441.0   383.9   349.9  79.  91.  -18.3
  160.833   346.6   300.8   284.7  82.  95.    8.2
  160.875   271.3   237.7   228.5  84.  96.   16.3
  160.917   350.7   308.9   286.0  82.  93.   55.2
  160.958   230.0   146.3   189.3  82. 129.   39.4
  161.000    57.2    51.3    51.4  90. 100.     .5
  161.042    32.4    29.3    29.3  91. 100.   -3.4
  161.083    17.8    16.4    16.5  93. 101.   -9.3
  161.125    14.9    13.7    13.9  93. 102.   -6.2
  161.167    19.5    18.1    18.1  93. 100.   -9.1
  161.208    35.2    32.8    32.3  92.  98.   -4.4
  161.250    63.7    59.4    57.6  90.  97.    2.7
  161.292   121.1   113.7   109.0  90.  96.    6.9
  161.333   189.1   177.8   170.0  90.  96.    7.3
  161.375   279.5   260.2   248.5  89.  96.   13.3
  161.417   421.9   390.2   375.7  89.  96.    6.5
  161.458   514.9   474.3   452.4  88.  95.   14.5
  161.500   574.0   521.4   498.1  87.  96.   32.4
  161.542   636.2   573.6   541.7  85.  94.   24.9
  161.583   679.6   605.5   566.6  83.  94.   29.0
  161.625   662.5   574.7   544.4  82.  95.   36.9
  161.667   730.0   630.7   582.7  80.  92.    2.1
  161.708   711.5   620.4   565.5  79.  91.    8.3
  161.750   570.7   497.0   446.1  78.  90.   -2.8
  161.792   568.1   498.2   441.7  78.  89.   19.0
  161.833   448.0   389.8   343.7  77.  88.   23.3
  161.875   331.4   285.1   253.0  76.  89.    9.2
  161.917   236.0   199.4   180.2  76.  90.   15.8
  161.958   154.5    66.6   118.1  76. 177.    6.4
  162.000    94.7    78.0    72.4  77.  93.  -14.0
  162.042    44.0    41.0    42.5  97. 104.  -26.1
  162.083    14.1    25.0    26.9 191. 108.  -36.7
  162.125    16.4    22.6    23.6 144. 105.  -29.7
  162.167    34.7    33.0    34.3  99. 104.  -30.9
  162.208    65.5    63.5    61.0  93.  96.  -21.5
  162.250   119.3   114.8   106.4  89.  93.    -.1
  162.292   187.6   183.4   170.0  91.  93.   23.7
  162.333   270.4   267.4   245.2  91.  92.   23.4
  162.375   365.8   362.5   327.7  90.  90.   13.2
  162.417   460.4   450.6   411.4  89.  91.    4.1
  162.458   558.8   539.7   486.7  87.  90.  -10.7
  162.500   640.1   608.7   547.6  86.  90.  -26.9
  162.542   701.4   654.9   589.3  84.  90.  -46.6
  162.583   736.5   682.9   611.5  83.  90.  -42.9
  162.625   744.5   685.7   611.8  82.  89.  -16.7
  162.667   725.7   663.7   593.0  82.  89.    8.2
