  Jul.Day  S1(up) S2(up)   S(dw)   Alb1  Alb2  net_rad
  165.750   600.9   587.7   480.0  80.  82.   24.7
  165.792   532.8   522.2   428.1  80.  82.   18.5
  165.833   439.7   430.9   353.8  80.  82.    9.7
  165.875   326.7   318.2   261.6  80.  82.   -4.1
  165.917   229.0   220.5   182.0  79.  83.  -15.6
  165.958   162.7   106.0   132.2  81. 125.  -13.2
  166.000    93.0    90.1    75.2  81.  83.  -32.0
  166.042    61.8    64.5    56.5  91.  88.  -18.4
  166.083    23.1    29.4    26.3 114.  89.   -8.0
  166.125    17.0    17.9    15.8  93.  88.   -3.6
  166.167    21.1    22.0    19.1  90.  87.   -5.9
  166.208    29.2    30.6    26.6  91.  87.    2.6
  166.250    45.2    46.9    41.1  91.  88.   10.7
  166.292    86.8    89.7    78.9  91.  88.   11.6
  166.333   125.9   129.7   113.7  90.  88.   13.5
  166.375   198.0   203.4   177.1  89.  87.   15.6
  166.417   262.3   268.7   232.8  89.  87.   19.2
  166.458   376.3   383.6   332.6  88.  87.   24.3
  166.500   420.3   428.0   372.2  89.  87.   21.1
  166.542   433.6   441.9   383.5  88.  87.   21.4
  166.583   445.9   454.9   397.9  89.  87.   13.0
  166.625   478.9   489.8   425.9  89.  87.   14.1
  166.667   409.2   416.6   365.4  89.  88.    5.0
  166.708   433.8   436.7   392.0  90.  90.   -2.5
  166.750   406.3   410.4   368.9  91.  90.    -.2
  166.792   340.1   347.7   306.3  90.  88.    2.3
  166.833   221.4   227.7   202.8  92.  89.   -3.3
  166.875   157.0   161.5   146.1  93.  90.   -2.9
  166.917   125.8   129.4   118.1  94.  91.   -2.5
  166.958    95.5    98.5    89.0  93.  90.    -.2
  167.000    47.3    49.0    44.5  94.  91.    -.8
  167.042    36.0    37.5    33.9  94.  90.    -.1
  167.083    21.2    22.3    20.2  95.  91.    -.9
  167.125    18.4    19.4    17.6  95.  91.   -1.7
  167.167    30.7    32.4    28.9  94.  89.   -5.3
  167.208    48.3    50.3    44.9  93.  89.   -2.2
  167.250    73.4    76.1    67.4  92.  88.  -17.3
  167.292   152.8   156.6   137.0  90.  87.  -21.0
  167.333   288.7   297.1   257.5  89.  87.   -4.7
  167.375   279.2   288.6   254.6  91.  88.    1.5
  167.417   348.2   356.6   313.6  90.  88.    8.8
  167.458   537.0   545.7   475.6  89.  87.   12.1
  167.500   641.4   647.3   562.9  88.  87.   17.1
  167.542   669.7   674.2   584.4  87.  87.   17.5
  167.583   555.5   563.9   493.2  89.  87.    -.5
  167.625   524.3   535.6   473.1  90.  88.   -1.1
  167.667   483.4   493.7   436.5  90.  88.     .8
  167.708   512.0   521.6   457.6  89.  88.    7.6
  167.750   482.6   488.2   425.6  88.  87.   18.3
  167.792   478.9   473.3   403.2  84.  85.   10.0
  167.833   357.2   356.2   310.2  87.  87.   16.3
  167.875   217.6   219.6   193.0  89.  88.    3.9
  167.917   131.0   133.7   117.5  90.  88.    5.6
  167.958    72.8    75.6    66.9  92.  89.    3.8
  168.000    51.4    53.5    47.5  92.  89.    2.3
  168.042    28.2    29.6    26.3  93.  89.    -.1
  168.083    17.1    18.0    16.1  94.  89.   -2.1
  168.125    18.0    19.2    17.1  95.  89.  -10.6
  168.167    19.3    20.3    18.2  95.  90.   -5.1
  168.208    45.7    47.7    42.4  93.  89.   -4.5
  168.250    78.3    80.9    71.6  91.  89.   -3.6
  168.292   169.3   174.5   154.1  91.  88.   -1.6
  168.333   246.5   254.7   226.2  92.  89.     .6
  168.375   290.9   300.0   267.9  92.  89.   -8.8
  168.417   412.6   422.9   378.8  92.  90.   -2.7
  168.458   489.1   498.6   443.2  91.  89.  -19.1
  168.500   595.4   601.9   533.8  90.  89.  -28.8
  168.542   726.3   721.6   636.4  88.  88.  -38.2
  168.583   738.9   732.1   637.0  86.  87.  -39.2
  168.625   726.9   723.8   625.6  86.  86.  -37.9
  168.667   696.4   692.0   597.7  86.  86.  -39.2
  168.708   556.7   556.2   486.1  87.  87.  -12.6
  168.750   525.6   527.0   463.3  88.  88.    -.6
  168.792   466.7   467.4   412.7  88.  88.  -11.5
  168.833   415.3   413.5   364.9  88.  88.  -13.3
  168.875   239.8   240.9   215.7  90.  90.  -13.3
  168.917   187.3   182.9   165.7  88.  91.  -22.4
  168.958   145.7   109.0   127.3  87. 117.  -24.3
  169.000   146.8   140.8   124.5  85.  88.  -18.7
  169.042    79.7    79.7    74.9  94.  94.  -29.6
  169.083    20.1    26.2    24.4 121.  93.  -38.2
  169.125    15.5    19.6    18.4 119.  94.  -37.3
  169.167    24.1    25.4    23.6  98.  93.  -36.7
  169.208    60.9    61.6    56.6  93.  92.  -34.2
  169.250    99.1   101.5    89.2  90.  88.  -25.7
  169.292   156.0   161.6   142.7  91.  88.  -12.5
  169.333   199.1   206.4   181.1  91.  88.  -13.1
  169.375   362.1   373.9   324.9  90.  87.   -2.0
  169.417   482.0   492.0   427.2  89.  87.   -5.7
  169.458   546.0   552.3   476.1  87.  86.  -11.5
  169.500   651.1   652.2   562.9  86.  86.   -4.5
  169.542   698.9   691.9   595.0  85.  86.   -1.2
  169.583   735.8   727.5   618.8  84.  85.    7.9
  169.625   744.7   735.0   618.0  83.  84.   23.9
  169.667   727.6   715.5   597.8  82.  84.   37.4
  169.708   684.6   672.7   559.9  82.  83.   35.1
  169.750   619.5   605.6   505.2  82.  83.   20.2
  169.792   534.9   523.4   438.0  82.  84.    7.9
  169.833   440.8   430.5   363.1  82.  84.   -5.4
  169.875   343.6   333.8   283.3  82.  85.  -17.9
  169.917   249.5   239.6   204.1  82.  85.  -28.9
  169.958   154.6    74.3   126.5  82. 170.  -38.5
  170.000    46.4    45.7    41.4  89.  91.  -49.9
  170.042    19.8    22.2    20.3 103.  91.  -51.0
