  Jul.Day  S1(up)  S2(up)  S(dw) net_rad lnet lout lin
  165.750   600.9   587.7   480.0    1.9 -119.0 -302.7 -421.7
  165.792   532.8   522.2   428.1    1.4 -103.2 -302.7 -405.9
  165.833   439.7   430.9   353.8     .7  -85.2 -302.7 -387.9
  165.875   326.7   318.2   261.6   -3.9  -69.0 -310.5 -379.5
  165.917   229.0   220.5   182.0  -15.0  -62.0 -310.5 -372.5
  165.958   162.7   106.0   132.2  -12.7  -43.2 -310.5 -353.7
  166.001    93.0    90.1    75.2  -30.8  -48.5 -308.7 -357.2
  166.042    61.8    64.5    56.5  -17.7  -23.0 -308.7 -331.7
  166.084    23.1    29.4    26.3   -7.7   -4.6 -308.7 -313.3
  166.125    17.0    17.9    15.8   -3.5   -4.7 -311.0 -315.7
  166.167    21.1    22.0    19.1   -5.7   -7.7 -311.0 -318.6
  166.208    29.2    30.6    26.6     .2   -2.4 -311.0 -313.3
  166.250    45.2    46.9    41.1     .8   -3.2 -312.8 -316.0
  166.292    86.8    89.7    78.9     .9   -7.0 -312.8 -319.8
  166.333   125.9   129.7   113.7    1.0  -11.2 -312.8 -324.0
  166.375   198.0   203.4   177.1    1.2  -19.7 -310.1 -329.7
  166.417   262.3   268.7   232.8    1.4  -28.0 -310.1 -338.1
  166.458   376.3   383.6   332.6    1.8  -41.9 -310.1 -352.0
  166.500   420.3   428.0   372.2    1.6  -46.5 -310.1 -356.6
  166.542   433.6   441.9   383.5    1.6  -48.5 -310.1 -358.5
  166.583   445.9   454.9   397.9    1.0  -47.0 -310.1 -357.0
  166.625   478.9   489.8   425.9    1.1  -51.9 -311.4 -363.3
  166.667   409.2   416.6   365.4     .4  -43.4 -311.4 -354.8
  166.708   433.8   436.7   392.0   -2.4  -44.3 -311.4 -355.7
  166.750   406.3   410.4   368.9    -.2  -37.5 -305.7 -343.2
  166.792   340.1   347.7   306.3     .2  -33.6 -305.7 -339.3
  166.833   221.4   227.7   202.8   -3.1  -21.7 -305.7 -327.4
  166.875   157.0   161.5   146.1   -2.8  -13.7 -292.4 -306.1
  166.917   125.8   129.4   118.1   -2.4  -10.1 -292.4 -302.4
  166.958    95.5    98.5    89.0    -.2   -6.7 -292.4 -299.1
  167.001    47.3    49.0    44.5    -.8   -3.6 -283.7 -287.3
  167.042    36.0    37.5    33.9    -.1   -2.2 -283.7 -285.9
  167.084    21.2    22.3    20.2    -.9   -1.9 -283.7 -285.6
  167.125    18.4    19.4    17.6   -1.7   -2.5 -283.1 -285.6
  167.167    30.7    32.4    28.9   -5.1   -6.9 -283.1 -289.9
  167.208    48.3    50.3    44.9   -2.1   -5.5 -283.1 -288.6
  167.250    73.4    76.1    67.4  -16.6  -22.6 -286.2 -308.8
  167.292   152.8   156.6   137.0  -20.2  -36.0 -286.2 -322.2
  167.333   288.7   297.1   257.5   -4.5  -35.7 -286.2 -321.9
  167.375   279.2   288.6   254.6     .1  -24.5 -286.9 -311.4
  167.417   348.2   356.6   313.6     .7  -33.9 -286.9 -320.8
  167.458   537.0   545.7   475.6     .9  -60.5 -286.9 -347.4
  167.500   641.4   647.3   562.9    1.3  -77.2 -297.4 -374.7
  167.542   669.7   674.2   584.4    1.3  -84.0 -297.4 -381.4
  167.583   555.5   563.9   493.2    -.5  -62.8 -297.4 -360.2
  167.625   524.3   535.6   473.1   -1.1  -52.2 -301.5 -353.6
  167.667   483.4   493.7   436.5     .1  -46.8 -301.5 -348.3
  167.708   512.0   521.6   457.6     .6  -53.9 -301.5 -355.3
  167.750   482.6   488.2   425.6    1.4  -55.6 -298.2 -353.9
  167.792   478.9   473.3   403.2     .7  -74.9 -298.2 -373.1
  167.833   357.2   356.2   310.2    1.2  -45.7 -298.2 -343.9
  167.875   217.6   219.6   193.0     .3  -24.3 -304.4 -328.7
  167.917   131.0   133.7   117.5     .4  -13.1 -304.4 -317.5
  167.958    72.8    75.6    66.9     .3   -5.6 -304.4 -310.0
  168.001    51.4    53.5    47.5     .2   -3.8 -303.1 -306.9
  168.042    28.2    29.6    26.3    -.1   -2.0 -303.1 -305.1
  168.084    17.1    18.0    16.1   -2.0   -3.1 -303.1 -306.2
  168.125    18.0    19.2    17.1  -10.2  -11.2 -298.2 -309.4
  168.167    19.3    20.3    18.2   -4.9   -5.9 -298.2 -304.1
  168.208    45.7    47.7    42.4   -4.3   -7.7 -298.2 -305.9
  168.250    78.3    80.9    71.6   -3.4  -10.1 -290.5 -300.6
  168.292   169.3   174.5   154.1   -1.5  -16.7 -290.5 -307.2
  168.333   246.5   254.7   226.2     .0  -20.2 -290.5 -310.8
  168.375   290.9   300.0   267.9   -8.4  -31.5 -288.3 -319.8
