"TOA5","22","CR1000","31412","CR1000.Std.18","CPU:ARGOS 2011 GITS.CR1","33414","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg(1)","sw_ref_Avg","net_rad_Avg"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2011-06-02 00:00:00",0,22,2011,153,0,1.399,1.077,0.067
"2011-06-02 01:00:00",1,22,2011,153,1,1.203,1,-0.312
"2011-06-02 02:00:00",2,22,2011,153,2,0.865,0.841,-0.752
"2011-06-02 03:00:00",3,22,2011,153,3,0.363,0.739,-1.507
"2011-06-02 04:00:00",4,22,2011,153,4,0.472,0.693,-1.646
"2011-06-02 05:00:00",5,22,2011,153,5,0.666,0.717,-1.287
"2011-06-02 06:00:00",6,22,2011,153,6,0.81,0.806,-0.893
"2011-06-02 07:00:00",7,22,2011,153,7,0.923,0.958,-0.731
"2011-06-02 08:00:00",8,22,2011,153,8,1.078,1.136,-0.682
"2011-06-02 09:00:00",9,22,2011,153,9,1.292,1.345,-0.532
"2011-06-02 10:00:00",10,22,2011,153,10,1.53,1.539,-0.334
"2011-06-02 11:00:00",11,22,2011,153,11,1.924,1.847,0.06
"2011-06-02 12:00:00",12,22,2011,153,12,2.204,2.042,0.346
"2011-06-02 13:00:00",13,22,2011,153,13,2.425,2.183,0.588
"2011-06-02 14:00:00",14,22,2011,153,14,2.461,2.16,0.77
"2011-06-02 15:00:00",15,22,2011,153,15,2.503,2.154,0.93
"2011-06-02 16:00:00",16,22,2011,153,16,2.85,2.401,1.198
"2011-06-02 17:00:00",17,22,2011,153,17,3.205,2.654,1.494
"2011-06-02 18:00:00",18,22,2011,153,18,2.807,2.289,1.233
"2011-06-02 19:00:00",19,22,2011,153,19,2.896,2.319,1.384
"2011-06-02 20:00:00",20,22,2011,153,20,2.667,2.117,1.212
"2011-06-02 21:00:00",21,22,2011,153,21,2.406,1.918,0.942
"2011-06-02 22:00:00",22,22,2011,153,22,2.122,1.707,0.598
"2011-06-02 23:00:00",23,22,2011,153,23,1.819,1.47,0.285
"2011-06-03 00:00:00",24,22,2011,154,0,1.547,1.275,-0.029
"2011-06-03 01:00:00",25,22,2011,154,1,1.262,1.061,-0.336
"2011-06-03 02:00:00",26,22,2011,154,2,0.917,0.912,-0.833
"2011-06-03 03:00:00",27,22,2011,154,3,0.372,0.808,-1.709
"2011-06-03 04:00:00",28,22,2011,154,4,0.481,0.77,-1.862
"2011-06-03 05:00:00",29,22,2011,154,5,0.677,0.771,-1.393
"2011-06-03 06:00:00",30,22,2011,154,6,0.648,0.681,-0.936
"2011-06-03 07:00:00",31,22,2011,154,7,0.876,0.945,-0.831
"2011-06-03 08:00:00",32,22,2011,154,8,0.825,0.884,-0.738
"2011-06-03 09:00:00",33,22,2011,154,9,1.187,1.25,-0.61
"2011-06-03 10:00:00",34,22,2011,154,10,1.461,1.455,-0.212
"2011-06-03 11:00:00",35,22,2011,154,11,1.779,1.699,0.041
"2011-06-03 12:00:00",36,22,2011,154,12,1.637,1.494,0.231
"2011-06-03 13:00:00",37,22,2011,154,13,1.917,1.733,0.411
"2011-06-03 14:00:00",38,22,2011,154,14,2.498,2.197,0.735
"2011-06-03 15:00:00",39,22,2011,154,15,2.911,2.49,1.139
"2011-06-03 16:00:00",40,22,2011,154,16,1.902,1.623,0.537
"2011-06-03 17:00:00",41,22,2011,154,17,1.489,1.273,0.219
"2011-06-03 18:00:00",42,22,2011,154,18,1.465,1.258,0.223
"2011-06-03 19:00:00",43,22,2011,154,19,1.466,1.262,0.254
"2011-06-03 20:00:00",44,22,2011,154,20,1.746,1.473,0.487
"2011-06-03 21:00:00",45,22,2011,154,21,1.691,1.39,0.388
"2011-06-03 22:00:00",46,22,2011,154,22,1.891,1.537,0.43
"2011-06-03 23:00:00",47,22,2011,154,23,1.463,1.208,0.119
"2011-06-04 00:00:00",48,22,2011,155,0,1.374,1.157,0.028
"2011-06-04 01:00:00",49,22,2011,155,1,0.766,0.685,-0.324
"2011-06-04 02:00:00",50,22,2011,155,2,0.689,0.632,-0.307
"2011-06-04 03:00:00",51,22,2011,155,3,0.598,0.613,-0.39
"2011-06-04 04:00:00",52,22,2011,155,4,0.649,0.611,-0.228
"2011-06-04 05:00:00",53,22,2011,155,5,0.497,0.451,-0.214
"2011-06-04 06:00:00",54,22,2011,155,6,0.616,0.551,-0.057
"2011-06-04 07:00:00",55,22,2011,155,7,0.853,0.758,0.234
"2011-06-04 08:00:00",56,22,2011,155,8,0.961,0.851,0.255
"2011-06-04 09:00:00",57,22,2011,155,9,1.2,1.071,0.333
"2011-06-04 10:00:00",58,22,2011,155,10,1.19,1.067,0.345
"2011-06-04 11:00:00",59,22,2011,155,11,1.375,1.231,0.409
"2011-06-04 12:00:00",60,22,2011,155,12,1.538,1.371,0.433
"2011-06-04 13:00:00",61,22,2011,155,13,1.737,1.547,0.535
"2011-06-04 14:00:00",62,22,2011,155,14,1.724,1.535,0.538
"2011-06-04 15:00:00",63,22,2011,155,15,1.973,1.751,0.592
"2011-06-04 16:00:00",64,22,2011,155,16,1.916,1.703,0.539
"2011-06-04 17:00:00",65,22,2011,155,17,2.001,1.768,0.592
"2011-06-04 18:00:00",66,22,2011,155,18,2.074,1.828,0.612
"2011-06-04 19:00:00",67,22,2011,155,19,1.903,1.681,0.545
"2011-06-04 20:00:00",68,22,2011,155,20,1.675,1.482,0.442
"2011-06-04 21:00:00",69,22,2011,155,21,1.75,1.534,0.513
"2011-06-04 22:00:00",70,22,2011,155,22,1.242,1.098,0.304
"2011-06-04 23:00:00",71,22,2011,155,23,0.975,0.866,0.22
"2011-06-05 00:00:00",72,22,2011,156,0,0.89,0.791,0.205
"2011-06-05 01:00:00",73,22,2011,156,1,0.753,0.672,0.183
"2011-06-05 02:00:00",74,22,2011,156,2,0.649,0.575,0.17
"2011-06-05 03:00:00",75,22,2011,156,3,0.443,0.394,0.077
"2011-06-05 04:00:00",76,22,2011,156,4,0.58,0.512,0.116
