"TOA5","CR1000","CR1000","31415","CR1000.Std.18","CPU:GOES cp1 2010.CR1","57554","Public"
"TIMESTAMP","RECORD","i1","Year","Month","DOM","Hour","Minute","Second","uSecond","WeekDay","Day_of_Year","TRef","alpha1","sw_in","sw_ref","net_rad","tc_snow(1)","tc_snow(2)","tc_snow(3)","tc_snow(4)","tc_snow(5)","tc_snow(6)","tc_snow(7)","tc_snow(8)","tc_snow(9)","tc_snow(10)","tc_air(1)","tc_air(2)","t_air(1)","t_air(2)","rh(1)","rh(2)","U(1)","U(2)","Dir(1)","Dir(2)","pressure","SD_1","SD_2","Battery","p_flag","lat","lon","GoesResult","GPSdata(1)","GPSdata(2)","GPSdata(3)","GPSdata(4)","GPSdata(5)","GPSdata(6)","GPStime(1)","GPStime(2)","GPStime(3)","GPStime(4)","GPStime(5)","GPStime(6)","GPStime(7)","LoggerID"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990-09-26 13:58:44.5",66,0,0,0,0,0,0,0,0,0,0,"NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-18.22159,-19.04084,82.12988,79.80866,7.559066,7.768134,336.7373,329.1756,402.3041,3.2482,1.0876,14.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
