year,title,authors,journal,URL/DOI,GC-Net parameters used,publication without GC-Net core scientists
1996,Greenland climate network: GC-Net,"Steffen, K., Box, J. E., & Abdalati, W.","in Glaciers, Ice Sheets and Volcanoes: A Tribute to Mark F. Meier. Ed. S. Colbeck, US Army Cold Regions Reattach and Engineering (CRREL), CRREL Special Report, 98-103.",https://apps.dtic.mil/sti/citations/ADA321342,,
2001,SURFACE WATER VAPOR EXCHANGES ON THE GREENLAND ICE SHEET DERIVED FROM AUTOMATED WEATHER STATION DATA,"Box, J.E.",PhD thesis,,microclimatology,
2001,Sublimation on the Greenland ice sheet from automated weather station observations,"Box, J.E. and Steffen, K.",Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2001JD900219,microclimatology,
2001,Surface climatology of the Greenland Ice Sheet: Greenland Climate Network 1995-1999,"Steffen, K. and Box, J.",Journal of Geophysical Research: Atmospheres, https://doi.org/10.1029/2001JD900161,multiple,
2001,Assessment of Greenland albedo variability from the advanced very high resolution radiometer Polar Pathfinder data set,Julienne Stroeve,Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2001JD900072,albedo,
2001,Evaluation of Polar MM5 simulations of Greenland's atmospheric circulation,"Cassano, John J. ; Box, Jason E. ; Bromwich, David H. ; Li, Lin ; Steffen, Konrad",Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2001JD900044,multiple,
2001,A Dozen Years of Temperature Observations at the Summit: Central Greenland Automatic Weather Stations 1987-99,"Shuman, Christopher A. ; Steffen, Konrad ; Box, Jason E. ; Stearns, Charles R.",Journal of Applied Meteorology,https://doi.org/10.1175/1520-0450(2001)040<0741:ADYOTO>2.0.CO;2,air temperature,
2001,"Validation of ECMWF (re)analysis surface climate data, 1979-1998, for Greenland and implications for mass balance modelling of the ice sheet","Hanna, Edward ; Valdes, Paul",International Journal of Climatology,https://doi.org/10.1002/joc.609,multiple,
2001,Unstable near-surface boundary conditions in summer on top of the Greenland Ice Sheet,"Cullen, Steffen",GRL,https://doi.org/10.1029/2001GL013417,microclimatology,
2004,Greenland ice sheet surface mass balance 1991–2000: Application of Polar MM5 mesoscale model and in situ data,"Jason E. Box, David H. Bromwich, Le-Sheng Bai",Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2003JD004451,multiple,
2005,Accuracy assessment of the MODIS 16-day albedo product for snow: comparisons with Greenland in situ measurements,"Stroeve, Julienne ; Box, Jason E. ; Gao, Feng ; Liang, Shunlin ; Nolin, Anne ; Schaaf, Crystal",Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2004.09.001,albedo,
2005,Mapping daily snow/ice shortwave broadband albedo from Moderate Resolution Imaging Spectroradiometer (MODIS): The improved direct retrieval algorithm and validation with Greenland in situ measurement,"Liang, Shunlin ; Stroeve, Julienne ; Box, Jason E.",Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2004JD005493,albedo,
2006,Evaluation of the MODIS (MOD10A1) daily snow albedo product over the Greenland ice sheet,"Stroeve, Julienne C. ; Box, Jason E. ; Haran, Terry",Remote Sensing of Environment,https://doi.org/10.5194/tc-10-727-2016,albedo,
2006,Greenland Ice Sheet Surface Mass Balance Variability (1988 2004) from Calibrated Polar MM5 Output,"Box, Jason E. ; Bromwich, David H. ; Veenhuis, Bruce A. ; Bai, Le-Sheng ; Stroeve, Julienne C. ; Rogers, Jeffrey C. ; Steffen, Konrad ; Haran, T. ; Wang, Sheng-Hung",Journal of Climate,https://doi.org/10.1175/JCLI3738.1,multiple,
2006,The 1988 2003 Greenland ice sheet melt extent using passive microwave satellite data and a regional climate model,"Fettweis, Xavier ; Gallée, Hubert ; Lefebre, Filip ; van Ypersele, Jean-Pascal",Climate Dynamics,https://doi.org/10.1007/s00382-006-0150-8,air temperature,
2007,ASSESSMENT OF GLACIER MASS BALANCES FROM SMALL TROPICAL GLACIERS TO THE LARGE ICE SHEET OF GREENLAND,TODD H. ALBERT,PhD thesis,,glaciology,
2008,Comparison of satellite-derived and in-situ observations of ice and snow surface temperatures over Greenland,"Dorothy K. Hall a,⁎, Jason E. Box b, Kimberly A. Casey c, Simon J. Hook d, Christopher A. Shuman e, Konrad Steffen f",Remote Sensing of Environment,https://doi.org/10.5194/tc-10-727-2016,,
2009,Greenland Ice Sheet Surface Air Temperature Variability: 1840–2007,"Box, Yang, Bromwich, Bai",Journal of Climate,https://doi.org/10.1175/2009JCLI2816.1,air temperature,
2010,"Assessing supraglacial water volume and the changing dynamics of the surface topography near the Jakobshavn Glacier, Greenland","Adler, John J.",PhD thesis,,,
