"TOA5","0","CR1000","59715","CR1000.Std.26","CPU:GOES Swiss Camp 10 m tower 2017 witot radar.CR1","55545","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_air_Avg","t_air1_Avg","t_air2_Avg","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","tc_air_Max","tc_air_Min","U_Max(1)","U_Max(2)","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Max","Max","Smp"
"2017-05-20 19:00:00",0,0,2017,140,19,4.819,3.63,1.969,-2.19,-2.046,-1.128,83.5,78.8,2.117,2.237,255.1,218.7,574.8,1.963,2.029,-1.167,-3.183,3.051,3.195,14.71
"2017-05-20 20:00:00",1,0,2017,140,20,3.174,2.467,-0.138,-2.106,-2.315,-0.969,87.1,80.2,1.136,1.211,236.4,196.3,587.3,2.15,2.136,-1.071,-3.121,2.28,2.476,14.62
"2017-05-20 21:00:00",2,0,2017,140,21,2.507,1.954,0.094,-2.225,-2.422,-1.776,90.8,85.8,2.167,2.365,168.9,135.9,587.4,2.146,2.132,-2.11,-2.3,2.561,2.92,14.49
"2017-05-20 22:00:00",3,0,2017,140,22,2.089,1.623,0.366,-2.095,-2.317,-1.781,91.5,86.6,2.533,2.847,159,125.7,587.4,2.143,2.075,-1.969,-2.27,3.136,3.397,14.44
"2017-05-20 23:00:00",4,0,2017,140,23,1.281,1.002,0.183,-2.072,-2.338,-1.895,92.6,87.8,2.804,3.177,166.6,132,587.5,2.144,2.137,-1.978,-2.15,3.371,3.913,14.32
"2017-05-21 00:00:00",5,0,2017,141,0,0.738,0.581,-0.074,-2.518,-2.697,-2.393,94.9,90.2,2.872,3.216,193.7,161.1,587.6,2.149,2.304,-2.047,-2.978,3.45,3.711,14.18
"2017-05-21 01:00:00",6,0,2017,141,1,0.301,0.239,-0.158,-3.13,-3.413,-3.088,96.3,91.1,2.871,3.202,203.1,171.1,587.9,2.145,0.829,-2.9,-3.326,3.43,3.646,14
"2017-05-21 02:00:00",7,0,2017,141,2,0.075,0.061,-0.228,-3.866,-4.07,-3.856,95.3,90.2,2.832,3.214,210.7,179.5,588.1,2.143,0.871,-3.256,-4.742,3.927,4.136,13.86
"2017-05-21 03:00:00",8,0,2017,141,3,0.035,0.029,-0.269,-5.311,-5.552,-5.317,93.8,88.8,2.924,3.362,294.7,264.9,588.4,2.153,1.373,-4.63,-5.806,3.946,4.253,13.75
"2017-05-21 04:00:00",9,0,2017,141,4,0.034,0.028,-0.331,-5.614,-5.916,-5.598,93.5,88.4,2.287,2.487,322.7,307.6,588.6,2.148,1.768,-5.469,-5.772,3.005,3.149,13.65
"2017-05-21 05:00:00",10,0,2017,141,5,0.059,0.048,-0.387,-5.581,-5.838,-5.509,93.2,88.1,1.72,1.893,101.3,320.8,588.8,2.144,2.388,-5.447,-5.679,2.339,2.509,13.56
"2017-05-21 06:00:00",11,0,2017,141,6,0.174,0.138,-0.41,-5.283,-5.637,-5.21,92.6,87.4,1.676,1.905,37.65,78.52,588.8,2.143,2.369,-5.006,-5.554,2.548,2.933,13.49
"2017-05-21 07:00:00",12,0,2017,141,7,0.39,0.31,-0.403,-4.841,-5.202,-4.68,91.6,86.3,1.177,1.351,68.55,37.32,589.1,2.142,2.145,-4.727,-5.035,2.032,2.267,13.48
"2017-05-21 08:00:00",13,0,2017,141,8,0.872,0.698,-1.797,-5.34,-5.578,-4.666,91.3,86,1.523,2.087,110.3,75.85,589,2.147,2.149,-4.919,-5.93,2.509,2.933,13.6
"2017-05-21 09:00:00",14,0,2017,141,9,1.481,1.17,-0.285,-5.332,-5.535,-4.904,91.1,86.2,1.138,2.02,267.7,231.6,589.3,2.146,2.143,-4.716,-5.966,2.992,3.633,13.91
"2017-05-21 10:00:00",15,0,2017,141,10,2.293,1.812,-0.225,-4.675,-4.853,-4.014,89.3,83.4,1.233,1.41,149.9,186.9,589.2,2.144,2.141,-4.227,-5.034,1.849,2.11,14.37
"2017-05-21 11:00:00",16,0,2017,141,11,3.367,2.669,-0.352,-3.398,-3.723,-2.199,85.7,75.2,1.176,1.337,77.82,46.78,589.1,2.14,2.138,-1.961,-4.28,1.953,2.136,14.77
"2017-05-21 12:00:00",17,0,2017,141,12,4.618,3.697,-0.948,-3.326,-3.336,-1.741,83.3,74.35,2.003,2.264,231.2,215.6,589.1,2.143,2.138,-0.747,-4.779,3.724,3.979,15
"2017-05-21 13:00:00",18,0,2017,141,13,5.763,4.634,-1.255,-3.985,-3.976,-3.141,83.8,79.48,2.811,3.084,322.7,290.5,589.2,2.146,2.138,-3.536,-4.435,3.737,3.92,15.47
"2017-05-21 14:00:00",19,0,2017,141,14,6.637,5.331,-2.511,-3.66,-3.654,-2.167,81.4,73.65,2.155,2.418,320.5,310.1,588.9,2.145,2.134,-3.468,-3.9,2.535,2.764,15.23
"2017-05-21 15:00:00",20,0,2017,141,15,6.983,5.55,-1.825,-3.321,-3.362,-1.838,79.93,72.32,2.118,2.308,270.2,316.1,588.7,2.144,2.132,-2.685,-3.602,2.528,2.737,15.23
"2017-05-21 16:00:00",21,0,2017,141,16,7.063,5.499,-0.688,-2.636,-2.754,-1.619,76.47,70.44,2.288,2.539,12.95,335.2,588.3,2.143,2.13,-2.434,-2.845,2.777,3.11,15.24
"2017-05-21 17:00:00",22,0,2017,141,17,6.974,5.311,0.79,-2.84,-2.863,-1.907,75.9,70.92,2.856,3.279,54.68,331.5,587.8,2.144,2.13,-2.506,-3.181,3.41,3.966,15.22
