9,96,171.583,14,426,254.4,150.543,2.714,2.784,82.2,79.7,7.63,8.19,143.2,151.7,900,1.988,-5.733,-4.036,-1.264,0.311,1.34,2.818,3.027,8.76,9.4,-1.199996E-2,1.199996E-2
9,96,171.625,15,572.4,334.4,203.799,2.662,2.701,83.4,81,8.56,9.22,141.6,150,900.1,2.001,-4.273,-0.721,-0.577,0.351,0.624,2.786,2.976,9.46,10.16,9.999275E-4,-9.999275E-4
9,96,171.667,16,743.8,414.8,250.208,3.006,3.039,79.7,77.3,9.62,10.38,143.2,150,900.4,1.999,-3.551,0.01,0.231,0.566,0.854,3.127,3.347,11.27,12.13,-1.000047E-3,1.000047E-3
9,96,171.708,17,759.8,415.2,265.329,3.146,3.177,77.6,75.2,10.25,11.03,145.8,152.7,901.1,2.008,-2.344,0.074,0.192,0.593,0.866,3.28,3.502,12.37,13.32,7.999897E-3,-7.999897E-3
9,96,171.75,18,735,412.2,252.681,2.638,2.636,81.4,79.2,10.41,11.2,148.6,156.6,901.4,2.013,0.067,0.093,-0.052,0.626,0.83,2.83,2.967,11.57,12.64,1.300001E-2,-1.300001E-2
9,96,171.792,19,532.4,310,184.209,1.814,1.81,87.8,85.7,8.53,9.17,154.1,160.7,902.9,2.016,0.078,0.096,0.047,0.596,0.796,1.96,2.099,9.71,10.42,1.600003E-2,-1.600003E-2
9,96,171.833,20,272.8,175.4,79.979,0.746,0.733,96.5,94.4,7.49,8.04,164,172.1,904.1,2.02,-0.005,-0.118,0.006,0.36,1.239,0.887,0.953,8.73,9.3,1.999998E-2,-1.999998E-2
9,96,171.875,21,223.8,204.2,32.933,-0.156,-0.193,103.1,100.8,5.504,5.896,173.6,181.8,906.5,2.016,-1.058,-1.333,-0.68,0.633,0.667,-0.015,0.03,7.17,7.69,1.600003E-2,-1.600003E-2
9,96,171.917,22,171.8,199.4,10.518,-0.189,-0.233,104.1,101.8,4.5,4.84,160.1,167.8,908.7,2.014,-2.939,-0.097,-0.936,0.525,0.383,-0.099,-0.025,5.421,5.838,1.399994E-2,-1.399994E-2
9,96,171.958,23,144.8,150.8,4.108,-0.541,-0.576,104.2,102.1,4.51,4.839,151.1,159.1,910.3,2.005,-2.968,-0.531,-0.939,0.492,0.279,-0.432,-0.395,5.534,5.978,5.000114E-3,-5.000114E-3
9,96,172,24,119.8,123.2,2.539,-0.681,-0.711,104.2,102.1,4.623,4.977,155.4,162.5,911.7,1.994,-3.853,-0.786,-0.573,0.474,0.166,-0.457,-0.532,5.548,6.079,-6.000042E-3,6.000042E-3
9,96,172.042,1,76,78.2,1.531,-0.857,-0.876,104.1,102.2,3.956,4.246,157.1,165,913.2,1.984,-4.147,-1.046,-0.726,0.46,0.117,-0.654,-0.751,5.398,5.707,-1.600003E-2,1.600003E-2
9,96,172.083,2,40,41,-0.048,-1.131,-1.132,104,102.3,4.055,4.251,192.6,199.3,914.3,1.973,-4.398,-1.534,-0.894,0.467,0.084,-1.036,-1.034,5.656,6.022,-2.699995E-2,2.699995E-2
9,96,172.125,3,25.2,25.8,-0.214,-2.212,-2.211,102.6,101.4,1.766,2.698,262.5,247.2,915.2,1.967,-4.666,-2.706,-1.158,0.462,0.059,-2.17,-2.095,3.34,4.247,-3.299999E-2,3.299999E-2
9,96,172.167,4,16.4,17,-0.737,-2.175,-2.201,102.7,101.6,2.446,2.621,88.6,87.2,915.4,1.967,-4.87,-3.372,-1.77,0.473,0.03,-2.242,-2.164,4.951,5.222,-3.299999E-2,3.299999E-2
