ID Year JulianDay SWin SWout NetRad AirTemp1(TC) AirTemp2(TC) AirTemp1(CS500) AirTemp2(CS500) RH1 RH2 WindSpeed1 WindSpeed2 WindDir1 WindDir2 AtmosPressure SnowHeight1 SnowHeight2 SnowTemp01 SnowTemp02 SnowTemp03 SnowTemp04 SnowTemp05 SnowTemp06 SnowTemp07 SnowTemp08 SnowTemp09 SnowTemp10 BattVoltage SWinMax SWoutMax NetRadMax MaxAirTemp1(TC) MaxAirTemp2(TC) MinAirTemp1(TC) MinAirTemp2(TC) MaxWindSpeed1 MaxWindSpeed2 StdDevWindSpeed1 StdDevWindSpeed2 RefTemp WindSpeed@2m WindSpeed@10m WindSensorHeight1 WindSensorHeight2 Albedo ZenithAngle
[-] [-] [-] [W/m2] [W/m2] [W/m2] [degC] [degC] [degC] [degC] [%] [%] [m/s] [m/s] [deg] [deg] [mbar] [m] [m] [degC] [degC] [degC] [degC] [degC] [degC] [degC] [degC] [degC] [degC] [V] [W/m2] [W/m2] [W/m2] [degC] [degC] [degC] [degC] [m/s] [m/s] [m/s] [m/s] [degC] [m/s] [m/s] [m] [m] [-] [deg]
23 2012 153.4167    1.65    1.60    -0.03  -5.69  -5.69  -7.03  -6.92  95.49  96.74   4.04   5.77 203.1 201.9 999.0   1.7666   1.0581  -1.43 999.00 -18.18  -2.29 -34.90  -0.61  -1.03  -1.02 -36.43 -34.22  14.12    2.17    0.32    0.08  -6.38  -6.37 999.00 999.00   5.39   7.85   0.41   0.62  -4.23 999.00 999.00   4.05   2.84   0.97  66.34 11111118 81111111 21222292 125
23 2012 153.4583    2.05    1.95    -0.11  -5.41  -5.42  -6.35  -6.28  93.24  95.70   3.43   4.91 204.8 205.4 999.0   1.7187   1.0259  -1.35 999.00 -18.19  -2.39 -34.92  -0.61  -0.92  -1.04 -36.66 -34.31  13.99    2.50    0.20    0.04  -5.84 999.00 999.00 999.00   4.14   5.95   0.24   0.36  -4.26 999.00 999.00   4.10   2.88   0.95  63.17 11111118 81111111 21222292 125
23 2012 153.5000    2.19    2.07    -0.22  -5.12  -5.14  -5.67  -5.63  94.10  96.35 999.00 999.00 999.0 999.0 999.0   1.7187   1.0259  -1.27 999.00 -18.20  -2.49 -34.93  -0.61  -0.84  -1.07 -35.76 -34.39 999.00  999.00    0.34    0.07  -5.30 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00   4.10   2.88   0.95  60.28 11111118 81111111 21222222 125
23 2012 153.5417    2.33    2.20    -0.33  -4.84  -4.86  -4.99  -4.98  94.96  97.00 999.00 999.00 999.0 999.0 999.0   1.7187   1.0259  -1.19 999.00 -18.21  -2.59 -34.95  -0.61  -0.75  -1.10 -34.85 -34.48 999.00  999.00    0.48    0.10  -4.76 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00 999.00   4.10   2.88   0.95  57.90 11111118 81111111 21222222 125
23 2012 153.5833    2.47    2.32    -0.43  -4.56  -4.58  -4.31  -4.34  95.83  97.67   5.38   7.60 226.4 225.8 999.0   1.7662   1.0622  -1.11 999.00 -18.22  -2.69 -34.96  -0.61  -0.67  -1.12 -33.95 -34.57  13.72    4.31    0.61    0.13  -4.22  -4.25  -4.76  -4.79   6.86   9.83   0.47   0.67  -2.06 999.00 999.00   4.05   2.84   0.94  56.23 22222228 81111122 21222222 225
23 2012 153.6250    2.85    2.68    -0.60  -4.72  -4.74  -4.39  -4.37  95.77  97.47   5.00   7.08 224.8 224.6 999.0   1.7662   1.0579  -1.03 999.00 -18.23  -2.99 -34.98  -0.61  -2.10  -1.15 -33.55 -34.66  13.66    4.29    0.57    0.12  -4.38  -4.41  -4.99  -5.01   6.56   9.19   0.52   0.73  -1.62 999.00 999.00   4.05   2.85   0.94  55.42 11111118 81111111 21222222 125
23 2012 153.6667    2.94    2.74    -0.65  -4.78  -4.77  -4.40  -4.31  92.33  93.90   4.28   6.10 214.9 214.8 999.0   1.7665   1.0571  -0.96 999.00 -18.25  -3.30 -34.99  -0.61  -4.36  -1.18 -33.29 -34.74  13.59    3.95    0.29    0.06  -4.38  -4.37  -5.12  -5.10   5.12   7.33   0.30   0.42  -1.35 999.00 999.00   4.05   2.85   0.93  55.55 11111118 81111111 21222222 121
23 2012 153.7083    2.97    2.73    -0.58  -4.89  -4.89  -4.56  -4.45  87.82  89.14   3.96   5.67 207.8 208.7 999.0   1.7653   1.0566  -0.88 999.00 -18.26  -3.60 -35.01  -0.61  -6.85  -1.20 -33.08 -34.83  13.52    3.00    0.02    0.04  -4.76  -4.76  -5.12  -5.09   4.66   6.83   0.34   0.50  -1.82 999.00 999.00   4.06   2.85   0.92  56.61 11122118 81111111 21222222 121
23 2012 153.7500    2.86    2.61    -0.51  -4.72  -4.73  -4.39  -4.26  84.22  85.59   3.62   5.21 205.1 205.1 999.0   1.7652   1.0569  -0.80 999.00 -18.27  -3.90 -35.02  -0.61  -7.94  -1.23 -32.57 -34.92  13.47    2.92    0.04    0.01  -4.66  -4.67  -4.79  -4.79   4.18   6.17   0.21   0.32  -1.80 999.00 999.00   4.06   2.85   0.91  58.49 11122228 81111111 21222292 121
23 2012 153.7917    2.69    2.43    -0.48  -4.77  -4.78  -4.51  -4.39  84.92  86.01   4.14   5.94 205.9 207.7 999.0   1.7645   1.0561  -0.72 999.00 -18.28  -4.21 -35.04  -0.61  -9.03  -1.26 -32.09 -35.01  14.57    2.78    0.06    0.03  -4.63  -4.65  -4.87  -4.88   4.78   6.96   0.19   0.30  -1.72 999.00 999.00   4.06   2.85   0.90  61.03 22222228 81111122 21222222 225
