day_of_year,hour,r1,r2,r3,NR
166,2100,2.531,2.605,2.2,.869
166,2200,1.993,2.059,1.755,.421
166,2300,1.418,1.457,1.261,-.21
167,0,.772,.792,.702,-.729
167,100,.613,.645,.562,-.468
167,200,.414,.439,.378,-.353
167,300,.225,.242,.209,-.783
167,400,.188,.201,.175,-.856
167,500,.209,.222,.193,-.749
167,600,.344,.362,.313,-.502
167,700,.536,.565,.488,-.401
167,800,.876,.914,.791,-.16
167,900,1.353,1.403,1.213,-.016
167,1000,2.173,2.249,1.95,-.093
167,1100,3.581,3.681,3.203,.084
167,1200,4.781,4.881,4.233,1.11
167,1300,5.619,5.732,4.923,1.299
167,1400,6.467,6.603,5.577,1.836
167,1500,6.36,6.432,5.33,1.057
167,1600,6.78,6.773,5.496,-1.33
167,1700,6.827,6.807,5.462,-2.683
167,1800,6.665,6.589,5.229,-4.338
167,1900,5.705,5.634,4.542,1.023
167,2000,5.073,4.979,3.985,.262
167,2100,4.105,4.011,3.245,-.167
167,2200,2.728,2.646,2.226,-.246
167,2300,2.251,2.161,1.849,-.646
168,0,1.316,.81,1.09,-1.979
168,100,.509,.494,.435,-3.406
168,200,.399,.419,.399,-3.849
168,300,.119,.273,.286,-4.337
168,400,.154,.265,.278,-3.902
168,500,.363,.374,.374,-3.979
168,600,.643,.68,.603,-3.658
168,700,1.158,1.224,1.031,-2.719
168,800,1.771,1.879,1.596,-1.343
168,900,2.541,2.699,2.259,-.253
168,1000,3.403,3.593,2.968,.799
168,1100,4.28,4.421,3.665,1.507
168,1200,5.188,5.305,4.31,.939
168,1300,5.963,6.011,4.883,-.138
168,1400,6.543,6.503,5.254,-.461
168,1500,6.887,6.823,5.437,-.553
168,1600,6.991,6.907,5.454,-.403
168,1700,6.845,6.732,5.304,1.107
168,1800,6.448,6.333,4.987,2.658
168,1900,5.927,5.799,4.591,2.897
168,2000,5.202,5.113,4.075,1.151
168,2100,4.17,4.07,3.288,.01
168,2200,3.227,3.14,2.579,-1.23
168,2300,2.352,2.271,1.897,-2.22
169,0,1.614,.757,1.306,-2.752
169,100,1.024,.968,.819,-3.72
169,200,.498,.51,.483,-4.451
169,300,.125,.308,.316,-4.777
169,400,.159,.275,.281,-4.366
169,500,.328,.343,.332,-4.391
169,600,.665,.707,.619,-4.248
169,700,1.071,1.137,.947,-3.414
169,800,1.693,1.802,1.489,-1.645
169,900,2.438,2.596,2.12,-1.117
169,1000,3.401,3.597,2.907,-1.465
169,1100,4.317,4.482,3.662,-2.695
169,1200,5.185,5.306,4.229,-3.301
169,1300,5.966,6.027,4.763,-2.288
169,1400,6.523,6.488,5.089,-1.476
169,1500,6.885,6.825,5.287,-.238
169,1600,6.988,6.911,5.294,1.275
169,1700,6.879,6.778,5.105,3.978
169,1800,6.624,6.524,4.861,6.207
169,1900,6.291,6.187,4.613,6.583
169,2000,5.902,5.852,4.368,5.882
169,2100,4.514,4.439,3.321,3.118
169,2200,3.352,3.276,2.449,1.048
169,2300,2.37,2.295,1.706,-.516
170,0,1.608,.77,1.139,-1.567
170,100,1.028,.981,.738,-3.235
170,200,.522,.538,.455,-4.361
170,300,.15,.287,.258,-4.588
170,400,.269,.353,.3,-3.511
170,500,.262,.284,.229,-3.353
170,600,.514,.553,.436,-2.637
170,700,1.159,1.228,.966,-2.228
170,800,1.679,1.784,1.434,-1.462
170,900,2.447,2.605,2.072,-.834
170,1000,3.255,3.443,2.703,-.639
170,1100,4.189,4.351,3.416,-.328
170,1200,5.12,5.242,4.04,-.446
170,1500,6.871,6.81,5.123,2.472
170,1600,6.977,6.898,5.132,3.946
170,1700,6.83,6.724,4.98,5.925
170,1800,6.396,6.292,4.629,7.31
170,1900,5.828,5.706,4.213,6.32
170,2000,5.028,4.928,3.671,4.288
170,2100,4.15,4.064,3.073,2.363
170,2200,3.231,3.154,2.409,.702
170,2300,2.352,2.279,1.757,-.807
171,0,1.594,.761,1.178,-1.777
171,100,.996,.953,.738,-3.382
171,200,.483,.502,.431,-4.48
171,300,.131,.314,.29,-5.015
171,400,.162,.28,.258,-4.554
171,500,.356,.378,.338,-4.566
171,600,.637,.684,.556,-4.036
171,700,1.129,1.204,.942,-2.982
171,800,1.738,1.853,1.473,-1.442
171,900,2.503,2.666,2.094,-.75
171,1000,3.374,3.568,2.765,-.766
171,1100,4.264,4.409,3.426,-.708
171,1200,5.179,5.295,4.033,-.468
171,1300,5.952,5.995,4.575,.263
171,1400,6.541,6.498,4.929,1.598
171,1500,6.904,6.835,5.104,3.168
171,1600,7.01,6.922,5.11,4.882
171,1700,6.86,6.746,4.963,6.746
171,1800,6.467,6.355,4.665,7.55
171,1900,5.862,5.735,4.224,6.159
171,2000,5.062,4.96,3.679,4.303
171,2100,4.169,4.084,3.069,2.387
171,2200,3.256,3.18,2.422,.569
171,2300,2.385,2.315,1.778,-1.009
172,0,1.631,.783,1.218,-2.145
172,100,1.057,1.015,.78,-3.656
172,200,.536,.557,.469,-4.788
172,300,.132,.337,.301,-5.316
172,400,.165,.292,.263,-4.85
172,500,.379,.402,.35,-4.784
172,600,.692,.741,.59,-3.925
