day_of_year,hour,r1,r2,r3,NR
137,0,.216,.224,.234,-4.034
137,100,.07,.076,.083,-3.906
137,200,.034,.038,.035,-3.867
137,300,.032,.036,.033,-3.502
137,400,.067,.07,.063,-2.844
137,500,.203,.207,.191,-2.761
137,600,.949,.935,.829,-.683
137,700,2.504,2.476,2.12,2.089
137,800,4.217,4.182,3.603,2.448
137,900,3.683,3.612,3.117,-1.007
137,1000,4.283,4.116,3.565,-1.312
137,1100,5.066,4.844,4.146,-1.541
137,1200,5.815,5.496,4.699,-1.614
137,1300,6.242,5.863,4.997,-1.092
137,1400,6.466,6.06,5.135,-.706
137,1500,6.645,6.246,5.228,.813
137,1600,6.354,5.973,4.999,2.463
137,1700,5.922,5.582,4.677,1.798
137,1800,5.201,4.946,4.148,1.366
137,1900,3.942,3.766,3.182,.189
137,2000,3.046,2.935,2.514,-.726
137,2100,2.181,2.103,1.831,-1.871
137,2200,.981,.933,.859,-3.209
137,2300,.679,.33,.598,-3.757
138,0,.239,.243,.268,-4.379
138,100,.07,.073,.09,-4.346
138,200,.032,.035,.034,-4.438
138,300,.027,.028,.028,-4.537
138,400,.05,.051,.049,-4.248
138,500,.29,.275,.287,-3.842
138,600,.872,.819,.771,-2.151
138,700,1.122,1.069,.991,-.798
138,800,1.129,1.083,1.006,-.254
138,900,2.518,2.38,2.165,.905
138,1000,3.078,2.897,2.565,1.634
138,1100,3.459,3.265,2.901,1.408
138,1200,6.914,6.454,5.701,3.22
138,1300,7.45,6.961,6.079,1.314
138,1400,7.01,6.48,5.557,-1.204
138,1500,6.744,6.261,5.224,1.15
138,1600,7.45,6.961,6.079,1.314
138,1700,7.01,6.48,5.557,-1.204
138,1800,5.159,4.832,4.055,2.324
138,1900,5.445,5.019,4.134,3.543
138,2000,4.44,4.075,3.347,3.526
138,2100,3.437,3.145,2.626,2.624
138,2200,2.858,2.619,2.229,1.554
138,2300,1.796,1.639,1.421,-.467
139,0,.677,.456,.555,-2.683
139,100,.149,.143,.138,-3.658
139,200,.058,.059,.057,-3.687
139,300,.026,.029,.028,-3.525
139,400,.023,.026,.024,-3.449
139,500,.048,.05,.048,-3.539
139,600,.133,.143,.141,-3.632
139,700,.589,.642,.583,-2.419
139,800,1.298,1.331,1.175,-.78
139,900,2.058,2.093,1.872,-.129
139,1000,2.959,2.966,2.62,.088
139,1100,3.816,3.754,3.309,.357
139,1200,4.698,4.517,3.944,.554
139,1300,5.611,5.288,4.516,.258
139,1400,6.208,5.77,4.88,-.65
139,1500,6.56,6.033,5.068,-.809
139,1600,6.542,6.03,4.988,.768
139,1700,6.425,5.899,4.845,2.82
139,1800,5.957,5.447,4.46,4.324
139,1900,5.237,4.787,3.918,5.296
139,2000,4.4,4.022,3.315,4.47
139,2100,3.451,3.143,2.648,2.11
139,2200,2.502,2.267,1.962,-.006
139,2300,1.639,1.475,1.303,-1.146
140,0,.925,.472,.707,-2.489
140,100,.38,.342,.36,-3.341
140,200,.116,.112,.129,-3.646
140,300,.048,.051,.05,-3.583
140,400,.041,.043,.042,-3.566
140,500,.072,.077,.08,-3.529
140,600,.187,.203,.208,-3.304
140,700,.612,.649,.594,-1.981
140,800,1.169,1.172,1.056,-.583
140,900,2.216,2.204,1.981,.78
140,1000,2.938,2.899,2.57,.175
140,1100,3.892,3.78,3.33,.071
140,1200,4.818,4.6,3.92,-.153
140,1300,5.606,5.265,4.41,-.806
140,1400,6.193,5.748,4.77,-1.392
140,1500,6.541,6.017,4.959,-1.07
140,1600,6.61,6.095,4.952,.574
140,1700,6.42,5.899,4.778,2.306
140,1800,5.969,5.462,4.421,3.603
140,1900,5.263,4.816,3.898,4.586
140,2000,4.41,4.042,3.298,4.17
140,2100,3.49,3.187,2.666,2.24
140,2200,2.558,2.324,2.009,.147
140,2300,1.687,1.523,1.354,-1.353
141,0,.876,.482,.682,-2.707
141,100,.402,.357,.368,-3.369
141,200,.15,.145,.159,-3.602
141,300,.092,.097,.085,-3.367
141,400,.082,.087,.077,-3.172
141,500,.091,.095,.086,-3.018
141,600,.152,.155,.141,-2.665
141,700,.538,.572,.488,-2.414
