day_of_year hour VW1 VW1_max TA1 DW1 year
173 700 10.240 10.940 -1.921 125.600 1993
173 800 9.620 10.660 -2.174 124.600 1993
173 900 9.590 10.590 -1.484 134.100 1993
173 1000 9.660 10.130 -1.095 132.200 1993
173 1100 10.560 10.960 0.177 125.600 1993
173 1200 10.110 10.670 0.148 120.900 1993
173 1300 9.200 9.690 0.517 123.800 1993
173 1400 9.480 9.660 1.021 115.800 1993
173 1500 9.450 9.930 1.714 126.800 1993
173 1600 10.440 10.730 2.133 123.700 1993
173 1700 9.420 10.110 2.662 136.200 1993
173 1800 8.500 8.950 2.371 135.300 1993
173 1900 8.840 9.280 2.236 134.600 1993
173 2000 7.980 8.270 2.412 135.300 1993
173 2100 6.357 7.060 1.989 153.500 1993
173 2200 6.518 6.693 1.816 140.300 1993
173 2300 6.083 6.450 1.220 149.200 1993
174 0 6.103 6.262 1.190 142.400 1993
174 100 5.183 5.728 1.613 149.200 1993
174 200 5.816 6.062 1.572 146.100 1993
174 300 5.914 6.296 1.371 135.500 1993
