day_of_year,hour,r1,r2,r3,NR
172,300,.188,.191,.165,-1.003
172,400,.172,.178,.154,-1.002
172,500,.172,.177,.154,-1.089
172,600,.18,.184,.16,-.983
172,700,.177,.179,.156,-.955
172,800,.181,.184,.159,-1.016
172,400,.194,.198,.172,-1.374
172,500,.224,.229,.198,-1.862
172,600,.24,.246,.212,-1.72
172,700,.25,.254,.22,-1.762
172,800,.272,.278,.239,-1.797
172,900,.302,.307,.264,-1.352
172,500,.293,.298,.257,-1.125
172,600,.297,.3,.26,-1.312
172,700,.33,.333,.288,-1.114
172,800,.364,.368,.316,-1.286
172,900,.412,.416,.358,-1.458
172,1000,.486,.492,.422,-1.494
172,600,.53,.537,.461,-1.089
172,700,.516,.525,.452,-1.707
172,800,.666,.671,.573,-1.784
172,900,.717,.721,.615,-1.362
172,1000,.854,.86,.734,-1.372
172,1100,.952,.962,.821,-.871
172,700,.963,.968,.828,-.732
172,800,.973,.977,.835,-.784
172,900,.956,.962,.823,-1.052
172,1000,.928,.935,.804,-1.608
172,1100,1.149,1.147,.98,-1.177
172,1200,1.234,1.231,1.056,-.528
172,800,1.617,1.614,1.38,-.605
172,900,.929,.935,.802,-2.269
172,1000,1.252,1.244,1.069,-1.869
172,1100,2.233,2.198,1.891,-.973
172,1200,2.142,2.111,1.812,1.038
172,1300,1.579,1.563,1.355,.621
172,900,1.636,1.62,1.418,.578
172,1000,2.001,1.977,1.724,.741
172,1100,2.505,2.477,2.152,.459
172,1200,3.752,3.722,3.224,1.374
172,1300,3.954,3.926,3.393,1.442
172,1400,4.167,4.126,3.577,1.237
172,1000,5.65,5.581,4.846,2.614
172,1100,4.825,4.756,4.143,.151
172,1200,4.382,4.495,3.897,-.538
172,1300,4.674,4.365,3.947,-.287
172,1400,4.832,4.719,4.051,-.008
172,1500,5.032,4.906,4.192,.271
172,1100,4.914,4.782,4.079,.182
172,1200,5.283,5.13,4.33,1.216
172,1300,5.154,5.011,4.233,1.408
172,1400,4.564,4.439,3.748,.399
172,1500,2.602,2.538,2.152,-2.02
172,1600,4.674,4.565,3.839,2.601
172,1200,5.956,5.813,4.911,3.503
172,1300,6.183,5.998,5.06,2.46
172,1400,4.897,4.769,4.008,.795
172,1500,6.088,5.905,4.957,2.563
172,1600,6.386,6.162,5.152,2.63
172,1700,6.565,6.326,5.279,2.912
172,1300,6.639,6.39,5.324,3
172,1400,6.721,6.456,5.371,3.11
172,1500,6.81,6.526,5.426,3.208
172,1600,6.901,6.603,5.48,3.344
172,1700,6.971,6.665,5.517,3.497
172,1800,7.03,6.723,5.547,3.639
172,1400,7.09,6.79,5.581,3.725
172,1500,7.14,6.841,5.593,3.8
172,1600,7.18,6.887,5.606,3.87
172,1700,7.22,6.924,5.609,3.937
172,1800,7.26,6.965,5.621,3.929
172,1900,7.29,6.995,5.639,3.937
172,1500,7.31,7.01,5.641,3.969
172,1600,7.31,7.01,5.634,4
172,1700,7.31,7.01,5.623,4.037
172,1800,7.3,6.993,5.603,4.143
172,1900,7.27,6.967,5.577,4.181
172,2000,7.22,6.924,5.538,4.142
172,1600,7.21,6.906,5.529,4.048
172,1700,7.03,6.871,5.338,4.895
172,1800,5.251,4.706,4.196,18.01
172,1900,6.916,6.623,5.023,8.67
172,2000,7.01,6.725,5.074,7.11
172,2100,6.988,6.708,5.048,7.02
172,1700,7.04,6.762,5.101,7.02
172,1800,5.732,5.491,4.689,10.68
172,1900,6.537,6.276,5.088,6.232
172,2000,6.652,6.393,5.221,2.424
172,2100,6.539,6.28,5.133,2.177
172,2200,6.431,6.17,5.048,1.981
172,1800,6.318,6.052,4.954,1.822
172,1900,6.141,5.876,4.82,1.514
172,2000,6.17,5.908,4.847,1.432
172,2100,5.408,5.175,4.259,.409
172,2200,6.008,5.745,4.715,1.359
172,2300,5.695,5.444,4.478,.903
172,1900,5.621,5.385,4.429,.733
172,2000,5.301,5.071,4.172,.263
172,2100,5.249,5.019,4.13,.287
172,2200,4.519,4.327,3.581,-.59
172,2300,4.724,4.532,3.497,1.415
173,0,4.759,4.567,3.789,-.159
172,2000,4.608,4.42,3.67,-.452
