day_of_year,hour,r1,r2,r3,NR
159,2100,1.63,1.53,1.42,.25
159,2200,1.024,.958,.898,-.011
159,2300,.642,.605,.569,.096
160,0,.283,.268,.256,.109
160,100,.168,.16,.155,.102
160,200,.129,.124,.12,.02
160,300,.134,.129,.125,-.109
160,400,.213,.206,.196,.064
160,500,.348,.335,.319,.192
160,600,.585,.562,.536,.316
160,700,.957,.919,.872,.478
160,800,1.262,1.212,1.152,.42
160,900,2.015,1.929,1.834,.692
160,1000,2.766,2.633,2.514,.886
160,1100,3.646,3.456,3.311,1.165
160,1200,4.268,4.023,3.865,1.182
160,1300,4.752,4.458,4.261,1.846
160,1400,5.633,5.266,5.009,2.803
160,1500,4.58,4.288,4.134,1.682
160,1600,5.107,4.695,4.504,2.009
160,1700,6.443,5.807,5.45,2.106
160,1800,5.888,5.263,4.781,-.048
160,1900,4.141,3.625,3.303,-1.379
160,2000,3.255,2.841,2.688,.613
160,2100,2.548,2.245,2.157,1.225
160,2200,3.293,2.917,2.7,4.152
160,2300,2.16,1.382,1.787,2.959
161,0,.537,.484,.485,.035
161,100,.304,.277,.277,-.255
161,200,.167,.155,.156,-.701
161,300,.14,.129,.131,-.467
161,400,.183,.171,.171,-.686
161,500,.331,.31,.305,-.328
161,600,.598,.561,.544,.201
161,700,1.137,1.074,1.029,.518
161,800,1.776,1.679,1.605,.548
161,900,2.625,2.457,2.346,1.002
161,1000,3.962,3.685,3.547,.489
161,1100,4.835,4.479,4.271,1.093
161,1200,5.39,4.924,4.703,2.435
161,1300,5.974,5.417,5.114,1.875
161,1400,6.382,5.718,5.349,2.183
161,1500,6.221,5.427,5.14,2.771
161,1600,6.855,5.956,5.501,.158
161,1700,6.681,5.859,5.339,.626
161,1800,5.359,4.694,4.212,-.209
161,1900,5.335,4.705,4.17,1.431
161,2000,4.207,3.681,3.245,1.749
161,2100,3.112,2.692,2.389,.694
161,2200,2.216,1.883,1.701,1.186
161,2300,1.451,.629,1.115,.479
162,0,.889,.737,.684,-1.049
162,100,.413,.387,.401,-1.959
162,200,.132,.236,.254,-2.763
162,300,.154,.213,.223,-2.232
162,400,.326,.312,.324,-2.325
162,500,.615,.6,.576,-1.614
162,600,1.12,1.084,1.005,-.007
162,700,1.762,1.732,1.605,1.78
162,800,2.539,2.525,2.315,1.76
162,900,3.435,3.423,3.094,.994
162,1000,4.323,4.255,3.884,.306
162,1100,5.247,5.097,4.595,-.802
162,1200,6.011,5.748,5.17,-2.024
162,1300,6.587,6.185,5.564,-3.501
162,1400,6.916,6.449,5.773,-3.228
162,1500,6.991,6.476,5.776,-1.255
162,1600,6.815,6.268,5.599,.618
162,1700,6.397,5.848,5.226,1.636
162,1800,5.762,5.226,4.683,1.549
162,1900,4.941,4.47,4.011,1.399
162,2000,4.039,3.637,3.279,1.371
162,2100,3.103,2.78,2.515,.573
162,2200,2.225,1.971,1.791,-.206
162,2300,.968,.845,.853,-.727
163,0,.535,.489,.474,-2.05
163,100,.473,.43,.418,-1.765
163,200,.168,.16,.157,-.592
163,300,.155,.147,.143,-.76
163,400,.203,.192,.186,-.241
163,500,.347,.327,.316,.03
163,600,.611,.571,.551,.335
163,700,.985,.915,.885,.664
163,800,1.417,1.309,1.271,.928
163,900,2.257,2.082,2.006,1.55
163,1000,3.312,3.04,2.93,2.007
163,1100,3.647,3.349,3.251,1.732
163,1200,4.12,3.788,3.681,1.715
163,1300,4.907,4.519,4.357,2.293
163,1400,5.363,4.961,4.753,2.444
163,1500,5.591,5.197,4.938,2.771
163,1600,6.6,6.065,5.606,2.697
163,1700,5.015,4.625,4.258,2.467
163,1800,4.484,4.195,3.866,2.691
163,1900,3.344,3.154,2.916,1.816
163,2000,2.805,2.638,2.441,1.524
163,2100,2.176,2.03,1.885,1.094
163,2200,1.768,1.619,1.512,.705
163,2300,1.066,.915,.918,-.429
164,0,.459,.435,.411,-.587
164,100,.295,.281,.264,-.616
164,200,.188,.179,.17,-.761
164,300,.152,.145,.139,-.797
164,400,.223,.211,.2,-.73
164,500,.453,.428,.402,-.371
164,600,.636,.6,.564,-.428
164,700,1.072,1.011,.951,-.493
164,800,1.624,1.537,1.445,-1.147
164,900,3.296,3.112,2.898,-1.889
164,1000,4.41,4.113,3.856,-3.276
164,1100,5.263,4.878,4.525,-4.234
164,1200,6.1,5.621,5.179,-4.119
164,1300,6.724,6.15,5.605,-3.171
164,1400,7.1,6.511,5.86,-1.517
164,1500,7.03,6.425,5.718,-.491
164,1600,6.826,6.211,5.5,1.071
164,1700,6.402,5.808,5.12,2.489
164,1800,5.77,5.205,4.586,2.933
164,1900,4.967,4.477,3.943,2.615
164,2000,4.07,3.655,3.227,1.504
164,2100,3.093,2.765,2.444,.368
164,2200,2.198,1.945,1.723,-.624
164,2300,1.493,.684,1.152,-1.389
165,0,.93,.81,.703,-2.737
165,100,.434,.43,.402,-3.602
165,200,.127,.264,.257,-4.075
165,300,.156,.239,.232,-3.612
165,400,.338,.342,.326,-3.424
165,500,.637,.657,.577,-2.795
165,600,1.158,1.178,1.014,-1.464
165,700,1.785,1.821,1.602,-.626
165,800,2.575,2.624,2.304,-1.228
165,900,3.449,3.482,3.054,-2.876
165,1000,4.35,4.293,3.815,-4.122
165,1100,5.278,5.097,4.518,-4.747
165,1200,6.04,5.714,5.104,-4.274
165,1300,6.644,6.162,5.518,-3.114
165,1400,6.969,6.414,5.694,-1.768
165,1500,7.03,6.435,5.655,.235
165,1600,6.842,6.279,5.394,16.18
165,1700,5.616,5.06,4.104,6.094
165,1800,4.921,4.264,3.723,4.118
165,2100,4.084,2.543,2.788,2.517
165,2200,2.988,2.793,2.384,.035
165,2300,2.118,1.983,1.708,-1.374
166,0,1.416,.679,1.149,-2.424
166,100,.854,.812,.711,-3.546
166,200,.401,.428,.414,-4.217
166,300,.129,.255,.257,-4.531
166,400,.148,.217,.214,-3.981
166,500,.335,.322,.316,-4.162
166,600,.651,.618,.56,-3.794
166,700,1.173,1.12,.98,-2.791
166,800,1.823,1.752,1.563,-1.767
166,900,2.651,2.559,2.276,-.797
166,1000,3.557,3.435,3.047,.04
166,1100,4.45,4.246,3.808,1.336
166,1200,5.381,5.064,4.511,2.172
166,1300,6.123,5.684,5.087,3.133
166,1400,6.665,6.102,5.459,3.926
166,1500,6.962,6.359,5.65,4.207
166,1600,7.01,6.402,5.641,4.553
166,1700,6.804,6.222,5.441,4.806
166,1800,6.346,5.829,5.049,4.433
166,1900,5.683,5.229,4.503,3.436
166,2000,4.859,4.503,3.859,2.457
166,2100,3.931,3.661,3.142,.977
166,2200,3,2.808,2.425,-.53
166,2300,2.149,2.014,1.75,-1.884
167,0,1.431,.668,1.167,-2.806
167,100,.823,.781,.693,-3.913
167,200,.343,.345,.335,-4.442
167,300,.149,.233,.232,-4.471
167,400,.133,.168,.164,-4.27
167,500,.302,.289,.282,-4.336
167,600,.67,.634,.576,-3.981
167,700,1.187,1.136,.998,-2.769
167,800,1.652,1.588,1.422,-1.834
167,900,2.645,2.548,2.269,-.65
167,1000,3.58,3.447,3.057,.285
167,1100,4.236,4.047,3.615,1.445
167,1200,5.405,5.066,4.507,2.598
167,1300,6.148,5.68,5.075,3.672
167,1400,6.78,6.192,5.534,4.554
167,1500,6.931,6.327,5.613,4.338
167,1600,6.944,6.351,5.589,4.511
167,1700,6.599,6.056,5.296,4.573
167,1800,6.362,5.855,5.045,4.684
167,1900,4.821,4.487,3.514,4.859
