day_of_year,hour,VW1,TA1,TA2,RH1,VW2,TA1_max,TA2_max,RH1_max,VW1_min,TA1_min,TA2_min,RH1_min,DW1,unkw
159,2100,4.055,409.6,-.691,75.8,5.593,410.6,.15,79.3,2.365,408.9,-1.246,72.5,191.8,
160,0,1.625,408.2,-1.983,87,2.314,409.2,-1.165,91,.881,407,-3.059,80.7,152.5,
160,300,2.255,406.4,-3.674,92.5,2.87,406.9,-3.17,93,1.57,406,-3.989,91.2,134.3,
160,600,3.939,405.8,-4.107,92.6,4.673,406.1,-3.839,93,2.605,405.5,-4.322,92.4,130.1,
160,900,3.981,406.1,-3.848,92.6,4.456,406.3,-3.593,92.7,3.523,405.8,-4.042,92.5,164.2,
160,1200,3.539,407.1,-3.072,92.2,4.763,408.1,-2.675,92.6,2.541,406.3,-3.656,92,196.6,
160,1800,1.62,410.2,-1.143,86.9,2.996,412.4,1.329,90.9,.77,407.3,-2.743,78,195,
160,2100,.365,412.2,1.732,69.99,1.304,416.4,4.107,78.8,0,409.5,-.523,59.78,114.7,
161,0,.825,408.6,-1.677,82.7,1.817,412.3,2.658,91.4,0,406.5,-3.593,65.47,-1.268,
161,300,.751,404.7,-4.656,92.7,1.226,406,-3.838,93.2,.345,403.3,-4.975,91.3,35.38,
161,600,1.189,403.5,-5.029,92.6,1.92,404,-4.526,92.9,.507,402.9,-5.297,92.2,72.1,
161,900,.339,404.9,-4.254,90.8,1.622,406.2,-3.396,92.2,0,403.9,-5.104,88.7,70,
161,1200,.141,409,-.431,79.2,1.093,411.5,2.037,88.3,0,406.1,-2.949,73,346.5,
161,1500,.532,409,-.094,73,.851,410.1,1.053,75.8,.331,408.2,-.875,70.6,6.755,
161,1800,.538,412.3,2.246,58.28,1.678,415.4,4.743,71.2,.102,408.8,-.593,49.06,147.6,
161,2100,.363,412.4,2.635,51.56,.771,415.3,6,55.54,.004,409.8,-.071,46.99,188.6,
162,0,1.628,404.5,-2.436,66.27,2.565,411.5,.9,76.3,0,400.6,-4.629,52.21,85.2,
162,300,3.135,397.7,-6.956,79.3,4.535,400,-4.622,81.2,2.447,395.2,-10.52,76.4,91.8,
162,600,5.49,397,-9.56,73.2,6.314,398.1,-9.1,78.2,3.937,394.2,-11.02,69.52,123.5,
162,900,6.716,397.9,-9.39,69.17,7.08,398.2,-9.19,70.3,6.26,397.4,-9.55,68.45,115.7,
162,1200,7.3,400,-8.23,71.5,7.75,402.2,-6.737,72.3,6.986,398.5,-9.16,70.4,119.6,
162,1500,6.407,404.5,-5.067,72.2,7.06,405.6,-4.071,72.9,5.754,402.5,-6.564,71.5,132,
162,1800,4.759,406.7,-3.109,72.1,6.092,407.5,-2.642,73.2,3.585,405.8,-3.925,70.2,171.4,
162,2100,2.906,407.2,-3.292,76.6,3.53,407.5,-2.945,84.8,2.377,406.8,-3.78,70.9,169.5,
163,0,2.923,404.7,-4.92,89.8,3.448,406.7,-3.891,92,2.445,402.6,-5.692,85.2,143,
163,300,3.445,403.7,-5.098,91.4,4.386,405.3,-4.322,91.9,3.003,402.2,-5.785,91.1,150.4,
