day_of_year,hour,VW1,TA1,TA2,RH1,VW2,TA1_max,TA2_max,RH1_max,VW1_min,TA1_min,TA2_min,RH1_min,DW1,unkw
137,0,7.83,1.391,-6.958,72.7,8.71,3.221,-5.78,73.2,7.25,-.381,-8.15,72.3,125.1,92
137,300,9.32,-2.102,-9.09,71.3,11.29,-.727,-8.28,72.2,7.94,-2.945,-9.52,70.4,114.8,92.2
137,600,11.25,-2.817,-9.7,71.1,12.25,-1.871,-8.92,71.7,10.53,-3.292,-10.15,70.4,118.8,92.7
137,900,12.53,-1.342,-9.08,72,14.33,.52,-7.99,72.6,11.57,-2.946,-9.88,71.3,130.4,92.7
137,1200,9.45,2.455,-6.511,73,13.59,5.16,-4.556,73.6,7.61,.381,-7.98,72.5,120.7,94
137,1500,7.46,7.11,-2.915,74.5,8.03,8.72,-1.582,75.9,6.844,5.368,-4.459,72.5,137.1,93.4
137,1800,6.869,10.17,-.122,76.1,7.54,10.93,.629,77.7,6.346,8.86,-1.391,75.3,124.3,93.1
137,2100,6.517,10.72,.563,76,7.49,11.17,.948,77.5,5.845,10.1,.083,74.8,130.1,92.8
138,0,8.24,8.99,-.78,75.9,9.26,10.1,.113,76.6,7.6,8.23,-1.22,74.7,135.5,93
138,300,8.39,7.36,-2.114,74.6,9.06,8.17,-1.454,75.3,7.81,6.264,-2.819,73.8,135.6,93.6
138,600,8.2,6.535,-2.793,75.2,8.91,7.3,-2.306,75.8,7.5,5.884,-3.261,74.7,141.8,93.5
138,900,9.01,8.31,-1.391,76,10.27,9.14,-.664,77.2,7.79,7.1,-2.363,74.8,144.1,93.9
138,1200,9.17,9.37,-.695,77.3,10.44,10.21,-.063,78.1,7.9,8.93,-.97,76.7,152.1,94.5
138,1500,8.53,11.17,.882,77.8,8.93,11.66,1.348,78.3,7.57,10.49,.148,76.8,153.3,94.4
138,1800,7.63,11.7,1.33,78.5,9.08,12.13,1.507,81.4,6.022,11.31,1.164,76.9,159.8,94.5
138,2100,6.617,13.76,1.274,81,7.38,16.1,1.441,81.4,5.997,11.68,.938,80,174.4,94.6
139,0,4.916,14.69,-.538,88.3,6.177,15.72,1.033,92.7,3.787,13.48,-1.919,81.5,143.1,95.7
139,300,7.25,6.868,-3.116,83.3,8.34,13.41,-1.948,90.4,5.523,5.327,-3.834,78.8,129.1,95.3
139,600,9.25,5.153,-3.959,76.7,10.05,5.536,-3.743,78.3,8.03,4.498,-4.448,75.6,131.3,94.3
139,900,10.2,5.503,-3.819,77.2,10.96,5.918,-3.449,78.1,9.5,4.672,-4.332,76.4,122.2,93.8
139,1200,10.24,6.716,-3.05,78.5,10.92,8.03,-1.937,79.5,9.5,5.433,-3.869,77.7,136.1,93.6
139,1500,8.85,9.56,-.517,79.4,10.48,10.69,.641,81.2,7.35,8.17,-1.784,78.2,136.5,92.9
139,1800,6.641,12.57,1.571,80.4,7.25,15.34,1.906,81,5.962,10.96,.798,79.9,155.3,92.4
139,2100,5.351,12.42,1.868,81.1,6.47,14.85,2.056,82.6,4.642,11.7,1.512,79.9,170.1,92.3
140,0,5.078,10.76,.577,82.5,5.627,11.77,1.384,83.4,4.317,9.12,-.639,81.5,145,92
140,300,6.687,7.33,-2.305,80.2,7.48,9.23,-.83,81.7,5.265,5.222,-3.921,79.1,119.8,91.7
140,600,7.53,4.557,-4.329,78.7,8.42,5.327,-3.709,79.3,5.777,3.46,-5.244,78.2,125.3,91.3
140,900,7.84,4.358,-4.68,76.8,8.79,4.88,-4.25,78.7,6.945,3.529,-5.148,74.9,124.1,90.9
140,1200,3.417,6.879,-2.857,75.3,7.77,9,-1.148,76.2,0,4.88,-4.4,74.4,143,90.9
140,1500,0,10.21,.109,77.3,.001,11.2,.831,78.5,0,9.1,-1.033,76.4,185.7,90.6
140,1800,0,12.02,1.282,78.3,.001,12.46,1.661,79.8,0,11.65,.902,76.3,269.4,90.1
140,2100,0,12.21,1.357,79.9,0,12.53,1.674,81.2,0,11.87,.992,79.3,251.1,89.8
141,0,0,10.55,-.163,79.2,0,11.81,.95,80.5,0,8.02,-2.24,77.9,206.1,89.3
141,300,0,6.351,-3.135,78,0,8.5,-2.144,78.7,0,4.807,-4.259,77.5,125.8,88.7
141,600,0,4.53,-4.437,77.8,0,5.016,-4.061,78.6,0,3.46,-5.25,77.3,126.7,88.5
141,900,0,3.507,-5.382,77.8,0,4.049,-5.158,79.4,0,2.907,-5.665,77.1,139.2,88.4
141,1200,3.065,5.057,-4.623,81.4,6.959,6.851,-3.285,82.6,0,3.911,-5.421,80,128.6,88.4
141,1500,3.483,8.36,-1.91,82.8,5.755,9.61,-.948,84,0,6.92,-3.218,82,182.7,88.2
141,1800,0,10.74,-.299,84.6,.001,11.68,.128,85.7,0,9.82,-.743,84,273.8,87.8
141,2100,0,10.95,-.257,87.6,.001,11.4,.013,89.7,0,10.64,-.545,86.1,289.2,87.6
142,0,.003,10.47,-.758,91.5,.05,10.96,-.416,93.8,0,9.54,-1.398,89.9,312.7,87.4
142,300,.189,7.77,-2.464,90.8,.846,9.58,-1.374,94.2,0,5.845,-3.916,88.5,128.2,86.9
142,600,3.11,3.788,-5.712,85.3,4.687,5.776,-4.177,87.9,1.036,1.868,-7.16,83.1,116.2,86.7
142,900,4.577,.248,-8.17,81.2,5.207,1.868,-7.25,83.3,3.802,-.658,-8.75,79,106.9,86.5
142,1200,4.285,1.888,-7.01,78.4,4.781,3.946,-5.723,79.1,3.82,0,-8.22,77.8,135.5,85.8
142,1500,2.681,5.979,-4.1,77.9,3.959,7.19,-2.939,78.4,1.43,4.223,-5.451,77.2,139.8,85
143,0,8.32,8.84,-1.337,81.6,18.48,14.47,2.08,88.4,.447,3.972,-5.003,72.6,236.5,83
143,300,24.87,-1.956,-7.18,88.2,31.3,3.454,-5.354,88.5,18.56,-5.574,-10.03,87.6,98.1,82.6
143,600,29.1,-5.54,-11.16,86.3,31.7,-4.816,-10.34,87.6,24.95,-6.34,-11.7,83.5,103,82.4
143,900,41.28,-3.627,-10.57,89.5,51.12,-.658,-8.99,92.9,27.58,-7.21,-11.88,83.1,133.4,82.6
143,1200,51.44,1.938,-7.33,92.5,60.2,3.911,-6.057,93.1,44.38,-.346,-8.79,89.7,144.7,82
143,1500,51.43,6.185,-5.171,86.9,53.89,8.26,-4.017,89.4,48.45,3.841,-6.263,85,195.8,81.3
143,1800,4.429,6.54,-3.271,87.7,4.863,6.875,-3.021,88,4.264,6.289,-3.569,87.3,171.5,80.9
143,2100,3.285,7.03,-2.874,88.3,4.333,7.84,-2.575,90.5,2.543,6.461,-3.458,87.2,197.6,80.6
144,0,2.442,4.928,-4.38,92,3.626,6.391,-3.545,93.3,1.576,3.699,-4.995,90.9,181.5,80.3
144,300,2.887,5.145,-4.517,93.6,3.642,5.501,-4.202,94.4,1.641,4.67,-4.889,92.9,204.7,79.9
144,600,1.827,4.377,-5.069,94.6,2.294,4.601,-4.943,94.7,1.365,4.083,-5.259,94.4,167.5,79.6
144,900,2.481,4.633,-4.78,94.1,4.84,5.121,-4.405,94.4,1.862,3.945,-5.415,92.8,133.4,79.7
144,1200,6.24,4.438,-5.105,83.8,6.827,5.604,-4.187,91.4,5.222,3.702,-5.63,81.9,131,79.2
144,1500,5.589,6.552,-2.929,83.4,6.232,7.36,-2.374,85.6,4.465,5.949,-3.926,81,183.4,79
144,1800,4.307,7.12,-2.757,86.1,5.122,8.42,-2.073,87.4,3.563,6.63,-2.987,85,173.7,79.3
144,2100,3.251,7.61,-2.053,85.7,3.662,8.22,-1.568,87.1,2.401,6.97,-2.471,84.5,177.1,79.5
145,0,2.227,6.535,-2.663,88.6,2.768,7.87,-1.882,89.9,1.628,5.629,-3.362,86.8,136.2,80
145,300,2.958,3.443,-5.024,86.2,3.317,5.669,-3.516,90.5,2.306,2.525,-5.84,83.4,138.3,80.8
145,600,3.848,3.784,-5.637,88.5,4.734,4.326,-5.298,91.8,2.728,3.08,-6.135,84.5,148.5,81.6
145,900,4.75,3.392,-5.765,89.4,5.399,4.292,-5.323,92.1,4.361,2.492,-6.204,86.8,145.8,82.4
145,1200,5.442,4.933,-4.765,89.6,6.026,5.847,-4.076,91,4.646,3.877,-5.714,89.2,167.3,83.4
145,1500,5.298,6.564,-3.142,89.5,5.744,7.53,-2.225,91.4,4.691,5.673,-4.051,87.7,200.4,84.2
145,1800,4.929,6.586,-3.296,91.8,5.298,7.36,-2.738,92.8,4.73,5.872,-3.598,90.4,181.6,85.1
145,2100,4.387,6.899,-2.958,90.1,4.94,7.29,-2.681,90.9,3.983,6.599,-3.228,89.2,180.7,86
146,0,2.827,5.582,-3.637,91.2,4.313,7.26,-2.714,92.3,2.028,4.322,-4.491,89.1,137.6,86.6
146,300,3.265,2.72,-5.36,92.5,4.801,4.708,-4.787,93.1,2.527,1.073,-5.89,91.1,134.3,86.9
146,600,5.531,4.234,-5.125,87.4,6.739,4.984,-4.652,91,4.755,3.461,-5.709,84.2,132.3,87
146,900,7.83,2.246,-6.553,79.8,8.22,3.392,-5.739,83.6,6.858,1.489,-7.16,77.3,127.5,86.9
146,1200,8.87,2.431,-6.638,75.4,9.3,3.634,-5.777,77,8.32,1.489,-7.16,74.7,121.1,86.5
146,1500,8.63,5.464,-4.422,74.7,9.51,7.16,-3.112,75.8,7.44,3.841,-5.64,73.9,125.9,85.8
146,1800,6.692,8.73,-1.753,76.2,7.47,9.46,-1.119,78,5.97,7.4,-2.752,74.5,140.1,84.8
146,2100,5.074,9.62,-.853,82.2,6.065,9.84,-.695,85.5,4.21,9.35,-1.057,77.8,138.6,83.9
147,0,5.6,7.55,-2.564,83.2,6.917,9.28,-1.191,85.5,4.412,5.359,-4.191,79.7,132.5,82.6
147,300,7.98,2.773,-6.072,75.6,9.57,5.082,-4.38,79.1,6.96,.415,-7.79,74.1,119.5,80.7
147,600,9.22,.023,-8.02,75.2,9.94,.519,-7.72,76.3,8.38,-.346,-8.21,73.4,124.6,79.2
147,900,9.39,.323,-7.9,73.8,10.44,1.42,-7.28,74.7,7.95,-1.247,-8.89,73,127.8,77.9
147,1200,8.81,3.703,-5.724,75.3,9.86,5.677,-4.361,77,7.62,1.835,-7.04,73.6,135,76.4
147,1500,6.297,7.83,-2.647,78.7,7.16,9.4,-1.399,79.6,5.686,5.849,-4.139,77.3,156.4,75.4
147,1800,5.221,9.74,-.834,79.7,5.965,10.01,-.647,81.2,4.143,9.33,-1.25,78.7,172.8,74.3
147,2100,3.718,9.51,-1.221,83.6,4.194,10.07,-.668,88.6,3.001,8.49,-2.237,80.7,191.4,74.6
148,0,2.951,7.1,-3.45,92.1,3.386,8.55,-2.395,93.9,2.415,6.222,-4.075,88.5,165.2,75.4
148,300,3.567,5.272,-4.549,93.3,4.94,6.327,-4.017,93.9,1.975,3.908,-5.298,92.2,112.9,75
148,600,5.084,6.378,-3.551,90.6,5.936,6.644,-3.353,92.1,4.287,5.639,-4.08,89.1,127.9,74.3
148,900,6.581,6.176,-3.756,87.4,7.12,6.574,-3.502,92.2,6.231,5.329,-4.163,85.3,141.6,73.3
148,1200,5.588,7.6,-2.713,88.2,6.936,8.64,-1.727,92.7,4.861,6.193,-3.941,83.2,140.4,72.5
148,1500,5.877,8.78,-1.738,81.9,7.16,9.78,-.863,83.4,4.586,7.85,-2.532,80.5,145.2,71.1
148,1800,3.847,9.12,-1.33,82.5,5.227,10.01,-.503,91.1,2.535,6.797,-3.362,78.9,263.5,70.6
148,2100,1.985,6.622,-3.654,91.5,2.794,7.73,-2.629,93.1,1.544,5.284,-4.756,90.2,301.1,70.9
149,0,2.853,4.493,-5.337,93.2,3.797,5.596,-4.476,93.7,2.217,3.147,-6.354,92.9,302.8,70.9
149,300,3.45,1.82,-7.27,93.5,3.691,2.94,-6.512,93.7,3.062,.554,-8.18,93.1,294.6,71.2
149,600,2.529,-.45,-8.76,92.9,3.255,.277,-8.31,93.1,1.816,-1.108,-9.08,92.7,276.5,71.4
149,900,1.631,-1.081,-8.89,92.6,2.258,.208,-7.95,92.8,.829,-1.489,-9.26,92.5,256,71.8
149,1200,2.393,-.621,-7.69,91.1,2.878,.035,-6.826,92.3,1.222,-1.385,-8.73,89.5,238.3,72.4
149,1500,2.217,1.259,-6.134,88.7,2.684,2.525,-4.953,89.8,1.389,.173,-6.677,88,240.9,72.7
149,1800,3.068,1.404,-6.303,87.3,3.47,3.423,-4.811,88.7,2.511,.104,-7.37,86,235.7,73.5
149,2100,2.362,.05,-7.09,86.6,3.181,1.105,-6.176,87.7,1.056,-1.59,-8.36,85.7,233.8,74.3
150,0,1.63,-2.431,-9.36,87.5,2.379,.38,-7.14,89.3,.48,-5.226,-11.12,86.2,224.9,75.2
150,300,1.456,-5.14,-11.56,90.4,2.207,-4.189,-11.18,90.8,.83,-5.714,-12.03,89.3,151.8,75.7
150,600,2.015,-6.462,-12.29,90.5,2.469,-5.128,-11.67,90.7,1.417,-8.42,-12.78,90.2,130.1,75.9
150,900,1.379,-3.667,-10.9,89.7,1.995,-2.529,-10.34,90.7,.742,-5.198,-11.62,86.4,172.7,75.7
150,1200,2.54,-1.337,-9.71,80.9,2.812,-.069,-8.88,84.8,2.163,-2.771,-10.47,75,184.7,75.9
150,1500,3.104,1.103,-8.02,71.2,4.343,1.903,-7.47,75.2,2.409,-.346,-8.96,69.01,148.2,75.5
150,1800,5.249,.369,-8,71.4,5.802,.865,-7.81,72.1,4.348,.138,-8.16,70.5,140.7,74.8
150,2100,4.552,-.027,-8.37,72.9,5.45,.691,-8.01,75.4,3.602,-.553,-8.5,71.5,124.9,72.5
151,0,7.52,1.136,-7.43,75.1,8.01,1.971,-6.896,76,6.743,.035,-8.12,73.8,122.6,71.4
151,300,7.29,-.254,-8.32,75.6,7.76,.658,-7.78,78.4,6.642,-1.281,-8.92,73.7,146.2,70.2
151,600,7.9,.062,-8.1,79.1,8.87,1.074,-7.53,79.8,6.9,-.762,-8.72,78.5,144.4,70.5
151,900,9.07,-.878,-8.75,78.8,10.96,.416,-7.9,79.3,7.99,-1.94,-9.48,77.6,146.1,70.3
151,1200,10.07,1.227,-7.5,83.7,11.41,2.181,-6.955,91.5,8.88,-.035,-8.3,78.3,143.1,69.83
151,1500,10.06,3.601,-5.923,91.7,10.77,4.775,-4.958,92.2,9.2,2.458,-6.817,91.4,155.7,70.1
151,1800,7.44,5.748,-4.226,91.9,9.07,6.434,-3.738,92.2,6.078,4.878,-4.812,91.5,186.4,71.5
151,2100,6.73,6.546,-3.635,92.5,7.21,6.708,-3.468,93.8,6.276,6.26,-3.854,91.6,191.7,73.2
152,0,6.093,6.591,-3.558,94.1,6.763,6.641,-3.449,94.3,4.726,6.503,-3.67,93.8,175.7,76
152,300,5.966,6.579,-3.486,94.2,7.13,6.677,-3.41,94.3,4.742,6.469,-3.584,94.2,186.9,78.4
152,600,7.01,6.391,-3.661,94.1,7.58,6.608,-3.473,94.2,6.311,6.021,-3.994,94,209.6,81.8
